순위,종목코드,종목명,시장,업종,등락률(%),종가(원),거래대금(원),거래량,시가총액(원),상한가
786,005750,대림바스,KOSPI,비금속광물,0.24,4140,51667435,12546,68691873600,
787,432430,와이랩,KOSDAQ,IT S/W & SVC,0.24,2070,7712190,3802,34172222400,
788,469900,하나31호스팩,KOSDAQ,금융,0.24,2080,41719334,20061,11658400000,
789,352820,하이브,KOSPI,서비스업,0.24,208500,32167274500,155839,8986818916500,
790,473050,유안타제15호스팩,KOSDAQ,금융,0.24,2085,104608748,50288,14615850000,
791,477470,미래에셋비전스팩5호,KOSDAQ,금융,0.24,2090,4180,2,11453200000,
792,472220,신영스팩10호,KOSDAQ,금융,0.24,2095,1164390,557,9825550000,
793,467930,IBKS제23호스팩,KOSDAQ,금융,0.24,2110,477771295,226510,8925300000,
794,469880,하나30호스팩,KOSDAQ,금융,0.24,2115,106490265,50365,15450075000,
795,041650,상신브레이크,KOSPI,운수장비,0.24,2120,11784480,5570,45519474000,
796,091340,S&K폴리텍,KOSDAQ,IT H/W,0.23,2135,27805510,13095,24987444335,
797,159580,제로투세븐,KOSDAQ,유통,0.23,2175,43803650,20345,43570983300,
798,025550,한국선재,KOSDAQ,금속,0.23,2210,148256937,67301,56385948840,
799,002100,경농,KOSPI,제조업,0.22,9150,139677230,15274,178631561250,
800,214270,FSN,KOSDAQ,제조,0.22,1377,51036220,37449,62315563545,
801,037230,한국팩키지,KOSDAQ,제조,0.22,1391,182616529,131007,41452254857,
802,035420,NAVER,KOSPI,서비스업,0.21,190000,138831297600,737319,29819405980000,
803,010470,오리콤,KOSDAQ,기타서비스,0.21,4775,56846400,11976,57180863750,
804,037760,쎄니트,KOSDAQ,금속,0.21,2430,14799105,6171,82213998030,
805,300120,라온피플,KOSDAQ,IT H/W,0.20,490,46823304,96395,24256967840,
806,311390,네오크레마,KOSDAQ,음식료·담배,0.20,2460,14422535,5956,31128320940,
807,003545,대신증권우,KOSPI,금융업,0.20,19900,1025212915,51710,485228346600,
808,226320,잇츠한불,KOSPI,제조업,0.20,9970,223939230,22557,218635270550,
809,246690,TS인베스트먼트,KOSDAQ,금융,0.20,1499,89532077,60476,35643482826,
810,0037T0,KB제32호스팩,KOSDAQ,금융,0.20,1999,56022205,28189,12653670000,
811,192400,쿠쿠홀딩스,KOSPI,금융업,0.20,25550,381760700,14819,908613826750,
812,016380,KG스틸,KOSPI,제조업,0.20,5110,1086345355,211520,511045463670,
813,298060,풍전약품,KOSDAQ,제약,0.19,2615,29436033,11342,23118260525,
814,036670,삼양케이씨아이,KOSDAQ,제조,0.19,5280,41792900,8014,56813856000,
815,078935,GS우,KOSPI,금융업,0.18,54600,208989300,3851,97170309600,
816,171010,램테크놀러지,KOSDAQ,IT H/W,0.18,2735,113233956,41911,39107086720,
817,339950,아이비김영,KOSDAQ,기타서비스,0.18,2735,260336050,93722,122929101425,
818,015710,코콤,KOSDAQ,IT H/W,0.18,2750,46762130,16983,48208875000,
819,452400,이닉스,KOSDAQ,운송장비·부품,0.18,5650,17554900,3161,51253568200,
820,109960,앱토크롬,KOSDAQ,유통,0.18,1699,6332057,3743,25709663867,
821,18064K,한진칼우,KOSPI,금융업,0.18,28450,76423050,2694,15270992700,
822,016250,SGC E&C,KOSDAQ,건설,0.17,11520,40587080,3528,58026078720,
823,000910,유니온,KOSPI,비금속광물,0.17,2905,117738280,40879,45351753195,
824,318000,KBG,KOSDAQ,제조,0.17,2925,19275755,6533,25565152275,
825,237820,플레이디,KOSDAQ,기타서비스,0.17,2930,21005575,7273,37583520200,
826,032280,삼일,KOSDAQ,운송,0.17,1198,8043945,6713,19423880820,
827,317530,에피소드컴퍼니,KOSDAQ,오락·문화,0.16,3040,134714557,47917,53184441280,
828,003465,유화증권우,KOSPI,금융업,0.16,3045,18340,6,53215714125,
829,277880,티에스아이,KOSDAQ,기계·장비,0.16,3125,136329160,44187,62010037500,
830,039840,디오,KOSDAQ,의료·정밀기기,0.16,12620,86865560,6965,169307749360,
831,092440,기신정기,KOSPI,기계,0.16,1900,12763174,6727,55480000000,
832,071320,지역난방공사,KOSPI,전기가스업,0.15,64800,734712650,11338,750302611200,
833,301300,바이브컴퍼니,KOSDAQ,IT S/W & SVC,0.15,1306,44323969,32974,17180053872,
834,032540,TJ미디어,KOSDAQ,일반전기전자,0.15,3280,10239605,3127,68543514640,
835,331520,밸로프,KOSDAQ,IT S/W & SVC,0.15,1969,49665997,25203,20030396782,
836,145995,삼양사우,KOSPI,음식료품,0.15,33150,3573050,108,12267820500,
837,0041J0,엘에스스팩1호,KOSDAQ,금융,0.15,1993,3344269,1693,8191230000,
838,0097F0,미래에셋비전스팩10호,KOSDAQ,금융,0.15,1995,1479312,744,12967500000,
839,121440,골프존홀딩스,KOSDAQ,유통,0.15,6670,1239911445,186035,285721576060,
840,213500,한솔제지,KOSPI,제조업,0.15,6890,585671720,84124,163985968640,
841,462310,뉴키즈온,KOSDAQ,섬유·의류,0.14,3465,39125335,11156,28361444265,
842,004080,신흥,KOSPI,유통업,0.14,14000,25103310,1793,130200000000,
843,220180,핸디소프트,KOSDAQ,IT S/W & SVC,0.14,1422,6913149,4871,34029657324,
844,170900,동아에스티,KOSPI,의약품,0.14,35950,625140850,17358,349715093050,
845,023900,풍국주정,KOSDAQ,음식료·담배,0.14,7390,60608860,8268,93114000000,
846,335810,프리시젼바이오,KOSDAQ,의료·정밀기기,0.13,1486,307284,208,32616965916,
847,377030,비트맥스,KOSDAQ,IT S/W & SVC,0.13,1504,12135974,8168,21494719808,
848,002310,아세아제지,KOSPI,제조업,0.13,7660,697161440,91854,302183246600,
849,013870,지엠비코리아,KOSPI,운수장비,0.13,3880,61688620,16064,74000446400,
850,204840,지엘팜텍,KOSDAQ,기타서비스,0.12,814,222528572,268818,63124890884,
851,000640,동아쏘시오홀딩스,KOSPI,금융업,0.12,81600,628451250,7626,549374203200,
852,005320,온타이드,KOSPI,유통업,0.12,827,27658911,33967,28273347815,
853,087600,픽셀플러스,KOSDAQ,IT H/W,0.12,4145,3823610,933,33850382910,
854,096240,크레버스,KOSDAQ,기타서비스,0.12,8470,138843380,16380,90952384600,
855,003475,유안타증권우,KOSPI,금융업,0.12,4275,91386205,21688,54768606750,
856,013810,스페코,KOSDAQ,기계·장비,0.11,1752,78686188,44391,25676383440,
857,014100,메디앙스,KOSDAQ,유통,0.11,1790,25612996,14334,21122000000,
858,083420,그린케미칼,KOSPI,제조업,0.11,4550,58370785,12883,109200000000,
859,222110,팬젠,KOSDAQ,제약,0.11,4565,22279840,4956,61693733585,
860,021040,대호특수강,KOSDAQ,금속,0.11,917,10511466,11372,19903277758,
861,041930,SY동아,KOSDAQ,제조,0.11,4625,68607410,14935,70300000000,
862,221980,케이디켐,KOSDAQ,제조,0.11,9490,8154660,859,38290252000,
863,003030,세아제강지주,KOSPI,금융업,0.10,99600,2631720950,26626,412509037200,
864,481850,신한글로벌액티브리츠,KOSPI,금융업,0.10,996,16646839,16720,43303753344,
865,0132G0,교보20호스팩,KOSDAQ,금융,0.10,1992,571903,287,11892240000,
866,021820,세원정공,KOSPI,운수장비,0.10,10050,235211730,23557,100500000000,
867,489730,디비금융제13호스팩,KOSDAQ,금융,0.10,2012,8163484,4061,12739984000,
868,047080,한빛소프트,KOSDAQ,IT S/W & SVC,0.10,1051,48424265,46446,26088302462,
869,065530,와이어블,KOSDAQ,기타서비스,0.09,1077,107575697,101807,51522343443,
870,146320,비씨엔씨,KOSDAQ,IT H/W,0.09,10860,370572640,35008,138985443780,
871,084695,대상홀딩스우,KOSPI,금융업,0.09,11200,19457410,1740,10230998400,
872,014190,원익큐브,KOSDAQ,유통,0.09,1176,65971687,56446,41624603496,
873,097780,에코볼트,KOSDAQ,운송장비·부품,0.07,1421,39610329,28058,28836479469,
874,027580,상보,KOSDAQ,제조,0.07,1436,25902482,18091,16996862180,
875,000320,노루홀딩스,KOSPI,금융업,0.06,16130,49577700,3065,214386265630,
876,068270,셀트리온,KOSPI,의약품,0.06,175800,87026498150,498540,40882941514800,
877,0165X0,메리츠제2호스팩,KOSDAQ,금융,0.05,1947,34761398,17856,14096280000,
878,129260,인터지스,KOSPI,운수창고,0.05,1959,35989628,18363,58276085166,
