순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
204,273060,와이즈버즈,KOSDAQ,0.86,823,17801390,22004,41528235986,
205,009240,한샘,KOSPI,0.85,35700,1445195850,40688,840161229600,
206,014100,메디앙스,KOSDAQ,0.84,1805,132756700,74082,21299000000,
207,389680,유디엠텍,KOSDAQ,0.84,1676,55061842,33222,13945481468,
208,134060,이퓨쳐,KOSDAQ,0.84,4810,19486250,4076,22940092500,
209,060570,드림어스컴퍼니,KOSDAQ,0.83,846,42403684,50469,62689930758,
210,071840,롯데하이마트,KOSPI,0.81,6260,120755060,19525,147784277120,
211,900110,딥커머스,KOSDAQ,0.81,1250,38285992,30486,15364476250,
212,306040,에스제이그룹,KOSDAQ,0.81,1750,123166849,71234,17265199000,
213,417310,코람코더원리츠,KOSPI,0.80,10020,772898740,76971,404808000000,
214,005180,빙그레,KOSPI,0.77,65200,1091586500,16870,604340821200,
215,043610,KT지니뮤직,KOSDAQ,0.73,1389,35608372,25812,80722343382,
216,0101C0,하나36호스팩,KOSDAQ,0.71,1992,2498519,1255,15418080000,
217,127710,아시아경제,KOSDAQ,0.70,1007,7280882,7255,44357554470,
218,017940,E1,KOSPI,0.69,87700,746124600,8531,601622000000,
219,004430,송원산업,KOSPI,0.68,11880,1464303620,123133,285120000000,
220,041520,이엘씨,KOSDAQ,0.68,8910,123390230,13800,108601584300,
221,317690,퀀타매트릭스,KOSDAQ,0.68,2215,121146825,55162,44599089235,
222,053050,지에스이,KOSDAQ,0.65,1852,369079106,195543,55537029644,
223,221980,케이디켐,KOSDAQ,0.63,9550,9222715,975,38532340000,
224,000227,유유제약2우B,KOSPI,0.61,8260,15308330,1855,2667649600,
225,0093G0,미래에셋비전스팩8호,KOSDAQ,0.61,1987,18881128,9528,12716800000,
226,334890,이지스밸류플러스리츠,KOSPI,0.59,3400,197364735,57975,236125522200,
227,308170,씨티알모빌리티,KOSPI,0.57,3510,23209030,6738,30221100000,
228,130740,티피씨글로벌,KOSDAQ,0.56,1981,74852423,37642,22339101099,
229,044480,빌리언스,KOSDAQ,0.55,916,28554170,32239,30457839056,
230,110790,크리스에프앤씨,KOSDAQ,0.51,2965,14462210,5038,69472796400,
231,011200,HMM,KOSPI,0.50,20150,28298201185,1415098,19006245095500,
232,078930,GS,KOSPI,0.48,83200,53291766100,629872,7728905184000,
233,014825,동원시스템즈우,KOSPI,0.46,13120,393600,30,3465136320,
234,007770,한일화학,KOSDAQ,0.46,6530,18832480,2849,22920300000,
235,058450,한주에이알티,KOSDAQ,0.44,4520,17935462,4012,22660441440,
236,187220,디티앤씨,KOSDAQ,0.42,2365,13259355,5598,27256466545,
237,145270,케이탑리츠,KOSPI,0.40,760,8343987,11016,36526188240,
238,025880,케이씨피드,KOSDAQ,0.39,2605,609425696,231742,43544810090,
239,0001A0,덕양에너젠,KOSDAQ,0.38,7980,554615460,70240,203242316760,
240,900250,크리스탈신소재,KOSDAQ,0.37,1079,90929951,85335,38644386079,
241,134580,탑코미디어,KOSDAQ,0.37,1095,44358445,41187,53977093155,
242,357880,SKAI,KOSDAQ,0.35,2840,3814396221,1330749,150349736320,
243,040420,정상제이엘에스,KOSDAQ,0.35,5790,65358500,11374,90773026080,
244,069640,한세엠케이,KOSPI,0.30,1003,12007092,12141,22470460753,
245,008470,부스타,KOSDAQ,0.30,3350,75700985,22363,28156080000,
246,014160,대영포장,KOSPI,0.29,696,767772097,1081082,75442606104,
247,027580,상보,KOSDAQ,0.28,1440,46658406,31951,17044207200,
248,011330,유니켐,KOSPI,0.26,3880,98360290,25380,34992878040,
249,377190,디앤디플랫폼리츠,KOSPI,0.25,2030,405874501,197183,179452000000,
250,0041B0,교보18호스팩,KOSDAQ,0.25,2020,274385,136,10180800000,
251,0099W0,미래에셋비전스팩11호,KOSDAQ,0.25,1998,4693946,2354,13986000000,
252,487360,신한제14호스팩,KOSDAQ,0.25,2010,2238000,1116,11336400000,
253,473950,에스케이증권제13호스팩,KOSDAQ,0.25,2035,36578630,18019,8994700000,
254,0130H0,엔에이치스팩33호,KOSDAQ,0.25,1995,10000254,5019,15361500000,
255,041650,상신브레이크,KOSPI,0.24,2125,15806565,7502,45626831250,
256,467930,IBKS제23호스팩,KOSDAQ,0.24,2115,282399810,133821,8946450000,
257,471050,대신밸런스제17호스팩,KOSDAQ,0.24,2100,93988802,44851,12726000000,
258,043360,디지아이,KOSDAQ,0.24,2105,3152875,1497,18945000000,
259,079650,서산,KOSDAQ,0.24,4100,32952430623,7539667,82000000000,
260,474660,신한제12호스팩,KOSDAQ,0.24,2060,2060,1,11371200000,
261,479880,한국제15호스팩,KOSDAQ,0.24,2050,865080,422,14083500000,
262,045060,오공,KOSDAQ,0.23,2205,85522555,39108,37357052670,
263,344820,KCC글라스,KOSPI,0.22,22650,288318625,12724,361732096800,
264,002820,SUNL,KOSPI,0.22,2275,14306935,6369,28683174975,
265,001685,대상우,KOSPI,0.21,14100,31081570,2213,19320144300,
266,006880,신송홀딩스,KOSPI,0.21,4880,1877240340,371485,57724827040,
267,092600,앤씨앤,KOSDAQ,0.21,2355,51579570,22670,11814335565,
268,129890,앱코,KOSDAQ,0.21,941,168035922,179591,42858411482,
269,340450,지씨지놈,KOSDAQ,0.21,4740,1653311983,329954,112104758820,
270,038540,상상인,KOSDAQ,0.20,1997,42655284,21626,110490641061,
271,0130D0,신한제17호스팩,KOSDAQ,0.20,1984,2187993,1103,10594560000,
272,086060,진바이오텍,KOSDAQ,0.20,5110,83715422,16533,44000099570,
273,090355,노루페인트우,KOSPI,0.19,10350,10350,1,4793354100,
274,101140,인바이오젠,KOSPI,0.19,5250,20684850,3989,52732134000,
275,002170,SYTS,KOSPI,0.18,56100,298837600,5327,168300000000,
276,007590,동방아그로,KOSPI,0.18,5610,23504220,4204,76394606970,
277,396690,미래에셋글로벌리츠,KOSPI,0.18,1663,45808362,27492,65864678220,
278,376290,씨유테크,KOSDAQ,0.18,2730,15131580,5722,48204975000,
279,0134X0,대신밸런스제20호스팩,KOSDAQ,0.15,1975,28208449,14302,13311500000,
280,0105P0,유진스팩12호,KOSDAQ,0.15,1998,5084727,2544,11308680000,
281,068930,디지털대성,KOSDAQ,0.14,7310,333124980,45991,202306750020,
282,016090,대현,KOSPI,0.13,1492,146094552,99161,66069206520,
283,357120,코람코라이프인프라리츠,KOSPI,0.13,3970,283797530,71069,386421355380,
284,253840,수젠텍,KOSDAQ,0.12,4020,461680326,113805,67307664000,
285,357250,미래에셋맵스리츠,KOSPI,0.11,1857,25619285,13721,46415909985,
286,482520,교보16호스팩,KOSDAQ,0.10,2022,13433602,6641,12334200000,
287,0068Y0,비엔케이제3호스팩,KOSDAQ,0.10,1985,3815302,1922,8555350000,
288,496070,신한제16호스팩,KOSDAQ,0.10,1989,6614865,3326,11178180000,
289,472230,에스케이증권제11호스팩,KOSDAQ,0.10,2082,45389144,21822,8650710000,
290,0041J0,엘에스스팩1호,KOSDAQ,0.10,1995,7557551,3802,8199450000,
291,347770,핌스,KOSDAQ,0.10,1021,51054292,51125,23337039882,
292,080420,모다이노칩,KOSDAQ,0.07,1348,4688772,3465,107464746456,
293,354200,엔젠바이오,KOSDAQ,0.06,1669,34343687,20522,14915157027,
294,030000,제일기획,KOSPI,0.05,18620,5938791075,318783,2142067609500,
295,0115H0,삼성스팩13호,KOSDAQ,0.05,1987,10631514,5354,14604450000,
