date,code,market,name,mcap,shares,sect
2026-08-21,002900,KOSPI,TYM,296424000000,41400000,
2026-08-21,024070,KOSPI,WISCOM,30652876000,15326438,
2026-08-21,037270,KOSPI,YG PLUS,203085320900,63663110,
2026-08-21,139130,KOSPI,iM금융지주,2720683349440,158363408,
2026-08-21,000500,KOSPI,가온전선,4710817427400,29777607,
2026-08-21,000860,KOSPI,강남제비스코,155350000000,13000000,
2026-08-21,035250,KOSPI,강원랜드,3061488555000,213940500,
2026-08-21,011420,KOSPI,갤럭시아에스엠,40415327748,27549644,
2026-08-21,002100,KOSPI,경농,178826787000,19522575,
2026-08-21,009450,KOSPI,경동나비엔,922191873600,14568592,
2026-08-21,267290,KOSPI,경동도시가스,126161688400,5895406,
2026-08-21,012320,KOSPI,경동인베스트,109382313750,2365023,
2026-08-21,000050,KOSPI,경방,224531061300,27415270,
2026-08-21,214390,KOSPI,경보제약,121207780200,23906860,
2026-08-21,012610,KOSPI,경인양행,130259222450,41616365,
2026-08-21,009140,KOSPI,경인전자,34636073850,1570797,
2026-08-21,013580,KOSPI,계룡건설,198266135400,8930907,
2026-08-21,012200,KOSPI,계양전기,108074631130,27222829,
2026-08-21,012205,KOSPI,계양전기우,7131381900,1169079,
2026-08-21,002140,KOSPI,고려산업,52871581000,24939425,
2026-08-21,010130,KOSPI,고려아연,25819862653000,20872969,
2026-08-21,002240,KOSPI,고려제강,451710000000,27000000,
2026-08-21,009290,KOSPI,광동제약,296308857600,49799808,
2026-08-21,017040,KOSPI,광명전기,40390657180,43337615,
2026-08-21,017900,KOSPI,광전자,460073478220,57943763,
2026-08-21,037710,KOSPI,광주신세계,283730798400,7627172,
2026-08-21,030610,KOSPI,교보증권,1143048498830,113962961,
2026-08-21,339770,KOSPI,교촌에프앤비,188368351600,49965080,
2026-08-21,007690,KOSPI,국도화학,339872534400,9260832,
2026-08-21,002720,KOSPI,국제약품,68028859880,21159832,
2026-08-21,083420,KOSPI,그린케미칼,113760000000,24000000,
2026-08-21,014530,KOSPI,극동유화,112802573700,34869420,
2026-08-21,014280,KOSPI,금강공업,126996115810,29329357,
2026-08-21,014285,KOSPI,금강공업우,3238413750,589875,
2026-08-21,008870,KOSPI,금비,39600000000,1000000,
2026-08-21,001570,KOSPI,금양,633275240400,63967196,
2026-08-21,002990,KOSPI,금호건설,549584616500,37259974,
2026-08-21,002995,KOSPI,금호건설우,6283719000,292266,
2026-08-21,011780,KOSPI,금호석유화학,2948438490000,25157325,
2026-08-21,011785,KOSPI,금호석유화학우,153593088800,3023486,
2026-08-21,214330,KOSPI,금호에이치티,69747716430,10456929,
2026-08-21,001210,KOSPI,금호전기,103711014080,12376016,
2026-08-21,073240,KOSPI,금호타이어,2082637080750,287260287,
2026-08-21,092440,KOSPI,기신정기,57670000000,29200000,
2026-08-21,000270,KOSPI,기아,51105061438200,390412998,
2026-08-21,024110,KOSPI,기업은행,15948517380000,797425869,
2026-08-21,013700,KOSPI,까뮤이앤씨,95601328000,59750830,
2026-08-21,004540,KOSPI,깨끗한나라,44651590907,37240693,
2026-08-21,004545,KOSPI,깨끗한나라우,1647720000,366160,
2026-08-21,001260,KOSPI,남광토건,75219175800,9832572,
2026-08-21,008350,KOSPI,남선알미늄,122883293680,129079090,
2026-08-21,008355,KOSPI,남선알미우,2238360300,307890,
2026-08-21,004270,KOSPI,남성,21911415040,4560128,
2026-08-21,003920,KOSPI,남양유업,240554152800,5673447,
2026-08-21,003925,KOSPI,남양유업우,56734470000,1891149,
2026-08-21,025860,KOSPI,남해화학,293105173700,49678843,
2026-08-21,005720,KOSPI,넥센,320518259700,52543977,
2026-08-21,005725,KOSPI,넥센우,15464577000,3600600,
2026-08-21,002350,KOSPI,넥센타이어,625074412800,97667877,
2026-08-21,002355,KOSPI,넥센타이어1우B,25090000000,6500000,
2026-08-21,092790,KOSPI,넥스틸,306563580000,26002000,
2026-08-21,251270,KOSPI,넷마블,3081019646250,83158425,
2026-08-21,090350,KOSPI,노루페인트,161200000000,20000000,
2026-08-21,090355,KOSPI,노루페인트우,5362999080,463126,
2026-08-21,000320,KOSPI,노루홀딩스,223025513780,13291151,
2026-08-21,000325,KOSPI,노루홀딩스우,6478669400,243559,
2026-08-21,006280,KOSPI,녹십자,1426926289800,11686538,
2026-08-21,005250,KOSPI,녹십자홀딩스,468400971600,47028210,
2026-08-21,005257,KOSPI,녹십자홀딩스2우,13958835000,845990,
2026-08-21,004370,KOSPI,농심,2630742665000,6082642,
2026-08-21,072710,KOSPI,농심홀딩스,434560923000,4637790,
2026-08-21,058730,KOSPI,다스코,64500234435,20251251,
2026-08-21,030210,KOSPI,다올투자증권,230548536210,60911106,
2026-08-21,023590,KOSPI,다우기술,1683876436800,43287312,
2026-08-21,145210,KOSPI,다이나믹디자인,9461011840,4223666,
2026-08-21,483650,KOSPI,달바글로벌,2704932597500,12493915,
2026-08-21,019680,KOSPI,대교,80467700000,80467700,
2026-08-21,019685,KOSPI,대교우B,11617340020,19426990,
2026-08-21,006370,KOSPI,대구백화점,50861571700,10821611,
2026-08-21,008060,KOSPI,대덕,475251018620,31287098,
2026-08-21,00806K,KOSPI,대덕1우,13202567730,1212357,
2026-08-21,353200,KOSPI,대덕전자,5154185277500,49416925,
2026-08-21,35320K,KOSPI,대덕전자1우,47149177500,2095519,
2026-08-21,000490,KOSPI,대동,217642830750,28826865,
2026-08-21,005750,KOSPI,대림바스,75328769600,16592240,
2026-08-21,006570,KOSPI,대림통상,28942725000,15225000,
2026-08-21,001680,KOSPI,대상,600103793000,34648025,
2026-08-21,001685,KOSPI,대상우,19909340190,1370223,
2026-08-21,084690,KOSPI,대상홀딩스,270869784240,36212538,
2026-08-21,084695,KOSPI,대상홀딩스우,10788222420,913482,
2026-08-21,128820,KOSPI,대성산업,182977508510,45235478,
2026-08-21,117580,KOSPI,대성에너지,183700000000,27500000,
2026-08-21,016710,KOSPI,대성홀딩스,112304423820,16089459,
2026-08-21,0030R0,KOSPI,대신밸류리츠,229256300000,59780000,
2026-08-21,003540,KOSPI,대신증권,1234552663400,47666126,
2026-08-21,003547,KOSPI,대신증권2우B,188963120220,9606666,
2026-08-21,003545,KOSPI,대신증권우,493762513500,24383334,
2026-08-21,009190,KOSPI,대양금속,66067385050,43986275,
2026-08-21,014160,KOSPI,대영포장,78586048025,108394549,
2026-08-21,047040,KOSPI,대우건설,6545758673340,410907638,
2026-08-21,003090,KOSPI,대웅,947132854200,58141980,
2026-08-21,069620,KOSPI,대웅제약,1384595712500,11586575,
2026-08-21,000430,KOSPI,대원강업,247690000000,62000000,
2026-08-21,006340,KOSPI,대원전선,1038991012000,78414416,
2026-08-21,006345,KOSPI,대원전선우,26395484000,2621200,
2026-08-21,003220,KOSPI,대원제약,172916664930,22427583,
2026-08-21,024890,KOSPI,대원화성,15666427170,8249830,
2026-08-21,012800,KOSPI,대창,107181226824,91140499,
2026-08-21,015230,KOSPI,대창단조,164761773400,27143620,
2026-08-21,001070,KOSPI,대한방직,32065000000,5300000,
2026-08-21,006650,KOSPI,대한유화,521950000000,6500000,
2026-08-21,001440,KOSPI,대한전선,5223202683400,195992596,
2026-08-21,084010,KOSPI,대한제강,259161833840,34371596,
2026-08-21,001790,KOSPI,대한제당,239321314125,86241915,
2026-08-21,001795,KOSPI,대한제당우,13613796000,6482760,
2026-08-21,001130,KOSPI,대한제분,192153000000,16900000,
2026-08-21,439260,KOSPI,대한조선,1868252206500,38088730,
2026-08-21,003490,KOSPI,대한항공,9500093053800,368220661,
2026-08-21,003495,KOSPI,대한항공우,23993150400,1110794,
2026-08-21,005880,KOSPI,대한해운,660018310300,322747340,
2026-08-21,003830,KOSPI,대한화섬,150728000000,1328000,
2026-08-21,016090,KOSPI,대현,65183560320,44282310,
