code,fiscal_year,revenue,cogs,assets
000700,2022,557607368527.0,462938004600.0,524926064872.0
000700,2023,341773101419.0,265408967214.0,514472137701.0
000700,2024,435867054050.0,349275355880.0,478715425251.0
000700,2025,418474161915.0,322952821489.0,479684093581.0
000720,2015,19233180000000.0,17508138000000.0,19350103000000.0
000720,2016,18825015000000.0,16895275000000.0,19873443000000.0
000720,2017,16887090000000.0,15108126000000.0,18431902000000.0
000720,2018,16730894000000.0,15069747000000.0,18054609000000.0
000720,2019,17278792000000.0,15552887000000.0,18226972000000.0
000720,2020,16970859000000.0,15573996000000.0,17939274000000.0
000720,2021,18065534000000.0,16268298000000.0,19637264000000.0
000720,2022,21239082000000.0,19726334000000.0,20911708000000.0
000720,2023,29651357000000.0,27948549000000.0,23714495000000.0
000720,2024,32670268000000.0,32887201000000.0,27005385000000.0
000720,2025,31062912000000.0,29082629000000.0,27791708000000.0
000760,2015,82960066928.0,68298121812.0,273316937123.0
000760,2016,55157745371.0,44265356809.0,277866085184.0
000760,2017,65664098834.0,53337936600.0,280830381296.0
000760,2018,69095676804.0,56519591816.0,287450244324.0
000760,2019,61703167631.0,50562948444.0,276765829735.0
000760,2020,51125793847.0,43616005270.0,274857376831.0
000760,2021,57775111897.0,47468243843.0,274689898335.0
000760,2022,58633950913.0,48511181437.0,268217246459.0
000760,2023,47187842383.0,38498654548.0,265952518844.0
000760,2024,49487533689.0,38036498917.0,269760591981.0
000760,2025,46255096115.0,35924316215.0,269557636766.0
0007C0,2025,13312020352.0,15565600488.0,50936357151.0
0007J0,2025,0.0,0.0,15418083556.0
000800,2015,636684676586.0,750194318975.0,754177963969.0
000800,2018,240457952411.0,225198143633.0,272143615092.0
000800,2019,276319218241.0,251561742033.0,334433538346.0
000800,2020,304430019699.0,272037631244.0,410402523259.0
000800,2021,415652661076.0,369587981423.0,496123144139.0
000800,2022,355462813293.0,311007463907.0,508543872394.0
000800,2023,487981283496.0,441641784117.0,530191141876.0
000800,2024,540356210287.0,486202461435.0,586807732335.0
000850,2015,199324536930.0,164514856766.0,340734967739.0
000850,2016,174778620859.0,146493448700.0,346272695656.0
000850,2017,208441140327.0,171065823188.0,360582907896.0
000850,2018,215559439870.0,178196480585.0,385639759305.0
000850,2019,206476470990.0,168971797125.0,374944125540.0
000850,2020,161745983859.0,136288068014.0,378376164732.0
000850,2021,203972289491.0,172254973004.0,425436857316.0
000850,2022,244093710786.0,201763172800.0,474032615936.0
000850,2023,225720429438.0,188579616967.0,463885406068.0
000850,2024,222200718833.0,187775871032.0,428809811685.0
000850,2025,221755533963.0,182646551304.0,420411492511.0
000860,2015,293873095070.0,237630684100.0,522260144956.0
000860,2016,290286260750.0,230999845093.0,560934377186.0
000860,2017,300025162299.0,251348019686.0,584684282138.0
000860,2018,307020826321.0,269154922587.0,657866049667.0
000860,2019,332539412854.0,291721311589.0,672270312827.0
000860,2020,340807352504.0,298412645414.0,712155828911.0
000860,2021,590983999981.0,545839622054.0,904010952337.0
000860,2022,673166188482.0,607906965557.0,957791314832.0
000860,2023,638789180998.0,552056004055.0,985686727233.0
000860,2024,643137092555.0,557125994040.0,969739160656.0
000860,2025,598552862276.0,523927633863.0,974015674336.0
000880,2015,41376288000000.0,38427601000000.0,145621715000000.0
000880,2016,47120215000000.0,43049746000000.0,154871038000000.0
000880,2017,50404436000000.0,45921118000000.0,160194978000000.0
000880,2018,48740153000000.0,44479231000000.0,169548577000000.0
000880,2019,50412399000000.0,46659353000000.0,182286178000000.0
000880,2020,50926451000000.0,46791921000000.0,191178338000000.0
000880,2021,52836069000000.0,47131571000000.0,202366402000000.0
000880,2022,62278395000000.0,56364928000000.0,211175324000000.0
000880,2023,53134813000000.0,46735075000000.0,209738149000000.0
000880,2024,55646829000000.0,48723708000000.0,252036985000000.0
000880,2025,74785440000000.0,64747198000000.0,289329420000000.0
000890,2015,123791144400.0,73260427600.0,218462898319.0
000890,2016,115522342132.0,71674714792.0,218917156858.0
000890,2017,99566414290.0,63689925323.0,217823363904.0
000890,2018,82004391894.0,59165761111.0,200457249206.0
000890,2019,76011205019.0,68289377606.0,163069253504.0
000890,2020,78563804540.0,52326016062.0,149117625674.0
000890,2021,83748910790.0,54517692576.0,153116763663.0
000890,2022,90858780910.0,63453459899.0,147392500947.0
000890,2023,93084785144.0,67021065579.0,143300746774.0
000890,2024,87624248943.0,60611777947.0,138831713491.0
000890,2025,89878693356.0,61124510937.0,146550950501.0
0008Z0,2025,144425340172.0,105915670362.0,232525687221.0
000910,2015,100482100312.0,86367885843.0,163957107841.0
000910,2016,92313119408.0,77904485216.0,164337625596.0
000910,2017,181139044376.0,155462072878.0,363299898424.0
000910,2018,208863124669.0,182005904184.0,306580015637.0
000910,2019,212431081894.0,173354762447.0,325173584878.0
000910,2020,189192653011.0,156068717423.0,354433760157.0
000910,2021,215922625914.0,181697803933.0,366165151031.0
000910,2022,234981176780.0,200319712504.0,376111723330.0
000910,2023,224649755569.0,196249121016.0,382846276957.0
000910,2024,218159407914.0,192994904483.0,305473764776.0
000910,2025,202400732520.0,168269196768.0,333392379451.0
000950,2015,237295666929.0,235436742456.0,519484802933.0
000950,2016,200800661263.0,202926494706.0,484109387940.0
000950,2017,182485145533.0,190959766446.0,413514842730.0
000950,2018,149325045655.0,151775233066.0,364005281820.0
000950,2019,137483747889.0,159149890522.0,386595114678.0
000950,2020,105152228441.0,117749882057.0,373432831320.0
000950,2021,133745227330.0,120719273833.0,383313469255.0
000950,2022,124914049101.0,153983475918.0,315467888634.0
000950,2023,94772410649.0,120719387788.0,236979137636.0
000950,2024,57235842614.0,60948652954.0,231974001581.0
000950,2025,40776455996.0,43860825343.0,237363693514.0
000970,2015,315476201899.0,243847630705.0,300739840129.0
000970,2016,333283122925.0,259342659714.0,323376592895.0
000970,2017,387317849128.0,294855814937.0,334728978766.0
