code,name,mkt,track,price,score,div,pbr,roe,mcap,stop,R,weight,qty,amount,rule,ma60_ok
003490,대한항공,KOSPI,가치,24650,4.870537634408603,2.72,0.93,7.191746181597491,9739436483450,14790.0,40.0,2.5,5,123250,재난 −40% · 익절 PBR≥1.0/+100%,False
282330,BGF리테일,KOSPI,가치,126400,4.855789473684211,3.54,1.52,14.870607428067729,2169130203000,75840.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,True
096530,096530,KOSDAQ,가치,25400,4.851481481481482,3.37,1.35,4.754768392370572,1472773030800,15240.0,40.0,2.5,4,101600,재난 −40% · 익절 PBR≥1.0/+100%,False
039490,039490,KOSPI,가치,255000,4.8314814814814815,3.35,1.35,17.471496960725645,7868494800000,153000.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
105560,105560,KOSPI,가치,166100,4.811855670103093,2.75,0.97,9.358166989536585,61219102888400,99660.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,True
383220,383220,KOSPI,가치,78800,4.798701298701299,3.5,1.54,21.169921991899926,2980290435000,47280.0,40.0,2.5,1,78800,재난 −40% · 익절 PBR≥1.0/+100%,True
000810,000810,KOSPI,가치,610000,4.772903225806452,3.16,1.24,9.494251816242095,28797620085000,366000.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
004370,004370,KOSPI,가치,385500,4.688550724637682,1.79,0.69,6.047490380116778,2290114713000,231300.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,True
086280,086280,KOSPI,가치,193500,4.673759398496241,3.17,1.33,16.749507303501044,15337500000000,116100.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
007340,007340,KOSPI,가치,38100,4.64020202020202,2.62,0.99,14.027849406910779,2243891672750,22860.0,40.0,2.5,3,114300,재난 −40% · 익절 PBR≥1.0/+100%,False
033780,033780,KOSPI,가치,185800,4.592631578947368,3.54,1.9,11.430616604592378,18955789265600,111480.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,True
009540,009540,KOSPI,가치,370500,4.585268817204301,3.51,1.86,16.320795388619512,26787624406000,222300.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
001740,001740,KOSPI,가치,6460,4.573333333333334,2.49,0.96,2.464046021093001,1566638273090,3876.0,40.0,2.5,19,122740,재난 −40% · 익절 PBR≥1.0/+100%,False
004800,004800,KOSPI,가치,122800,4.516666666666667,2.85,1.2,13.500903070439493,2546215904700,73680.0,40.0,2.5,1,122800,재난 −40% · 익절 PBR≥1.0/+100%,False
001040,001040,KOSPI,가치,122300,4.13,2.13,1.0,2.7493466198035352,3906800032200,73380.0,40.0,2.5,1,122300,재난 −40% · 익절 PBR≥1.0/+100%,False
271560,271560,KOSPI,가치,135200,4.10985401459854,2.65,1.37,10.048571903022252,5138742440000,81120.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,True
204320,204320,KOSPI,가치,39750,3.882941176470588,1.53,0.85,3.6855674562663294,2108374688000,23850.0,40.0,2.5,3,119250,재난 −40% · 익절 PBR≥1.0/+100%,False
005380,005380,KOSPI,가치,347000,3.789911504424779,2.02,1.13,8.210383104192783,82517379698000,208200.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
001450,001450,KOSPI,가치,38450,3.773584905660377,0.0,0.53,19.774372073222647,3388617937500,23070.0,40.0,2.5,3,115350,재난 −40% · 익절 PBR≥1.0/+100%,True
112610,112610,KOSPI,가치,35450,3.6571895424836605,2.35,1.53,3.0079781499317186,1688964690150,21270.0,40.0,2.5,3,106350,재난 −40% · 익절 PBR≥1.0/+100%,False
323410,323410,KOSPI,가치,21700,3.5513513513513515,2.2,1.48,7.115628970775095,10568217679550,13020.0,40.0,2.5,5,108500,재난 −40% · 익절 PBR≥1.0/+100%,False
041510,041510,KOSDAQ,가치,66900,3.524567901234568,2.29,1.62,34.631105427808095,1703364936000,40140.0,40.0,2.5,1,66900,재난 −40% · 익절 PBR≥1.0/+100%,False
012330,012330,KOSPI,가치,437000,3.497802197802198,1.3,0.91,7.411417947671518,42054552220500,262200.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
267250,267250,KOSPI,가치,196500,3.448848920863309,2.01,1.39,9.516391553093543,16628044392500,117900.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
021240,021240,KOSPI,가치,90200,3.299943502824859,2.17,1.77,16.900029374326838,6531833419800,54120.0,40.0,2.5,1,90200,재난 −40% · 익절 PBR≥1.0/+100%,False
069960,069960,KOSPI,가치,111200,3.283913043478261,1.11,0.92,4.5371594878868455,2956549435200,66720.0,40.0,2.5,1,111200,재난 −40% · 익절 PBR≥1.0/+100%,False
017670,017670,KOSPI,가치,78700,3.24986301369863,1.88,1.46,3.021773325606424,21027946188700,47220.0,40.0,2.5,1,78700,재난 −40% · 익절 PBR≥1.0/+100%,False
035420,035420,KOSPI,가치,196500,3.1718518518518515,1.32,1.08,7.054925269528624,35312454450000,117900.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
032830,032830,KOSPI,가치,259500,3.0591304347826087,1.32,1.15,3.671416260846911,62300000000000,155700.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
018260,018260,KOSPI,가치,202500,3.0122818791946306,1.67,1.49,7.6592458540694865,16829671500000,121500.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
073240,073240,KOSPI,가치,6060,2.8985507246376816,0.0,0.69,17.112526539278132,1769523367920,3636.0,40.0,2.5,20,121200,재난 −40% · 익절 PBR≥1.0/+100%,True
010130,010130,KOSPI,가치,919000,2.845024875621891,1.85,2.01,7.936354042756301,21478285101000,551400.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
192820,192820,KOSPI,가치,186300,2.764920634920635,2.13,3.15,22.04854053175055,2184780482500,111780.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,True
