code,name,board,industry,mcap_억,adtv_억,latest_fy,rev_yoy,rev_cagr,cfo_yoy,roa,op_margin,accrual_sloan,debt_ratio,ni_positive,cfo_positive
137400,피엔티,우량기업부,특수 목적용 기계 제조업,10175.2,97.01,2025,-0.2804,0.1504,-0.888,0.0405,0.1284,0.0379,1.4608,True,True
138080,오이솔루션,벤처기업부,통신 및 방송 장비 제조업,4270.3,162.13,2025,0.7916,-0.1946,,-0.2261,-0.2788,-0.1271,0.8609,False,False
140860,파크시스템스,우량기업부,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",19256.8,137.26,2025,0.1745,0.2576,-0.2949,0.0985,0.2052,0.0286,0.5544,True,True
141080,리가켐바이오,기술성장기업부,자연과학 및 공학 연구개발업,54677.7,699.54,2025,0.1243,0.162,-2.5869,-0.1305,-0.7523,0.047,0.297,False,False
145020,휴젤,우량기업부,기초 의약물질 제조업,29898.8,149.35,2025,0.1396,0.1297,0.0068,0.1365,0.4725,-0.0029,0.0986,True,True
161580,필옵틱스,중견기업부,특수 목적용 기계 제조업,9892.6,118.0,2025,-0.7483,-0.0496,,-0.0689,-0.3373,-0.0938,1.0009,False,True
166090,하나머티리얼즈,우량기업부,반도체 제조업,11530.4,166.58,2025,0.0868,0.0995,-0.0944,0.056,0.1831,-0.044,0.4786,True,True
170920,엘티씨,벤처기업부,기초 화학물질 제조업,4378.8,172.32,2025,0.1206,0.2246,0.2319,0.0474,0.0955,-0.0181,0.7135,True,True
171090,선익시스템,우량기업부,특수 목적용 기계 제조업,7395.1,81.24,2025,3.5673,0.3436,,0.264,0.2162,-0.0021,1.5425,True,True
174900,앱클론,벤처기업부,의료용품 및 기타 의약 관련제품 제조업,6763.8,96.44,2025,1.0147,-0.1696,,-0.2531,-3.7411,-0.0576,0.1705,False,False
178320,서진시스템,중견기업부,기타 전기장비 제조업,46196.6,1555.74,2025,-0.1215,0.1813,,-0.0444,0.0011,-0.0272,2.1262,False,False
183300,코미코,우량기업부,특수 목적용 기계 제조업,9508.8,223.44,2025,0.1912,0.2312,-0.6694,0.075,0.1837,0.0379,1.7859,True,True
189300,인텔리안테크,우량기업부,통신 및 방송 장비 제조업,13411.1,389.39,2025,0.24,0.1807,-5.6094,0.015,0.0374,0.0518,0.8645,True,False
195940,HK이노엔,우량기업부,의약품 제조업,12068.5,92.78,2025,0.185,0.0841,0.5301,0.0361,0.1043,-0.0412,0.5785,True,True
196170,알테오젠,우량기업부,자연과학 및 공학 연구개발업,191303.2,1880.17,2025,1.0987,0.3955,1.3401,0.2078,0.4952,0.0301,0.5376,True,True
199800,툴젠,기술성장기업부,자연과학 및 공학 연구개발업,4786.7,41.05,2025,0.4663,0.0252,,-0.5963,-17.8303,-0.2684,0.1039,False,False
200710,에이디테크놀로지,중견기업부,반도체 제조업,5209.8,89.14,2025,0.5441,-0.0514,,0.0122,0.0173,0.0663,1.1593,True,False
204270,제이앤티씨,중견기업부,전자부품 제조업,10910.2,82.84,2025,-0.3205,-0.1149,-1.06,-0.1671,-0.4201,-0.1628,1.213,False,False
213420,덕산네오룩스,우량기업부,전자부품 제조업,8889.6,92.82,2025,0.6222,0.2332,0.0294,0.0756,0.1764,-0.0092,0.518,True,True
214150,클래시스,우량기업부,의료용 기기 제조업,27823.0,116.01,2025,0.3864,0.2677,0.5947,0.1873,0.5065,-0.0454,0.2773,True,True
214370,케어젠,벤처기업부,기초 의약물질 제조업,43885.2,99.17,2025,-0.1184,0.0199,0.3784,0.0869,0.2802,0.0065,0.0885,True,True
214430,아이쓰리시스템,우량기업부,전자부품 제조업,5180.8,57.74,2025,0.0296,0.1568,1.3061,0.0991,0.1324,-0.0001,0.3565,True,True
214450,파마리서치,우량기업부,의료용품 및 기타 의약 관련제품 제조업,30181.9,251.63,2025,0.5318,0.3624,0.3261,0.1612,0.3998,-0.0143,0.4421,True,True
218410,RFHIC,우량기업부,통신 및 방송 장비 제조업,21880.0,397.58,2025,0.6174,0.095,-0.0901,0.065,0.1662,0.011,0.3777,True,True
222080,씨아이에스,우량기업부,특수 목적용 기계 제조업,8594.7,180.75,2025,-0.1993,0.2625,2.4446,0.0435,0.0823,-0.1101,0.3004,True,True
222800,심텍,중견기업부,전자부품 제조업,39112.3,1252.23,2025,0.1455,0.059,,-0.1016,0.0084,0.021,1.8113,False,False
226950,올릭스,기술성장기업부,자연과학 및 공학 연구개발업,31668.9,1341.89,2025,1.5835,0.5329,,-0.0806,-2.0435,0.0008,0.3018,False,False
232140,와이씨,우량기업부,특수 목적용 기계 제조업,12544.7,139.87,2025,0.2906,0.3268,,0.0477,0.0623,-0.0201,0.2751,True,True
237690,에스티팜,우량기업부,의약품 제조업,25743.0,188.57,2025,0.2116,0.2355,-0.8722,0.0697,0.1656,0.0518,0.3197,True,True
240810,원익IPS,우량기업부,특수 목적용 기계 제조업,48053.1,650.09,2025,0.216,0.0525,1.0006,0.0722,0.0811,-0.0623,0.2006,True,True
241710,코스메카코리아,우량기업부,기타 화학제품 제조업,7486.7,43.97,2025,0.2224,0.1077,-0.2079,0.0915,0.1303,0.0044,0.8791,True,True
247540,에코프로비엠,중견기업부,일차전지 및 이차전지 제조업,193704.3,1774.22,2025,-0.085,0.2656,-0.6796,0.0188,0.0566,-0.0252,1.4216,True,True
