순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
173,192250,케이사인,KOSDAQ,9.54,7580,9242579160,1128140,53568807500,
174,010140,삼성중공업,KOSPI,9.49,23650,96079793025,4185660,20812000000000,
175,047050,포스코인터내셔널,KOSPI,9.48,56600,39548346550,717746,9957229800800,
176,301300,바이브컴퍼니,KOSDAQ,9.45,1598,138248729,86932,21021229776,
177,417860,오브젠,KOSDAQ,9.45,6720,836422525,124101,31630408320,
178,457190,이수스페셜티케미컬,KOSPI,9.37,60700,6405902050,108940,1834285530400,
179,071280,로체시스템즈,KOSDAQ,9.37,6890,622733110,92614,105393594670,
180,103590,일진전기,KOSPI,9.36,66600,14212673000,220536,3175846974000,
181,086520,에코프로,KOSDAQ,9.34,84300,76258780700,934759,11445929613600,
182,267260,HD현대일렉트릭,KOSPI,9.31,869000,108905799000,128462,31324960315000,
183,011930,신성이엔지,KOSPI,9.29,16240,4615292270,291612,329772395680,
184,033500,동성화인텍,KOSDAQ,9.29,17050,2576503040,154580,511320872700,
185,033100,제룡전기,KOSDAQ,9.28,47100,7781044875,171525,756539463900,
186,069330,유아이디,KOSDAQ,9.26,1180,1162618622,1018382,20004037320,
187,199820,제일일렉트릭,KOSDAQ,9.25,7320,1122104080,158853,162650400000,
188,434480,모니터랩,KOSDAQ,9.24,2305,605529652,249805,28375241500,
189,059120,아진엑스텍,KOSDAQ,9.24,5910,27107250170,4445575,108212490060,
190,476830,알지노믹스,KOSDAQ,9.23,28400,10127612075,372392,796774382400,
191,004960,한신공영,KOSPI,9.22,10780,568127350,54028,124732167560,
192,319400,현대무벡스,KOSDAQ,9.22,21550,32377275775,1548737,2400153640450,
193,077970,STX엔진,KOSPI,9.21,26100,4218634600,167166,1047864444300,
194,389650,넥스트바이오메디컬,KOSDAQ,9.21,36150,1686097075,48101,299223888900,
195,267250,HD현대,KOSPI,9.20,231500,46095838500,202434,18286899177500,
196,001020,페이퍼코리아,KOSPI,9.18,1998,26929599,13784,71122130676,
197,394800,쓰리빌리언,KOSDAQ,9.16,5840,986120445,173809,185843709520,
198,241710,코스메카코리아,KOSDAQ,9.16,83400,7631179850,92208,890712000000,
199,120110,코오롱인더,KOSPI,9.13,56200,6802888250,125721,1682966998400,
200,007610,선도전기,KOSPI,9.12,4725,5339536326,1131007,85050000000,
201,004020,현대제철,KOSPI,9.11,28150,20220500300,729201,3756498847750,
202,016880,웅진,KOSPI,9.10,2050,748201790,373278,163850514000,
203,214430,아이쓰리시스템,KOSDAQ,9.09,63600,1342715500,21530,464738874000,
204,494120,큐리오시스,KOSDAQ,9.04,11340,732424345,65626,86522861880,
205,145020,휴젤,KOSDAQ,9.03,241500,14565616750,61693,2971423969500,
206,032820,우리기술,KOSDAQ,9.02,10880,40874072495,3818664,1867064423680,
207,019540,일지테크,KOSDAQ,9.02,6770,924476605,139970,91486395000,
208,340570,티앤엘,KOSDAQ,9.02,55600,5942928300,107603,451916800000,
209,043200,파루,KOSDAQ,9.01,629,372974539,608752,26294914135,
210,380550,뉴로핏,KOSDAQ,8.98,8250,757022770,93708,100640644500,
211,278280,천보,KOSDAQ,8.98,34600,797204825,23586,423954665000,
212,099320,쎄트렉아이,KOSDAQ,8.95,85200,4691075200,57011,933048885600,
213,419530,SAMG엔터,KOSDAQ,8.94,32300,4510496050,141464,329696985100,
214,037030,파워넷,KOSDAQ,8.94,3900,2756619209,735905,99500668800,
215,091580,상신이디피,KOSDAQ,8.93,15130,1770822295,123161,201655953470,
216,005010,휴스틸,KOSPI,8.92,3845,3582994389,932750,216043148375,
217,002785,진흥기업우B,KOSPI,8.89,1470,28425232,19026,1260110460,
218,042600,새로닉스,KOSDAQ,8.88,9200,70375965,7882,114296880800,
219,489500,엘케이켐,KOSDAQ,8.87,20250,370914250,19004,129422569500,
220,294570,쿠콘,KOSDAQ,8.84,18840,948516560,50756,190128230880,
221,054920,한컴위드,KOSDAQ,8.84,3200,2290825266,722731,90294659200,
222,361610,SK아이이테크놀로지,KOSPI,8.81,14690,2096900505,146667,1201452499000,
223,281740,레이크머티리얼즈,KOSDAQ,8.81,12480,3354267185,278875,820317239040,
224,0008Z0,에스엔시스,KOSDAQ,8.81,22850,628488150,28520,215625487400,
225,241560,두산밥캣,KOSPI,8.79,69300,16063942450,237176,6642825304500,
226,203400,에이비온,KOSDAQ,8.79,718,315805384,467766,64692736272,
227,045510,정원엔시스,KOSDAQ,8.79,941,634637159,659408,30308943772,
228,361390,제노코,KOSDAQ,8.76,13160,359039330,28041,128130773960,
229,201490,미투온,KOSDAQ,8.73,2180,8997534408,3969814,71337722680,
230,041910,폴라리스AI파마,KOSDAQ,8.72,5610,2749048720,479872,74519593500,
231,000250,삼천당제약,KOSDAQ,8.70,166100,83080634000,517273,3896286099200,
232,016670,디모아,KOSDAQ,8.69,2690,63618960,24656,27422489460,
233,096775,SK이노베이션우,KOSPI,8.67,67700,445738800,6719,84518440200,
