code,name,sector
065680,우주일렉트로,전자부품 제조업
424870,이뮨온시아,자연과학 및 공학 연구개발업
078130,국일제지,기타 종이 및 판지 제품 제조업
354320,알멕,1차 비철금속 제조업
144960,뉴파워프라즈마,특수 목적용 기계 제조업
067630,HLB생명과학,의료용품 및 기타 의약 관련제품 제조업
215600,신라젠,자연과학 및 공학 연구개발업
254490,미래반도체,기타 전문 도매업
047920,HLB제약,자연과학 및 공학 연구개발업
241770,메카로,반도체 제조업
110990,디아이티,특수 목적용 기계 제조업
042520,한스바이오메드,의료용품 및 기타 의약 관련제품 제조업
098070,한텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
078020,LS증권,금융 지원 서비스업
092870,엑시콘,특수 목적용 기계 제조업
206650,유바이오로직스,의약품 제조업
179900,유티아이,전자부품 제조업
084110,휴온스글로벌,의약품 제조업
187660,페니트리움바이오,자연과학 및 공학 연구개발업
304360,에스바이오메딕스,의약품 제조업
234340,헥토파이낸셜,금융 지원 서비스업
452430,사피엔반도체,반도체 제조업
265520,AP시스템,특수 목적용 기계 제조업
389650,넥스트바이오메디컬,의료용 기기 제조업
080580,오킨스전자,전자부품 제조업
488900,비츠로넥스텍,"항공기,우주선 및 부품 제조업"
114810,한솔아이원스,특수 목적용 기계 제조업
441270,파인엠텍,전자부품 제조업
079370,제우스,특수 목적용 기계 제조업
200470,에이팩트,반도체 제조업
119850,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
003800,에이스침대,가구 제조업
445090,에이직랜드,반도체 제조업
241520,DSC인베스트먼트,신탁업 및 집합투자업
376270,HEM파마,자연과학 및 공학 연구개발업
417840,저스템,특수 목적용 기계 제조업
091700,파트론,전자부품 제조업
317330,덕산테코피아,기타 화학제품 제조업
475400,씨메스로보틱스,특수 목적용 기계 제조업
243070,휴온스,의약품 제조업
101730,위메이드맥스,소프트웨어 개발 및 공급업
160980,싸이맥스,특수 목적용 기계 제조업
049070,인탑스,통신 및 방송 장비 제조업
069080,웹젠,소프트웨어 개발 및 공급업
274090,켄코아에어로스페이스,"항공기,우주선 및 부품 제조업"
482630,삼양엔씨켐,기타 화학제품 제조업
064820,케이프,선박 및 보트 건조업
042370,비츠로테크,기타 금융업
078340,컴투스,소프트웨어 개발 및 공급업
484590,삼양컴텍,무기 및 총포탄 제조업
092460,한라IMS,선박 및 보트 건조업
203650,드림시큐리티,소프트웨어 개발 및 공급업
094360,칩스앤미디어,반도체 제조업
365270,큐라클,자연과학 및 공학 연구개발업
089980,상아프론테크,플라스틱제품 제조업
378340,필에너지,특수 목적용 기계 제조업
219130,타이거일렉,전자부품 제조업
204620,글로벌텍스프리,금융 지원 서비스업
099430,바이오플러스,기초 의약물질 제조업
052710,아모텍,전자부품 제조업
298830,슈어소프트테크,소프트웨어 개발 및 공급업
036200,유니셈,특수 목적용 기계 제조업
036890,진성티이씨,특수 목적용 기계 제조업
355150,코스텍시스,반도체 제조업
018310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업"
448280,에코아이,기타 전문 서비스업
058970,엠로,소프트웨어 개발 및 공급업
450950,아스테라시스,의료용 기기 제조업
228760,지노믹트리,자연과학 및 공학 연구개발업
025770,한국정보통신,전기 통신업
136480,하림,"도축, 육류 가공 및 저장 처리업"
187870,디바이스,특수 목적용 기계 제조업
200130,콜마비앤에이치,기초 의약물질 제조업
357880,SKAI,소프트웨어 개발 및 공급업
073490,LIG아큐버,통신 및 방송 장비 제조업
200670,휴메딕스,의약품 제조업
041920,메디아나,의료용 기기 제조업
236200,슈프리마,통신 및 방송 장비 제조업
086390,유니테스트,특수 목적용 기계 제조업
307180,아이엘,전구 및 조명장치 제조업
180400,DXVX,기타 과학기술 서비스업
035810,이지홀딩스,동물용 사료 및 조제식품 제조업
900290,GRT,기타 금융업
0082N0,카나프테라퓨틱스,자연과학 및 공학 연구개발업
046970,우리로,기타 전문 도매업
314930,바이오다인,의료용 기기 제조업
061970,LB세미콘,반도체 제조업
459510,나우로보틱스,특수 목적용 기계 제조업
061090,세나테크놀로지,통신 및 방송 장비 제조업
462350,이노스페이스,"항공기,우주선 및 부품 제조업"
144510,지씨셀,"그외 기타 전문, 과학 및 기술 서비스업"
064850,에프앤가이드,기타 정보 서비스업
112290,와이씨켐,기타 화학제품 제조업
043150,바텍,의료용 기기 제조업
053030,바이넥스,의약품 제조업
092730,네오팜,기타 화학제품 제조업
084850,아이티엠반도체,전자부품 제조업
019010,베뉴지,종합 소매업
215000,골프존,소프트웨어 개발 및 공급업
035600,KG이니시스,소프트웨어 개발 및 공급업
060720,KH바텍,전자부품 제조업
054950,제이브이엠,일반 목적용 기계 제조업
078150,HB테크놀러지,특수 목적용 기계 제조업
220100,퓨쳐켐,의약품 제조업
051500,CJ프레시웨이,음·식료품 및 담배 도매업
023410,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
309710,아이티켐,기초 의약물질 제조업
194700,노바렉스,기타 식품 제조업
394800,쓰리빌리언,자연과학 및 공학 연구개발업
108860,셀바스AI,소프트웨어 개발 및 공급업
416180,신성에스티,자동차 신품 부품 제조업
182400,엔케이젠바이오텍코리아,기초 의약물질 제조업
0001A0,덕양에너젠,연료용 가스 제조 및 배관공급업
036800,나이스정보통신,전기 통신업
114190,강원에너지,기타 전기장비 제조업
051360,토비스,영상 및 음향기기 제조업
352480,씨앤씨인터내셔널,기타 화학제품 제조업
243840,신흥에스이씨,일차전지 및 이차전지 제조업
