ym,code,name,mcap,ep,bp,roe,div,src_rcept
2026-08,011170,롯데케미칼,2322705251700,-0.608517,5.73966,-0.10602,0.027355,20260814004167
2026-08,004990,롯데지주,2272334092800,-0.227441,2.814532,-0.08081,0.061752,20260814004197
2026-08,081660,미스토홀딩스,2216584320000,0.120521,0.971781,0.12402,0.047535,20260814002860
2026-08,000240,한국앤컴퍼니,2207244330000,0.175056,2.349989,0.074492,0.047201,20260814002221
2026-08,103140,풍산,2180288828400,0.075882,1.121219,0.067678,0.021296,20260814004203
2026-08,030000,제일기획,2174279152500,0.101228,0.741357,0.136544,0.057291,20260814003310
2026-08,014680,한솔케미칼,2169601236000,0.068947,0.504644,0.136625,0.013066,20260813001414
2026-08,018670,SK가스,2164368474000,0.068139,1.750427,0.038927,0.065711,20260813001641
2026-08,009970,영원무역홀딩스,2158105912200,0.187193,1.508544,0.124088,0.087419,20260814003190
2026-08,007070,GS리테일,2157071307000,0.043266,1.555091,0.027822,0.023244,20260814000859
2026-08,005440,현대지에프홀딩스,2090728068600,0.207425,2.499144,0.082998,0.043045,20260814002625
2026-08,073240,금호타이어,2082637080750,0.229525,1.163178,0.197326,0.0,20260813001743
2026-08,069960,현대백화점,2014162780800,0.114844,2.308627,0.049745,0.022886,20260814003395
2026-08,002790,아모레퍼시픽홀딩스,1987912680000,0.070846,1.775217,0.039909,0.057986,20260814002574
2026-08,139480,이마트,1984139386100,0.016226,6.624947,0.002449,0.069272,20260814002794
2026-08,051600,한전KPS,1971000000000,0.056643,0.683284,0.082898,0.037694,20260814001938
2026-08,112610,씨에스윈드,1963078809650,0.028618,0.654955,0.043694,0.021109,20260814001500
2026-08,439260,대한조선,1868252206500,0.151915,0.641703,0.236737,0.005155,20260814001422
2026-08,462870,시프트업,1867992102000,,0.526087,,,20260814004160
2026-08,457190,이수스페셜티케미컬,1816154207200,,0.076252,,,20260814002108
2026-08,475150,SK이터닉스,1747637305200,0.007742,0.15366,0.050384,0.0,20260813000561
2026-08,395400,SK리츠,1709780081600,0.018927,1.134411,0.016684,0.023316,20260311004347
2026-08,071970,HD현대마린엔진,1685898301500,0.107015,0.309652,0.345597,0.0,20260814002726
2026-08,023590,다우기술,1683876436800,0.380298,2.306156,0.164906,0.151668,20260814003900
2026-08,000120,CJ대한통운,1674426049600,0.133874,2.499977,0.05355,0.017516,20260814003838
2026-08,089860,롯데렌탈,1666600909200,0.070222,0.948171,0.074061,0.026144,20260814001915
2026-08,006040,동원산업,1666315917250,0.231528,2.292725,0.100984,0.03235,20260814000602
2026-08,008770,호텔신라,1660195518300,-0.090662,0.686727,-0.13202,0.0,20260814001955
2026-08,011210,현대위아,1615387930200,0.083522,2.304491,0.036243,0.019758,20260814002618
2026-08,020150,롯데에너지머티리얼즈,1542162885350,-0.084157,1.116701,-0.075362,0.0,20260814000373
2026-08,001800,오리온홀딩스,1533994626000,0.082608,1.661109,0.049731,0.076821,20260814000993
2026-08,097230,HJ중공업,1529603127360,0.078839,0.49226,0.160157,0.0,20260812000297
2026-08,120110,코오롱인더,1486820488800,0.052374,2.897798,0.018074,0.028159,20260814003133
2026-08,001120,LX인터내셔널,1469004000000,0.107166,2.023433,0.052962,0.059853,20260814001146
2026-08,020560,아시아나항공,1439875069890,-0.566953,0.092084,-6.156888,0.006889,20260813001561
2026-08,006280,녹십자,1426926289800,-0.028508,0.866679,-0.032894,0.013757,20260814003840
2026-08,294870,IPARK현대산업개발,1423598328000,0.132881,2.312031,0.057474,0.030865,20260818000088
2026-08,001430,세아베스틸지주,1411174382650,0.051757,1.402673,0.036899,0.027311,20260814003802
2026-08,322000,HD현대에너지솔루션,1404480000000,0.043451,0.335926,0.129348,0.0,20260814002295
2026-08,069620,대웅제약,1384595712500,0.138283,0.768406,0.179961,0.006534,20260814002515
2026-08,001740,SK네트웍스,1366044384090,0.05325,1.544108,0.034486,0.037136,20260814002753
2026-08,298020,효성티앤씨,1350236784000,0.069686,1.295881,0.053775,0.04011,20260813001535
