code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
298380,2024,33403030159.0,,-59377417080.0,-55529347885.0,231975702513.0,64695919270.0,167279783243.0,144151432332.0,63360812897.0,56288982505.0,-69402667056.0,1335106373.0,27030069000.0
298380,2025,79349848373.0,,-40389935899.0,-37877499346.0,280934191003.0,124236774842.0,156697416161.0,176050917156.0,123497673706.0,111981944913.0,-41253077040.0,739101136.0,27562582500.0
108490,2019,25231156876.0,12070162796.0,1681774453.0,2481000995.0,64669053513.0,3260113487.0,61408940026.0,37775075048.0,2024253662.0,9680096498.0,4181398406.0,1235859825.0,5625500000.0
108490,2020,19231375419.0,9402738003.0,-1764338548.0,-137893762.0,73197414777.0,9819781596.0,63377633181.0,43527085705.0,1140383602.0,9225407100.0,-568299332.0,8679397994.0,5625500000.0
108490,2021,22358193241.0,10899577634.0,-928967630.0,728852501.0,80127205831.0,9916796980.0,70210408851.0,50051550296.0,9093308071.0,15367548829.0,1368950649.0,823488909.0,5679284000.0
108490,2022,25856449323.0,11896574501.0,-2160534050.0,-224151043.0,122794680774.0,38136875373.0,84657805401.0,90710133440.0,16469367459.0,25671630817.0,12484341622.0,21667507914.0,6093741500.0
108490,2023,29127949488.0,13662710746.0,-5298796747.0,-1299719460.0,114995337499.0,19154455762.0,95840881737.0,81163877545.0,18766996278.0,7353863675.0,-4747588883.0,387459484.0,6443957000.0
108490,2024,30038231053.0,13788607735.0,-2973503944.0,-3038577530.0,100246445003.0,4239672714.0,96006772289.0,53196902516.0,3851569684.0,11692461419.0,5356067157.0,388103030.0,6568500000.0
108490,2025,38942547006.0,14634695910.0,3346038655.0,5303138634.0,319708080737.0,5629112400.0,314078968337.0,247812586127.0,5411950957.0,31037776879.0,7075291568.0,217161443.0,7323301500.0
141080,2019,57500138690.0,22689053824.0,8416841998.0,12475507793.0,141477453081.0,25568107367.0,115909345714.0,111419272490.0,15423972628.0,66888373396.0,24113461209.0,10144134739.0,6004004500.0
141080,2020,49393701591.0,13828975461.0,-29761761146.0,-6986261219.0,135912348063.0,23786163817.0,112126184246.0,100010638124.0,14009297856.0,54648759258.0,-14893363011.0,9776865961.0,12053171000.0
141080,2021,32157006379.0,14459449166.0,-27706660419.0,-23391227602.0,293233456820.0,34458706029.0,258774750791.0,228950581545.0,17018029722.0,139940197122.0,-42048759598.0,17440676307.0,13624049000.0
141080,2022,33412042600.0,15563353041.0,-50375099038.0,-45091793579.0,252530449549.0,32931523513.0,219598926036.0,191618909904.0,28602844482.0,117964960451.0,-7135573296.0,4328679031.0,13834371500.0
141080,2023,34145640069.0,16348326301.0,-80822342649.0,-73703570475.0,189502178859.0,41280911655.0,148221267204.0,134618752842.0,37071716407.0,63053955233.0,-62235789517.0,4209195248.0,14210813000.0
141080,2024,125898140997.0,15949876439.0,-20913487724.0,7800099578.0,738382908190.0,122384802337.0,615998105853.0,550261759025.0,117182806549.0,128912155244.0,78476380652.0,5201995788.0,18305169000.0
141080,2025,141553069341.0,15557406784.0,-106485862116.0,-91552141111.0,701814921209.0,160694609940.0,541120311269.0,521442070048.0,61092239491.0,98649999024.0,-124532936677.0,99602370449.0,18305169000.0
440110,2023,22470905715.0,11375113614.0,-58569439226.0,-56832521397.0,243661793796.0,57313618158.0,186348175638.0,203276135900.0,50212157766.0,95393266016.0,-42164830339.0,7101460392.0,4875300300.0
440110,2024,43502744974.0,37733546496.0,-95048300908.0,-91508531301.0,134427343084.0,36480472542.0,97946870542.0,98647616813.0,31263024620.0,32322634109.0,-108840321560.0,5217447922.0,4936207600.0
440110,2025,92419333233.0,48760917939.0,-65469985712.0,-76218175613.0,122427167093.0,102632856004.0,19794311089.0,96117578414.0,90067799260.0,40803548861.0,-3703541869.0,12565056744.0,4949329300.0
039030,2019,206470463250.0,160346635193.0,7100164927.0,11846028169.0,446385712806.0,52598515328.0,393787197478.0,246642872319.0,52326110212.0,69231999617.0,52892443590.0,272405116.0,6159775000.0
039030,2020,325124139365.0,246204918743.0,38485391168.0,21554316083.0,481155772953.0,71342148549.0,409813624404.0,283812069521.0,70299707822.0,96802642146.0,50952285710.0,1042440727.0,6159775000.0
039030,2021,390860189675.0,260175874923.0,78136358339.0,72349781263.0,566044583459.0,81264752770.0,484779830689.0,370725059377.0,80666358264.0,92844986039.0,1562854076.0,598394506.0,6159775000.0
039030,2022,447157589742.0,294390765507.0,92798680886.0,77243298170.0,615867392001.0,76752866702.0,539114525299.0,423736681537.0,76183627401.0,159217919022.0,92745130018.0,569239301.0,6159775000.0
