출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총
2026-07-08,298040,효성중공업,B,C,실행,-20.5,2689000.0,-13.7,월10,-5.5,트레일,4,,32057796024000
2026-07-08,039030,이오테크닉스,A,B,실행,-20.5,345000.0,-13.2,일240,7.6,목표,2,,5864105800000
2026-07-08,082740,한화엔진,A,C,실행,-20.5,44750.0,-15.4,주60주,-5.8,손절,1,,4255804242000
2026-07-08,267260,HD현대일렉트릭,A,C,실행,-20.5,814000.0,-12.4,일240,7.1,목표,2,,35037815220000
2026-07-08,058610,에스피지,A,C,실행,-20.5,66200.0,-12.8,주60주,7.3,목표,1,,1780842008000
2026-07-08,001440,대한전선,A,B,실행,-20.5,28200.0,-12.6,일240,7.2,목표,2,,6644149004400
2026-07-08,005290,동진쎄미켐,A,A,실행,-20.5,42650.0,-13.0,주60주,7.5,목표,2,,2971558345800
2026-07-08,000880,한화,A,C,실행,-20.5,93400.0,-15.5,주60주,-6.3,트레일,4,,7029639524300
2026-07-08,033100,제룡전기,A,B,실행,-20.5,42750.0,-14.1,주60주,8.2,목표,2,,822395340800
2026-07-07,006400,삼성SDI,B,C,실행,-16.0,445000.0,-4.8,월10,-7.8,손절,1,,39245153110000
2026-07-07,077360,덕산하이메탈,A,A,실행,-16.0,8500.0,-20.9,주60주,-5.3,손절,1,,492991471700
2026-07-07,043260,성호전자,A,B,실행,-16.0,19400.0,-12.2,월10,-6.9,손절,1,,2102861701950
2026-07-07,403870,HPSP,A,B,실행,-16.0,41500.0,-14.4,월10,-6.9,손절,1,,4444200000000
2026-07-06,033790,피노,A,B,실행,-11.7,6140.0,-13.3,주60주,-9.8,손절,2,,600750805270
2026-07-06,007660,이수페타시스,A,C,실행,-11.7,101300.0,-15.4,일240,-5.3,손절,2,,8471423872600
2026-07-06,226950,올릭스,A,C,실행,-11.7,135000.0,-13.9,일240,8.1,목표,1,,3162178354800
2026-07-06,347850,디앤디파마텍,A,C,실행,-11.7,75900.0,-12.5,일240,7.1,목표,1,,3886211612500
2026-07-06,018260,삼성에스디에스,B,C,실행,-11.7,193300.0,-4.1,월10,-0.6,트레일,16,,14763684240000
2026-07-03,267260,HD현대일렉트릭,B,A,실행,-11.3,945000.0,-6.6,월10,-7.1,손절,2,,35037815220000
2026-07-03,042700,한미반도체,B,A,실행,-11.3,232500.0,-5.7,월10,-8.9,손절,2,,24447579300000
2026-07-03,000720,현대건설,B,A,실행,-11.3,115300.0,-3.1,월10,-7.9,손절,2,,12716828363000
2026-07-03,482630,삼양엔씨켐,A,A,실행,-11.3,15390.0,-13.7,월10,-7.6,손절,2,,381950486000
2026-07-03,001440,대한전선,B,A,실행,-11.3,32900.0,-10.6,월10,-7.8,손절,2,,6644149004400
