code,종목명,시장,구분,등락률_20260731,종가_20260731,거래량_20260731,거래대금_20260731,PER_20260731,PBR_20260731,EPS_20260731,BPS_20260731,배당%_20260731,시총_20260731,종가_20260730,거래량_20260730,거래대금_20260730,PER_20260730,PBR_20260730,EPS_20260730,BPS_20260730,배당%_20260730,시총_20260730,고점52주比,고점5년比,MA60比,거래대금배수,신규상장
078350,한양디지텍,KOSDAQ,+20%↑,23.68,18070,120197,2072210330,17.63,1.55,1025.0,11658.0,0.0,275465982740,14610,255923,3774925380,14.25,1.25,1025.0,11658.0,0.0,222720421020,-0.5521444695259594,-0.5521444695259594,-0.2663309769310891,0.6708094688694197,
03473K,SK우,KOSPI,+20%↑,23.62,348000,5418,1813762500,0.0,0.0,0.0,0.0,2.31,197014980000,281500,2251,643424500,0.0,0.0,0.0,0.0,2.86,159367002500,-0.3046875,-0.3046875,-0.0749642717942055,1.1453928087698815,
007815,코리아써우,KOSPI,+20%↑,23.49,13250,3080,39417630,0.0,0.0,0.0,0.0,0.79,39282142500,10730,1542,16864840,0.0,0.0,0.0,0.0,0.98,31811123700,-0.5125596184419714,-0.5125596184419714,-0.3021826706420556,1.0869988486136932,
039030,이오테크닉스,KOSDAQ,+20%↑,23.33,296000,187285,53810082750,63.13,5.3,4689.0,55838.0,0.41,3646586800000,240000,179556,43637840250,51.18,4.3,4689.0,55838.0,0.5,2956692000000,-0.5208667736757624,-0.5208667736757624,-0.3358056740218802,0.7411707722466128,
058610,에스피지,KOSDAQ,+20%↑,23.18,94600,2097222,186997602500,229.61,8.13,412.0,11633.0,0.26,2097978256000,76800,1295659,106083253400,186.41,6.6,412.0,11633.0,0.33,1703221248000,-0.567893783946892,-0.567893783946892,-0.28038995628067465,8.466751215581285,
119850,지엔씨에너지,KOSDAQ,+20%↑,23.03,36600,1055703,38121864950,14.27,2.7,2565.0,13535.0,0.41,602030069400,29750,1156131,35649463400,11.6,2.2,2565.0,13535.0,0.5,489355042750,-0.12716763005780352,-0.12716763005780352,0.6070288295532482,1.526307426820043,
059090,미코,KOSDAQ,+20%↑,23.01,14650,384869,5399827080,15.64,4.0,937.0,3658.0,0.0,489555797700,11910,251580,3030579590,12.71,3.26,937.0,3658.0,0.0,397993825980,-0.4998290598290598,-0.4998290598290598,-0.26046370560086274,1.2938158414742462,
200710,에이디테크놀로지,KOSDAQ,+20%↑,22.99,26750,301603,7865544975,96.22,2.56,278.0,10456.0,0.0,360108687250,21750,151431,3412752225,78.24,2.08,278.0,10456.0,0.0,292798652250,-0.5814516129032259,-0.5814516129032259,-0.31895722159041207,0.798563034063927,
010120,LSELECTRIC,KOSPI,+20%↑,22.95,184800,1724011,309302184850,95.8,13.28,1929.0,13920.0,0.32,27720000000000,150300,1272590,198922766050,77.92,10.8,1929.0,13920.0,0.4,22545000000000,-0.3970149253731343,-0.3970149253731343,-0.16261330975016575,1.4015961769412293,
420770,기가비스,KOSDAQ,+20%↑,22.92,103500,273351,28465591400,84.91,6.22,1219.0,16646.0,0.77,1311940953000,84200,177638,15387264900,69.07,5.06,1219.0,16646.0,0.95,1067298823600,-0.44902912621359226,-0.44902912621359226,-0.17690001933861932,1.21021758621757,
900290,GRT,KOSDAQ,+20%↑,22.89,3355,736822,2298414001,,,,,,274439000000,2730,593038,1678153940,,,,,,223314000000,-0.6308411214953271,-0.6308411214953271,-0.10657547525445643,1.0868008405517298,
045970,코아시아,KOSDAQ,+20%↑,22.4,2650,157483,385645877,0.0,0.85,0.0,3100.0,0.0,69734421400,2165,188629,405570731,0.0,0.7,0.0,3100.0,0.0,56971706540,-0.6789808917197453,-0.7898248540450375,-0.35354226345718065,0.9447174497409889,
003160,디아이,KOSPI,+20%↑,22.34,20150,652430,12864010030,102.81,3.21,196.0,6287.0,1.24,570245000000,16470,265006,4384036455,84.03,2.62,196.0,6287.0,1.52,466101000000,-0.5299760191846523,-0.5299760191846523,-0.18654197332743072,2.116509872702524,
