code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
066570,2023,84227765000000.0,64425110000000.0,3549074000000.0,1150611000000.0,60240793000000.0,36742257000000.0,23498536000000.0,30341209000000.0,24160380000000.0,8487563000000.0,5913596000000.0,12581877000000.0,904169000000.0
066570,2024,87728182000000.0,66348948000000.0,3419675000000.0,591365000000.0,65629589000000.0,40417925000000.0,25211664000000.0,33923517000000.0,27307439000000.0,7573036000000.0,3842661000000.0,13110486000000.0,904169000000.0
066570,2025,89200882000000.0,68359224000000.0,2478392000000.0,1220412000000.0,68620167000000.0,40068142000000.0,28552025000000.0,34869881000000.0,27183160000000.0,8769841000000.0,4280500000000.0,12884982000000.0,904169000000.0
207940,2019,701591859755.0,509584425113.0,91742387198.0,202904099088.0,5911626511920.0,1557172766554.0,4354453745366.0,1356261664171.0,690505242703.0,125100653179.0,10153614976.0,866667523851.0,165412500000.0
207940,2020,1164776873641.0,748700763470.0,292786554082.0,240974799963.0,6424201164962.0,1825417992598.0,4598783172364.0,1751347247953.0,589300919466.0,28850120614.0,202090026541.0,1236117073132.0,165412500000.0
207940,2021,1568006928039.0,841555562592.0,537309408072.0,393589467655.0,7970010786863.0,2978908646183.0,4991102140680.0,2823175325351.0,1107294649465.0,47410383773.0,454596217269.0,1871613996718.0,165412500000.0
207940,2022,3001295197683.0,1532847164868.0,983627394377.0,798056210082.0,16582050258486.0,7597575863329.0,8984474395157.0,6457656567077.0,4181541561220.0,890819570657.0,953047810086.0,3416034302109.0,177935000000.0
207940,2023,3694588767068.0,1891824205775.0,1113680009715.0,857691298384.0,16046197209196.0,6215704796851.0,9830492412345.0,5521987756539.0,4157860817418.0,367937365042.0,1666228521442.0,2057843979433.0,177935000000.0
207940,2024,4547322176421.0,2256477586440.0,1320052380133.0,1083315885986.0,17336296349511.0,6431620287493.0,10904676062018.0,5518117814577.0,3853188425809.0,391221617203.0,1659255402663.0,2578431861684.0,177935000000.0
207940,2025,4556971695180.0,2040331283534.0,2069221266630.0,1784352060593.0,11060741976837.0,3609631328852.0,7451110647985.0,4408366515907.0,2532917332501.0,148851266520.0,2247807426551.0,1076713996351.0,115727377500.0
105560,2023,,,6435319000000.0,4563431000000.0,715738152000000.0,656864842000000.0,58873310000000.0,,,25826588000000.0,4108816000000.0,,2090558000000.0
105560,2024,,,8045261000000.0,5028606000000.0,757845532000000.0,698030351000000.0,59815181000000.0,,,24608867000000.0,4020186000000.0,,2090558000000.0
105560,2025,,,8517711000000.0,5840715000000.0,797923033000000.0,737093044000000.0,60829989000000.0,,,29020564000000.0,4226378000000.0,,2090558000000.0
012450,2019,5264114375095.0,4242318189013.0,165225934743.0,162427318272.0,8708410720271.0,5853055428024.0,2855355292247.0,4563607003936.0,3329041908478.0,1000121610062.0,715142993168.0,2524013519546.0,265650000000.0
012450,2020,5321444270673.0,4251094647282.0,243947058546.0,164739761653.0,9464815678256.0,6475090147420.0,2989725530836.0,5122725881742.0,3900356540398.0,1330706432193.0,434749594569.0,2574733607022.0,265650000000.0
012450,2021,6415087932347.0,5119789844061.0,383046885903.0,301762016281.0,11045830630560.0,7114272103768.0,3931558526792.0,6283537818480.0,4330103216575.0,2528070087946.0,990006043035.0,2784168887193.0,265650000000.0
012450,2022,6539605817572.0,5190306443615.0,377215126599.0,152027954710.0,15157301978809.0,11233518424948.0,3923783553861.0,8589056321089.0,8270093645238.0,3043178646369.0,1524327091276.0,2963424779710.0,265650000000.0
012450,2023,9359005981309.0,7221204757399.0,691114682400.0,976918345793.0,19542899925708.0,14858674607799.0,4684225317909.0,9192041562885.0,12076597878814.0,1806358649283.0,1390220003982.0,2782076728985.0,265650000000.0
012450,2024,11240121484118.0,8370268279539.0,1731878825342.0,2539873460538.0,43336873685473.0,31972556938163.0,11364316747310.0,22867968340831.0,25516144577239.0,2967733422929.0,1392972633695.0,6456412360924.0,240405805000.0
012450,2025,26702901249000.0,21252440665000.0,3089320181000.0,2201983086000.0,53953669604000.0,37165484932000.0,16788184672000.0,30705420001000.0,29976396731000.0,7713355500000.0,4049804576000.0,7189088201000.0,270317005000.0
006400,2019,10097426164132.0,7882255450606.0,462176462269.0,402366429569.0,19852096448004.0,7191751252868.0,12660345195136.0,5181414896890.0,3741522650216.0,1156295420684.0,923071632668.0,3450228602652.0,356712130000.0
006400,2020,11294770446035.0,8914217432960.0,671335358424.0,630966297526.0,21534232266829.0,8175305378713.0,13358926888116.0,5657405165394.0,4983633140961.0,1545974321801.0,1948820240507.0,3191672237752.0,356712130000.0
006400,2021,13553220248796.0,10475602069114.0,1067575600497.0,1250401560241.0,25833192996936.0,10636493682081.0,15196699314855.0,7444907068203.0,6461285795016.0,2325692348376.0,2176027358565.0,4175207887065.0,356712130000.0
006400,2022,20124069515854.0,15903322834044.0,1808013013202.0,2039361447986.0,30257525171127.0,13040023014999.0,17217502156128.0,9651702375329.0,8006938827488.0,2614271849898.0,2641096163726.0,5033084187511.0,356712130000.0
006400,2023,22708300498633.0,18726384091221.0,1633368964768.0,2066046562201.0,34038860192967.0,14131610215445.0,19907249977522.0,9187029193265.0,8518933137070.0,1524461361452.0,2103521513959.0,5612677078375.0,356712130000.0
