rank,code,name,sector,src,score,pbr,pbr_rank,vol60,vol_rank,close,mcap,adv20,atr14,stop,stop_pct,qty,n_univ,is_jinwoo6
119,008830,대동기어,특수 목적용 기계 제조업,섹터,0.6765837104072399,1.39,101,0.06534814957145525,219,5730.0,52576992000,4648145048.0,713.5714285714286,4584,20.0,87,442,False
120,078520,에이블씨엔씨,기타 화학제품 제조업,특성,0.6764705882352942,2.86,199,0.04422722024420983,39,11350.0,310348940730,1567688501.0,701.4285714285714,9596,15.5,57,442,False
121,192820,코스맥스,기타 화학제품 제조업,특성,0.6739819004524886,3.15,211,0.04037383405386201,18,271000.0,2332324099500,33713984010.0,16778.571428571428,229054,15.5,2,442,False
122,441270,파인엠텍,전자부품 제조업,섹터,0.6739253393665159,1.41,105,0.06497248244681365,214,6880.0,365783208900,3416964572.0,637.8571428571429,5504,20.0,72,442,False
123,255440,야스,특수 목적용 기계 제조업,섹터,0.668947963800905,0.65,27,0.08318689232673626,367,7410.0,104464000000,5913763831.5,797.5,5928,20.0,67,442,False
124,060370,LS마린솔루션,전기 및 통신 공사업,특성,0.6680429864253394,2.2,152,0.05710244335967436,136,30950.0,1606344760500,3799717152.5,2007.142857142857,25932,16.2,19,442,False
125,011930,신성이엔지,반도체 제조업,섹터,0.665950226244344,1.67,119,0.06380210316246225,199,15780.0,307435595480,3615921834.5,1168.9285714285713,12858,18.5,34,442,False
126,383310,에코프로에이치엔,기타 화학제품 제조업,특성,0.664423076923077,2.18,148,0.058651722840941736,148,22200.0,491862155400,4022675267.5,1482.142857142857,18495,16.7,26,442,False
127,083500,에프엔에스테크,특수 목적용 기계 제조업,섹터,0.6625565610859728,1.52,111,0.06538752616796492,220,11300.0,102666819720,1143190966.5,838.5714285714286,9204,18.5,47,442,False
128,097230,HJ중공업,토목 건설업,특성,0.660972850678733,2.72,188,0.04995397901141581,79,16940.0,1507932244800,6579995658.0,930.3571428571429,14614,13.7,42,442,False
129,049630,재영솔루텍,사진장비 및 광학기기 제조업,섹터,0.6588235294117647,1.67,119,0.06446423186308552,208,7360.0,142994650680,4807012373.0,750.7142857142857,5888,20.0,67,442,False
