전략,유니버스,팩터,N,ROE게이트,방어,트레일,IN_CAGR,IN_Sharpe,IN_MDD,OOS_CAGR,OOS_Sharpe,OOS_MDD,IN_순위,OOS_순위,순위변동
소중형|복합z|N20|방어,소중형,복합z,20,False,True,False,19.04701964998552,0.8318995345055732,-43.92152777997541,6.361569441306636,0.4223094194248017,-30.993637941715203,274.0,270.0,4.0
대형|B/P|N10|ROE>0,대형,B/P,10,True,False,False,20.702923015237328,0.8314406516308077,-33.866535167267386,12.550053656284454,0.6299832158218001,-56.63165739581353,275.0,158.0,117.0
대형|복합z|N10|ROE>0,대형,복합z,10,True,False,False,19.112233580932347,0.8312373214691902,-36.73996495656405,16.72143847182024,0.7877280916432436,-48.4914812064559,276.0,90.0,186.0
전체|E/P|N10|ROE>0|트레일,전체,E/P,10,True,False,True,23.958391810142075,0.8310341751161422,-44.96075557308402,-1.7470881809292016,0.06578671723514119,-62.005873647228725,277.0,483.5,-206.5
전체|B/P|N5|ROE>0|트레일,전체,B/P,5,True,False,True,29.46560359052328,0.8288784481118479,-70.98529490993621,4.976919990268547,0.31375307739936503,-59.64386600651292,278.0,324.0,-46.0
대형|복합z|N20|ROE>0|방어|트레일,대형,복합z,20,True,True,True,15.764680149202604,0.8281725601622166,-33.16825246087887,15.197948816712614,0.9133112684944893,-36.11614104480698,279.0,33.0,246.0
소중형|복합z|N20|트레일,소중형,복합z,20,False,False,True,22.846574257265615,0.8267313572150782,-52.62338131461446,4.682265078977976,0.3109350914265176,-44.93972356010494,280.0,326.0,-46.0
소중형|E/P|N30|방어|트레일,소중형,E/P,30,False,True,True,18.17166346643633,0.8252366567167154,-41.18368270574999,3.2602796282799495,0.27170070965297144,-36.89707291598934,281.0,362.0,-81.0
대형|복합z|N5|ROE>0|방어|트레일,대형,복합z,5,True,True,True,17.82373749629378,0.8250197179062364,-34.30847216877648,10.059991258808786,0.5680155853619726,-48.722818287894754,282.0,192.0,90.0
전체|저변동성|N20|방어|트레일,전체,저변동성,20,False,True,True,9.547733836561312,0.8247996482040395,-23.065185976195657,-14.323367269327381,-1.672439617163783,-81.07638809948386,283.0,575.0,-292.0
전체|저변동성|N20|트레일,전체,저변동성,20,False,False,True,10.186391511098414,0.8236878813694786,-26.239657139170415,-17.678494230367313,-1.8187406368968098,-87.99243429423382,284.0,576.0,-292.0
소중형|E/P|N20|트레일,소중형,E/P,20,False,False,True,23.32112587676882,0.8229493048688613,-54.257924532727685,1.1932354420268299,0.1702853061520785,-51.09340771097639,285.0,429.5,-144.5
대형|배당|N5|ROE>0|방어,대형,배당,5,True,True,False,14.529561816333004,0.8217033694713145,-23.56260325640669,15.558503643935385,0.9627987987061977,-28.20422651611444,286.0,23.0,263.0
전체|E/P|N20|방어|트레일,전체,E/P,20,False,True,True,20.413060533024876,0.8210943174825013,-43.14031680383118,2.131647929905789,0.20487245821238081,-37.666571518994076,287.0,403.5,-116.5
소중형|B/P|N10|ROE>0|방어,소중형,B/P,10,True,True,False,19.138407378241617,0.8157687703857609,-45.81699072256974,9.337199550757402,0.5536322836996928,-31.96164844193934,288.0,198.0,90.0
전체|B/P|N5|ROE>0|방어,전체,B/P,5,True,True,False,26.22037824547805,0.8156303428470029,-47.95892878140725,8.37408633830865,0.3695642385290298,-51.119072098853955,289.0,299.0,-10.0
전체|저변동성|N20|방어,전체,저변동성,20,False,True,False,9.453363145160388,0.8150522803116316,-23.625414884326744,-10.26873900258506,-0.5535736598164608,-69.73930519203671,290.0,566.0,-276.0
소중형|B/P|N20,소중형,B/P,20,False,False,False,22.32558754576168,0.81446478923513,-51.507684951161025,12.217032779614655,0.589451028064408,-36.84941564699349,291.0,174.0,117.0
대형|저변동성|N10,대형,저변동성,10,False,False,False,11.988705664580369,0.8140707673842141,-36.43301419789292,1.0292729126188283,0.14345217954808245,-39.621800220234036,292.0,448.0,-156.0
전체|저변동성|N20,전체,저변동성,20,False,False,False,10.098368677241943,0.8139801843957968,-26.776769977728954,-11.610703919602106,-0.2836928988164646,-79.6243273592113,293.0,551.0,-258.0
대형|E/P|N20|방어|트레일,대형,E/P,20,False,True,True,16.465441988496753,0.8129843961219942,-48.87204225121009,11.97700533400765,0.7602843985335139,-37.98303852932173,294.0,103.5,190.5
전체|E/P|N20|방어,전체,E/P,20,False,True,False,20.38852378986782,0.8114571340058271,-46.04986346558918,5.672887114740077,0.37284591166491693,-35.50683188699212,295.0,295.5,-0.5
대형|B/P|N20|ROE>0,대형,B/P,20,True,False,False,18.493171359968198,0.811392108021498,-27.36708970338,15.588072826135168,0.7644918841178776,-50.64797193292119,296.0,102.0,194.0
대형|E/P|N10|ROE>0|방어|트레일,대형,E/P,10,True,True,True,16.67479394285609,0.8109984658975569,-34.85567157786345,10.12438095678112,0.591204445218932,-42.536373258209295,297.0,171.5,125.5
전체|저변동성|N30|트레일,전체,저변동성,30,False,False,True,9.787019272784114,0.8106436284515043,-21.29326995601786,-9.04513055350148,-0.14398328920525283,-82.22884488846344,298.0,536.0,-238.0
소중형|저변동성|N30,소중형,저변동성,30,False,False,False,13.072178699332682,0.8091646689878658,-47.999382740948185,-4.1500058055045645,0.007921177590558888,-78.35489195507034,299.0,505.0,-206.0
전체|복합z|N10|ROE>0|방어|트레일,전체,복합z,10,True,True,True,18.767992194030427,0.8075092760960519,-30.734341163439083,-2.005583340654471,-0.024994707199253556,-50.89379251656094,300.0,513.0,-213.0
소중형|B/P|N5|ROE>0,소중형,B/P,5,True,False,False,28.37628591998873,0.8046241125564652,-65.69936899265917,9.969655687962042,0.46355343626762424,-52.4590061185619,301.0,250.0,51.0
대형|복합z|N20|ROE>0|방어,대형,복합z,20,True,True,False,15.411276223576298,0.8034461344974978,-34.16538159373308,14.882406391653124,0.9000318273848636,-36.10679667210501,302.0,39.0,263.0
