date,code,BPS,PER,PBR,EPS,DIV,DPS,src_rcept
2025-12-31,127120,1872.3049,,18.1594,-448.885,0.0,0.0,20260323001251
2025-12-31,003540,85052.4053,6.6156,0.3045,3914.9807,8.4123,2178.7876,20260319000718
2025-12-31,347700,1234.3834,7100.1537,18.9973,3.3027,0.0,0.0,20260318000877
2025-12-31,280360,238026.4913,16.3365,0.539,7853.5701,2.5072,3216.7073,20260312000907
2025-12-31,017960,11226.9691,11.4534,2.0086,1968.8556,0.5491,123.8147,20260319001272
2025-12-31,030610,18593.2256,7.9983,0.5394,1254.0111,0.7138,71.5968,20260317000550
2025-12-31,004000,94408.415,10.7365,0.4676,4112.1295,3.1304,1382.093,20260814002211
2025-12-31,204270,4282.0513,,4.4371,-1583.1111,0.0,0.0,20260323001603
2025-12-31,166090,23444.6319,27.5208,2.2777,1940.3516,0.4611,246.2401,20260313001351
2025-12-31,437730,4136.2599,100.9866,8.0145,328.2612,0.1508,49.9937,20260319000680
2025-12-31,003530,9639.8203,10.2426,0.5052,475.4652,0.0,0.0,20260310002967
2025-12-31,032350,4666.201,36.611,2.7324,348.256,0.0,0.0,20260319000832
2025-12-31,003570,26066.8473,15.8771,1.1279,1851.7276,5.5481,1631.1399,20260219002133
2025-12-31,003240,3529767.2672,11.8608,0.2439,72592.0325,0.1536,1322.8011,20260323001584
2025-12-31,077970,8542.656,13.6548,2.745,1717.3485,0.0,0.0,20260323000690
2025-12-31,036540,2875.0232,,1.9339,-116.3259,0.0,0.0,20260323000826
2025-12-31,006120,166990.1942,6.893,0.3066,7427.8584,7.8518,4020.1169,20260317000867
2025-12-31,195870,33198.2184,37.1818,1.5694,1401.2238,1.5355,800.0,20260318001527
2025-12-31,285130,130606.3487,19.2183,0.3798,2580.8668,2.6252,1302.1237,20260319000495
2025-12-31,491000,7161.6364,,4.6707,-905.6925,0.0,0.0,20260323001621
2025-12-31,079160,3443.6092,,1.481,-868.4152,0.0,0.0,20260318001114
2025-12-31,232140,2347.102,162.8634,4.2478,61.2169,0.0,0.0,20260319001271
2025-12-31,100090,13037.2728,21.539,0.9994,604.9494,0.0,0.0,20260323000486
2025-12-31,041830,23577.5945,26.3168,2.5363,2272.3107,0.6256,374.0986,20260318001304
2025-12-31,086450,14674.6677,12.1742,1.2109,1459.645,1.1501,204.3666,20260312001256
2025-12-31,458870,1039.5305,49.4407,20.1052,422.7286,0.0,0.0,20260319000571
2025-12-31,119850,13304.177,19.8707,3.6267,2428.1947,0.1879,90.6744,20260331003325
2025-12-31,213420,18196.6188,14.8687,1.7503,2142.0852,0.0,0.0,20260318001436
2025-12-31,252990,5736.5468,,2.2453,-1045.5381,0.0,0.0,20260320001094
2025-12-31,085660,3276.3171,,2.5089,-1181.8087,0.0548,4.5066,20260609000370
2025-12-31,090360,8903.602,,8.783,-533.3985,0.0,0.0,20260312000793
2025-12-31,099320,22735.0297,49.7077,3.0526,1396.162,0.2738,190.0,20260406004277
2025-12-31,036530,84532.4356,5.829,0.5495,7968.7267,6.8137,3164.9715,20260402003712
2025-12-31,032190,42047.0006,3.4272,0.4657,5713.1487,23.7315,4646.6286,20260320001289
2025-12-31,122870,27475.4495,19.8055,1.4231,1974.2011,0.6345,248.0717,20260323001610
2025-12-31,006110,14410.6636,,3.3413,-1645.694,0.0505,24.3197,20260318000860
2025-12-31,298050,180279.3474,,0.8908,-4830.2473,10.185,16357.1507,20260312001146
2025-12-31,137310,19293.5716,,0.3068,-4241.0757,3.3831,200.2782,20260318001064
2025-12-31,466100,2370.5401,,11.4531,,0.0,0.0,20260320000430
2025-12-31,000670,195371.3983,,0.1909,-450.963,0.1188,44.3222,20260317000753
2025-12-31,001510,2604.4435,23.7164,1.1346,124.5974,0.064,1.891,20260316000883
2025-12-31,388210,18447.2452,,3.7675,-2595.2182,0.0,0.0,20260323000962
2025-12-31,317450,54409.4593,8.1395,0.8344,5577.7546,1.6897,767.1233,20260325001031
2025-12-31,003160,5779.7922,129.6804,4.0399,180.058,0.3937,91.932,20260312001121
2025-12-31,268280,89699.6205,10.7173,1.4649,12260.5502,2.0709,2721.1305,20260311003661
2025-12-31,006730,16508.7724,8.285,0.6179,1231.1351,2.8783,293.5847,20260319000002
2025-12-31,069260,22068.553,10.7336,0.7128,1465.4978,5.9673,938.6547,20260402002347
2025-12-31,048410,1147.357,,5.7959,-229.2961,0.0,0.0,20260330001311
2025-12-31,102710,31326.8114,12.3239,1.4301,3635.2201,0.3348,150.0,20260316000534
2025-12-31,122640,6109.7383,,4.8365,-26.6727,0.0,0.0,20260317000873
2025-12-31,253450,26623.1139,61.6047,0.7944,343.318,0.0,0.0,20260318001699
2025-12-31,293940,5253.662,56.1297,0.9993,93.5335,3.9711,208.4847,20251202000364
2025-12-31,017940,294755.6499,6.0489,0.3135,15275.52,2.2643,2092.2003,20260319001298
2025-12-31,032500,3114.9238,,4.8187,-640.7195,0.0,0.0,20260319000852
2025-12-31,002350,20987.9007,4.1442,0.3049,1544.3345,2.1403,136.982,20260318001435
2025-12-31,383800,26221.3412,4.5455,0.3081,1777.5796,3.6578,295.5532,20260323001295
2025-12-31,001060,15862.3512,9.9941,1.6643,2641.5605,1.8004,475.3174,20260318001544
2025-12-31,001680,30908.5706,,0.5604,-8781.121,5.104,884.0104,20260327000936
2025-12-31,014820,29736.0307,11.1,0.6911,1851.3536,4.4866,921.9967,20260514000698
2025-12-31,327260,2934.2941,83.8001,11.2122,392.6012,0.0,0.0,20260318001224
2025-12-31,059090,3447.8178,19.5416,5.0032,882.7343,1.8597,320.806,20260323001611
2025-12-31,121600,20171.0422,348.7455,2.3053,133.3351,0.5246,243.9366,20260320001026
2025-12-31,160190,3437.049,,5.3098,-228.7277,0.0,0.0,20260804000547
2025-12-31,114090,7136.8077,11.9053,1.2695,761.0032,3.1126,281.9997,20260608000223
2025-12-31,002840,92529.9032,12.8522,1.3433,9671.4962,1.6532,2054.8779,20260316000483
2025-12-31,007700,59111.7556,4.3524,0.2367,3214.2896,10.8452,1517.2366,20260318001442
2025-12-31,046890,10630.0722,,0.8796,-881.7678,0.0,0.0,20260319000003
2025-12-31,019210,11485.5877,21.4755,1.2712,679.8454,1.0959,160.0,20260318000988
2025-12-31,058650,523385.9492,8.3578,0.2432,15231.2785,6.061,7715.6458,20260318001415
2025-12-31,003620,7335.6414,11.5589,0.3626,230.1248,0.0,0.0,20260318000964
2025-12-31,100840,17636.858,6.3484,1.4685,4079.7811,4.4272,1146.636,20260220002472
2025-12-31,211050,4390.2701,7.3453,2.4554,1467.6126,0.9164,98.7826,20260320001328
2025-12-31,016380,20560.2499,3.9156,0.2573,1351.0232,4.5764,242.0921,20260316001588
2025-12-31,023160,24145.4804,8.1603,0.8345,2469.269,2.6551,535.0,20260320000407
2025-12-31,045100,35664.2404,12.176,0.8145,2385.8408,2.1222,616.4965,20260313000818
2025-12-31,041190,9243.4104,4.4985,0.6405,1316.0071,0.0,0.0,20260318001355
2025-12-31,001530,25024.1644,,0.9571,-469.8084,1.0043,240.5234,20260318001468
2025-12-31,336370,9818.4357,,0.716,-952.2769,0.1876,13.1869,20260319000659
2025-12-31,086900,61908.9677,29.6441,1.0887,2273.6416,1.8131,1222.0448,20260319001223
2025-12-31,001500,23342.3087,8.3965,0.3359,933.724,2.9032,227.6129,20260318001432
2025-12-31,490470,6480.9572,,2.1864,-1652.2993,0.0,0.0,20260323001690
2025-12-31,009410,2041.6724,7.4516,0.7827,214.4494,0.0,0.0,20260318001574
2025-12-31,004690,463609.5339,4.2251,0.2802,30745.0893,2.1804,2832.2875,20260312000794
2025-12-31,079900,10654.5318,14.8293,3.0081,2161.269,6.1047,1956.5658,20260318000902
2025-12-31,145990,155862.162,,0.29,-30433.8639,4.6849,2117.561,20260318001585
