code,fiscal_year,F,accrual,noa_ratio,market,sector,name
001680,2025,5,-0.14119267542508504,0.37113669360301815,KOSPI,기타 식품 제조업,대상
001720,2024,1,0.07671080667927464,,KOSPI,금융 지원 서비스업,신영증권
001720,2025,2,0.05341139290666738,,KOSPI,금융 지원 서비스업,신영증권
001740,2019,2,-0.05809026970919161,,KOSPI,기타 전문 도매업,SK네트웍스
001740,2020,5,0.021873185583557362,0.4131519083376172,KOSPI,기타 전문 도매업,SK네트웍스
001740,2021,7,-0.03803253583391882,0.47191764911582423,KOSPI,기타 전문 도매업,SK네트웍스
001740,2022,3,0.042963140598650904,0.5924508305036407,KOSPI,기타 전문 도매업,SK네트웍스
001740,2023,6,-0.013392446993581702,0.51211520814413,KOSPI,기타 전문 도매업,SK네트웍스
001740,2024,8,-0.04461687888745851,0.3017042467810544,KOSPI,기타 전문 도매업,SK네트웍스
001740,2025,7,-0.03418252528570907,0.5443881663615551,KOSPI,기타 전문 도매업,SK네트웍스
001800,2019,3,-0.042644010739230825,,KOSPI,기타 금융업,오리온홀딩스
001800,2020,7,-0.044862503395212264,0.8411244720182836,KOSPI,기타 금융업,오리온홀딩스
001800,2021,5,-0.044574255649801886,0.8342255087923212,KOSPI,기타 금융업,오리온홀딩스
001800,2022,8,-0.040469147633701276,0.7674422064444002,KOSPI,기타 금융업,오리온홀딩스
001800,2023,7,-0.03140904119785125,0.8269208350187014,KOSPI,기타 금융업,오리온홀딩스
001800,2024,7,-0.033164198488114645,0.9128717138612642,KOSPI,기타 금융업,오리온홀딩스
001800,2025,7,-0.028510799434436396,0.8633650989274053,KOSPI,기타 금융업,오리온홀딩스
001820,2019,2,0.017490404776000845,,KOSPI,전자부품 제조업,삼화콘덴서
001820,2020,5,-0.03684927896688133,0.7040988816516138,KOSPI,전자부품 제조업,삼화콘덴서
001820,2021,8,-0.025665868755085502,0.7338996909255174,KOSPI,전자부품 제조업,삼화콘덴서
001820,2022,6,-0.06665024248256882,0.6558754489487971,KOSPI,전자부품 제조업,삼화콘덴서
001820,2023,6,-0.043569050434115554,0.7533817803832108,KOSPI,전자부품 제조업,삼화콘덴서
001820,2024,6,-0.052492832795952515,0.7879302390640541,KOSPI,전자부품 제조업,삼화콘덴서
001820,2025,6,-0.03917968546405229,0.7454428846305724,KOSPI,전자부품 제조업,삼화콘덴서
002020,2019,2,-0.05236843927266888,,KOSPI,기타 금융업,코오롱
002020,2020,8,-0.0487032057273044,0.37063743795904275,KOSPI,기타 금융업,코오롱
002020,2021,7,-0.0169272371450499,0.4678519714478172,KOSPI,기타 금융업,코오롱
002020,2022,6,-0.01612514013768844,0.46011304513379836,KOSPI,기타 금융업,코오롱
002020,2023,3,0.0232993574254936,0.5015314916751308,KOSPI,기타 금융업,코오롱
002020,2024,4,0.04894199136156182,0.6935780948415715,KOSPI,기타 금융업,코오롱
002020,2025,4,-0.04122649969326476,0.47959075263129286,KOSPI,기타 금융업,코오롱
002240,2019,3,-0.03216165178438697,,KOSPI,1차 철강 제조업,고려제강
002240,2020,6,-0.07871353884540842,0.6379251391320219,KOSPI,1차 철강 제조업,고려제강
002240,2021,6,0.03792985907140013,0.7631112372513228,KOSPI,1차 철강 제조업,고려제강
002240,2022,6,-0.006454643192904393,0.7145134039624103,KOSPI,1차 철강 제조업,고려제강
002240,2023,5,-0.048097975440693885,0.7189399245353623,KOSPI,1차 철강 제조업,고려제강
002240,2024,6,-0.0346416760478371,0.8096637148092544,KOSPI,1차 철강 제조업,고려제강
002240,2025,6,-0.0422606421879699,0.7763844811513899,KOSPI,1차 철강 제조업,고려제강
002350,2019,3,-0.05035130668365569,,KOSPI,고무제품 제조업,넥센타이어
002350,2020,4,-0.05526132584643592,0.7317210082700869,KOSPI,고무제품 제조업,넥센타이어
002350,2021,7,-0.06813893554870724,0.69452079429547,KOSPI,고무제품 제조업,넥센타이어
002350,2022,3,0.018228927729468082,0.5895893055154238,KOSPI,고무제품 제조업,넥센타이어
002350,2023,7,-0.03277946460123433,0.6756687767094303,KOSPI,고무제품 제조업,넥센타이어
002350,2024,8,-0.028989793271350955,0.7047152572841918,KOSPI,고무제품 제조업,넥센타이어
002350,2025,7,-0.042507855595199914,0.7209251598877014,KOSPI,고무제품 제조업,넥센타이어
002380,2019,2,-0.05293596069198579,,KOSPI,기타 화학제품 제조업,KCC
002380,2020,7,-0.009636012995427837,0.9423142624129911,KOSPI,기타 화학제품 제조업,KCC
002380,2021,6,-0.03705719967806296,0.7805332707794803,KOSPI,기타 화학제품 제조업,KCC
002380,2022,8,-0.027130013741695057,0.7354970650610373,KOSPI,기타 화학제품 제조업,KCC
002380,2023,6,-0.0521035843048025,0.6457974449057803,KOSPI,기타 화학제품 제조업,KCC
002380,2024,8,-0.023153344385440606,0.7021665760443294,KOSPI,기타 화학제품 제조업,KCC
002380,2025,6,0.04457500790411373,0.8870165198500859,KOSPI,기타 화학제품 제조업,KCC
002790,2019,3,-0.06615344792545515,,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스
002790,2020,6,-0.08268242220093311,0.6554043784645659,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스
002790,2021,8,-0.05854758551968003,0.7567668592877852,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스
002790,2022,6,-0.004473632864683107,0.7649821486313646,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스
002790,2023,8,-0.020279048906521904,0.8033230362499583,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스
002790,2024,5,0.03131553203354933,0.8960339153180028,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스
002790,2025,8,-0.038487480004437954,0.8229677923717392,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스
002840,2019,2,0.04063913629873549,,KOSPI,기타 화학제품 제조업,미원상사
002840,2020,8,-0.009911557043211077,0.9658638549397546,KOSPI,기타 화학제품 제조업,미원상사
002840,2021,5,0.007156304057750913,0.9244241297238716,KOSPI,기타 화학제품 제조업,미원상사
002840,2022,8,0.0034472041705709317,0.9189998827092565,KOSPI,기타 화학제품 제조업,미원상사
002840,2023,5,-0.08167027301023687,0.8918300077736316,KOSPI,기타 화학제품 제조업,미원상사
002840,2024,5,-0.06057185514191831,0.8838364716499901,KOSPI,기타 화학제품 제조업,미원상사
