index,expiry,quad,week_%,day_%,post_%
코스닥,2022-06-09,True,-1.81,0.25,-6.11
코스닥,2022-07-14,False,1.07,0.38,2.12
코스닥,2022-08-11,False,0.85,1.45,-0.57
코스닥,2022-09-08,True,-1.33,1.25,0.46
코스닥,2022-10-13,False,-4.92,-2.99,6.98
코스닥,2022-11-10,False,1.97,-0.95,5.25
코스닥,2022-12-08,True,-3.79,-0.78,0.37
코스닥,2023-01-12,False,4.54,0.15,-0.16
코스닥,2023-02-09,False,2.61,0.59,-0.64
코스닥,2023-03-09,True,2.8,-0.58,-6.32
코스닥,2023-04-13,False,3.31,0.41,1.65
코스닥,2023-05-11,False,-2.21,-0.63,-0.94
코스닥,2023-06-08,True,2.24,-0.52,2.36
코스닥,2023-07-13,False,2.59,1.5,2.36
코스닥,2023-08-10,False,-0.98,0.25,-3.62
코스닥,2023-09-14,True,-0.76,1.9,-1.73
코스닥,2023-10-12,False,3.48,2.25,-1.81
코스닥,2023-11-09,False,3.89,-1.0,-1.08
코스닥,2023-12-14,True,3.37,1.36,2.11
코스닥,2024-01-11,False,1.88,0.81,-3.14
코스닥,2024-02-08,False,3.49,1.81,3.95
코스닥,2024-03-14,True,2.8,-0.27,0.49
코스닥,2024-04-11,False,-2.48,-0.14,-2.95
코스닥,2024-05-09,False,0.14,-0.26,-0.92
코스닥,2024-06-13,True,2.42,0.08,-1.42
코스닥,2024-07-11,False,1.38,-0.71,-1.5
코스닥,2024-08-08,False,-8.39,-0.44,2.63
코스닥,2024-09-12,True,0.79,3.05,2.37
코스닥,2024-10-10,False,1.52,-0.35,-0.22
코스닥,2024-11-14,False,-7.08,-1.17,0.67
코스닥,2024-12-12,True,1.85,1.1,1.63
코스닥,2025-01-09,False,5.37,0.54,-0.76
코스닥,2025-02-13,False,1.21,0.55,3.25
코스닥,2025-03-13,True,-1.65,-0.92,3.15
코스닥,2025-04-10,False,-0.25,5.97,4.42
코스닥,2025-05-08,False,1.42,0.94,0.31
코스닥,2025-06-12,True,5.23,0.4,-1.75
코스닥,2025-07-10,False,0.55,0.93,1.9
코스닥,2025-08-14,False,1.17,0.14,-4.62
코스닥,2025-09-11,True,3.64,0.21,2.05
코스닥,2025-10-09,False,0.21,1.05,-0.74
코스닥,2025-11-13,False,2.25,1.31,-4.32
코스닥,2025-12-11,True,0.52,-0.04,-1.98
코스닥,2026-01-08,False,2.01,-0.35,0.52
코스닥,2026-02-12,False,1.59,1.0,2.49
코스닥,2026-03-12,True,2.87,1.02,-1.0
코스닥,2026-04-09,False,1.86,-1.27,4.26
코스닥,2026-05-14,False,-0.67,1.2,-8.96
코스닥,2026-06-11,True,-5.03,4.76,2.18
