code,date,foreign_net,inst_net
402340,2023-06-30,41566620800.0,-3856177650.0
402340,2023-07-31,39416820150.0,-13713624250.0
402340,2023-08-31,6510593400.0,15105757450.0
402340,2023-09-27,43757130100.0,-38574941500.0
402340,2023-10-31,-17131701250.0,38650826700.0
402340,2023-11-30,15111787700.0,52217673600.0
402340,2023-12-28,8121429250.0,32656533300.0
402340,2024-01-31,4442335650.0,23846673150.0
402340,2024-02-29,221008106000.0,64777774500.0
402340,2024-03-29,81101109400.0,3511398000.0
402340,2024-04-30,53639862600.0,12850039000.0
402340,2024-05-31,28183681700.0,-1044014200.0
402340,2024-06-28,25045186400.0,13605987700.0
402340,2024-07-31,32206976200.0,-22032589700.0
402340,2024-08-30,29571710400.0,-23346544300.0
402340,2024-09-30,-8591735700.0,17761097500.0
402340,2024-10-31,-85211893300.0,82782688800.0
402340,2024-11-29,-35520192100.0,24211062300.0
402340,2024-12-30,-1651988400.0,20734617200.0
402340,2025-01-31,-30290942200.0,61687723700.0
402340,2025-02-28,-30308213400.0,44699095100.0
402340,2025-03-31,-25465353300.0,39280103350.0
402340,2025-04-30,-22041143050.0,10082405600.0
402340,2025-05-30,29948894500.0,8610157850.0
402340,2025-06-30,-117059143200.0,87033025750.0
402340,2025-07-31,457096608000.0,-91610309250.0
402340,2025-08-29,-55646530850.0,62801014900.0
402340,2025-09-30,-146416035200.0,277270476400.0
402340,2025-10-31,-383225624000.0,330812791250.0
402340,2025-11-28,27904543750.0,-21276511750.0
402340,2025-12-30,-81166517750.0,130949132000.0
402340,2026-01-30,6810675500.0,54584495250.0
402340,2026-02-27,-718715169750.0,498196683250.0
402340,2026-03-31,-204639617500.0,-78579896500.0
402340,2026-04-30,-29824271750.0,350028632000.0
402340,2026-05-29,-1421170810000.0,1241009925000.0
402340,2026-06-12,-628777573500.0,1442590656500.0
005380,2019-01-31,-213277970000.0,176441597000.0
005380,2019-02-28,-186192472500.0,120433003000.0
005380,2019-03-29,-123681234000.0,68789770500.0
005380,2019-04-30,-16405071000.0,216275299000.0
005380,2019-05-31,-10045288500.0,25424908000.0
005380,2019-06-28,58275106000.0,24328590000.0
005380,2019-07-31,-61618601000.0,11368568000.0
005380,2019-08-30,-81343440000.0,76323795000.0
005380,2019-09-30,-145265029000.0,159801660000.0
005380,2019-10-31,-174622146000.0,-60484435500.0
005380,2019-11-29,-192068466000.0,107766943500.0
005380,2019-12-30,-309592302500.0,128909925500.0
005380,2020-01-31,-21746154000.0,-68097221000.0
005380,2020-02-28,-42490262500.0,-37028506500.0
005380,2020-03-31,-796006028900.0,-17888728500.0
005380,2020-04-29,-407344303700.0,35726222000.0
005380,2020-05-29,-67017336000.0,114814301900.0
005380,2020-06-30,1143782500.0,-65371035600.0
005380,2020-07-31,44378634300.0,173816918000.0
005380,2020-08-31,-681648965000.0,99314362000.0
005380,2020-09-29,-176551911000.0,-247247944000.0
005380,2020-10-30,-175263948500.0,-383379270500.0
005380,2020-11-30,40913704500.0,15601154000.0
005380,2020-12-30,8340031500.0,-308413103000.0
005380,2021-01-29,32686587000.0,-1000670254500.0
005380,2021-02-26,-75387727500.0,-47988256000.0
005380,2021-03-31,-139259779500.0,-368482501000.0
005380,2021-04-30,-116916013000.0,-168598014500.0
005380,2021-05-31,-173368682000.0,496779240500.0
005380,2021-06-30,-133061485500.0,104235322000.0
005380,2021-07-30,-479773368000.0,-430727639500.0
005380,2021-08-31,-142838798500.0,-120600382500.0
005380,2021-09-30,7242152000.0,-256389002000.0
005380,2021-10-29,91055954000.0,113304951000.0
005380,2021-11-30,58044753000.0,32051361000.0
005380,2021-12-30,-109717021500.0,174443602500.0
005380,2022-01-28,-174347948500.0,-249214713500.0
005380,2022-02-28,-412940897500.0,-86923112500.0
005380,2022-03-31,-264810027000.0,-33888697500.0
005380,2022-04-29,105788595000.0,162223141000.0
005380,2022-05-31,64649981000.0,46870454000.0
005380,2022-06-30,-14704184000.0,12739779000.0
005380,2022-07-29,177273936000.0,37166091500.0
005380,2022-08-31,529690249500.0,-235088600500.0
005380,2022-09-30,181126247500.0,51157290500.0
005380,2022-10-31,-3095975000.0,-277282543500.0
005380,2022-11-30,19109599500.0,-89972787000.0
005380,2022-12-29,-50420478500.0,-134582453500.0
005380,2023-01-31,204726722500.0,55744595000.0
005380,2023-02-28,261506698500.0,23866816400.0
005380,2023-03-31,221440939900.0,7417243200.0
005380,2023-04-28,303697685600.0,121093266300.0
005380,2023-05-31,209671462900.0,-19657858600.0
005380,2023-06-30,219098102600.0,-43588432400.0
005380,2023-07-31,175300328900.0,-138094925900.0
005380,2023-08-31,142692068000.0,-192596672100.0
005380,2023-09-27,111281538200.0,34685365600.0
005380,2023-10-31,-185579389300.0,52768910800.0
005380,2023-11-30,-41007464900.0,60651921500.0
005380,2023-12-28,170991763000.0,188668175200.0
005380,2024-01-31,-77020538400.0,-17709191500.0
005380,2024-02-29,1696190979600.0,536728159900.0
005380,2024-03-29,511764401000.0,-241124856500.0
005380,2024-04-30,801668965500.0,-90592086000.0
005380,2024-05-31,278903428000.0,126473935500.0
005380,2024-06-28,230713175000.0,240925903500.0
005380,2024-07-31,-170924672000.0,-379658435000.0
005380,2024-08-30,284728272500.0,-194558637500.0
005380,2024-09-30,94744905000.0,-155023183500.0
005380,2024-10-31,-363236509000.0,-66946799000.0
005380,2024-11-29,-287141791100.0,216872451400.0
005380,2024-12-30,-267480630000.0,156706693500.0
005380,2025-01-31,-376037740500.0,-205933038500.0
005380,2025-02-28,-661480565100.0,-24829744700.0
005380,2025-03-31,162673522700.0,17046461200.0
005380,2025-04-30,-681949647500.0,125161880400.0
005380,2025-05-30,-210756078850.0,-66604015150.0
005380,2025-06-30,160282022150.0,-79606691500.0
005380,2025-07-31,-106963185000.0,42047489250.0
005380,2025-08-29,243116980750.0,71987759750.0
005380,2025-09-30,-67303156000.0,-180615621750.0
005380,2025-10-31,-257632605000.0,81363108750.0
005380,2025-11-28,-74480020750.0,112319686000.0
005380,2025-12-30,264102886500.0,347134418500.0
005380,2026-01-30,-4498169109000.0,-415718485500.0
005380,2026-02-27,-384444649000.0,461628384500.0
005380,2026-03-31,-2819585384500.0,-557635137000.0
005380,2026-04-30,-575684493500.0,1928734500.0
005380,2026-05-29,-1306675788500.0,692811401500.0
005380,2026-06-12,-1107925039500.0,-298264271500.0
009150,2019-01-31,-72250544600.0,60222086700.0
009150,2019-02-28,-41122067000.0,-74128647000.0
009150,2019-03-29,-137509979900.0,-7389184800.0
009150,2019-04-30,117605805500.0,186921083500.0
009150,2019-05-31,-208690905700.0,-137603132300.0
009150,2019-06-28,-29324539300.0,-15432290200.0
009150,2019-07-31,101711986700.0,-98314625000.0
009150,2019-08-30,84076139500.0,1669528900.0
009150,2019-09-30,212200404200.0,98686245800.0
009150,2019-10-31,465708557500.0,-26041780000.0
009150,2019-11-29,71959849500.0,-32715811500.0
009150,2019-12-30,276201081500.0,35233352000.0
009150,2020-01-31,209733663000.0,-81455907500.0
009150,2020-02-28,191064900500.0,-12637379000.0
009150,2020-03-31,-90932617700.0,-87609373500.0
009150,2020-04-29,-5737128300.0,-17628265000.0
009150,2020-05-29,26323199000.0,102398021500.0
009150,2020-06-30,134965474000.0,68813371500.0
009150,2020-07-31,57170111500.0,74246250000.0
009150,2020-08-31,-46325225500.0,-128214652500.0
009150,2020-09-29,8581247000.0,142912212500.0
009150,2020-10-30,13081983000.0,6613558500.0
