code,market
017510,KOSDAQ
017550,KOSPI
017650,KOSDAQ
017670,KOSPI
017800,KOSPI
017810,KOSPI
017860,KOSPI
017890,KOSDAQ
017900,KOSPI
017940,KOSPI
017960,KOSPI
018000,KOSDAQ
018120,KOSDAQ
018250,KOSPI
018260,KOSPI
018290,KOSDAQ
018310,KOSDAQ
018470,KOSPI
018500,KOSPI
018620,KOSDAQ
018670,KOSPI
018680,KOSDAQ
018700,KOSDAQ
018880,KOSPI
019010,KOSDAQ
019170,KOSPI
019175,KOSPI
019180,KOSPI
019210,KOSDAQ
019490,KOSPI
019540,KOSDAQ
019550,KOSDAQ
019570,KOSDAQ
019660,KOSDAQ
019680,KOSPI
019685,KOSPI
019770,KOSDAQ
019990,KOSDAQ
020000,KOSPI
020120,KOSPI
020150,KOSPI
020180,KOSDAQ
020400,KOSDAQ
020560,KOSPI
020710,KOSDAQ
020760,KOSPI
021040,KOSDAQ
021045,KOSDAQ
021050,KOSPI
021080,KOSDAQ
021240,KOSPI
021320,KOSDAQ
021650,KOSDAQ
021820,KOSPI
021880,KOSDAQ
022100,KOSPI
022220,KOSDAQ
023000,KOSPI
023150,KOSPI
023160,KOSDAQ
023350,KOSPI
023410,KOSDAQ
023440,KOSDAQ
023450,KOSPI
023530,KOSPI
023590,KOSPI
023600,KOSDAQ
023760,KOSDAQ
023770,KOSDAQ
023790,KOSDAQ
023800,KOSPI
023810,KOSPI
023900,KOSDAQ
023910,KOSDAQ
023960,KOSPI
024060,KOSDAQ
024070,KOSPI
024090,KOSPI
024110,KOSPI
024120,KOSDAQ
024720,KOSPI
024740,KOSDAQ
024800,KOSDAQ
024830,KOSDAQ
024840,KOSDAQ
024850,KOSDAQ
024880,KOSDAQ
024890,KOSPI
024900,KOSPI
024910,KOSDAQ
024940,KOSDAQ
024950,KOSDAQ
025000,KOSPI
025320,KOSDAQ
025440,KOSDAQ
025530,KOSPI
025540,KOSPI
025550,KOSDAQ
025560,KOSPI
025620,KOSPI
025750,KOSPI
025770,KOSDAQ
025820,KOSPI
025860,KOSPI
025870,KOSDAQ
025880,KOSDAQ
025890,KOSPI
025900,KOSDAQ
025950,KOSDAQ
025980,KOSDAQ
026040,KOSDAQ
