출발일,code,name,유형,국면,밸류,밸류여부,봉_1월,봉_4월,B0_카드,B0b_2단126,B0b_how,A2_2단1월,A3_2단4월,A4_2단밸류분기,E1_잔여보유1월,E1_how,E2_잔여보유4월,E3_잔여보유밸류분기,C1_달력1월,C2_달력4월,C3_달력밸류분기,D1_순수4월,D0_순수1월
2011-09-23,010950,S-Oil,A,실행,배당2%+,True,88,150,-0.08107476635514022,-0.08107476635514022,손절/트레일,-0.08107476635514022,-0.08107476635514022,-0.08107476635514022,-0.08107476635514022,손절/트레일,-0.08107476635514022,-0.08107476635514022,-0.08107476635514022,-0.08107476635514022,-0.08107476635514022,-0.08504672897196264,0.14018691588785037
2011-09-05,010950,S-Oil,A,실행,배당2%+,True,100,162,0.08056872037914697,0.06995260663507108,2단트레일,0.06995260663507108,0.06995260663507108,0.06995260663507108,0.04028436018957349,본전이탈,0.04028436018957349,0.04028436018957349,-0.0545023696682464,-0.0545023696682464,-0.0545023696682464,-0.0720379146919431,0.1563981042654028
1999-10-01,006360,GS건설,A,실행,,False,82,142,0.106951871657754,0.09465240641711226,2단트레일,0.09465240641711226,0.09465240641711226,0.09465240641711226,0.053475935828877,본전이탈,0.053475935828877,0.053475935828877,-0.1048663101604278,-0.1048663101604278,-0.1048663101604278,-0.35721925133689836,-0.11229946524064172
2007-10-25,001120,LX인터내셔널,A,주의,,False,66,126,0.07171717171717162,0.046969696969696884,2단트레일,0.046969696969696884,0.046969696969696884,0.046969696969696884,0.03585858585858581,본전이탈,0.03585858585858581,0.03585858585858581,-0.06727272727272726,-0.06727272727272726,-0.06727272727272726,-0.08484848484848484,-0.38181818181818183
1999-10-01,001120,LX인터내셔널,A,실행,,False,82,142,-0.08577777777777784,-0.08577777777777784,손절/트레일,-0.08577777777777784,-0.08577777777777784,-0.08577777777777784,-0.08577777777777784,손절/트레일,-0.08577777777777784,-0.08577777777777784,-0.08958333333333335,-0.08958333333333335,-0.08958333333333335,-0.5333333333333333,-0.3402777777777778
2011-09-23,001120,LX인터내셔널,A,실행,저PER,True,88,150,-0.09965909090909086,-0.09965909090909086,손절/트레일,-0.09965909090909086,-0.09965909090909086,-0.09965909090909086,-0.09965909090909086,손절/트레일,-0.09965909090909086,-0.09965909090909086,-0.09965909090909086,-0.09965909090909086,-0.09965909090909086,0.05227272727272725,0.25681818181818183
1999-10-04,001120,LX인터내셔널,A,실행,,False,81,141,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.5094890510948905,-0.3065693430656934
2001-09-13,006260,LS,A,실행,,False,94,152,-0.06032608695652175,-0.06032608695652175,손절/트레일,-0.06032608695652175,-0.06032608695652175,-0.06032608695652175,-0.06032608695652175,손절/트레일,-0.06032608695652175,-0.06032608695652175,-0.06032608695652175,-0.06032608695652175,-0.06032608695652175,0.10507246376811596,0.0036231884057971175
1997-10-17,002610,002610,A,실행,,False,65,129,-0.08079310344827595,-0.08079310344827595,손절/트레일,-0.08079310344827595,-0.08079310344827595,-0.08079310344827595,-0.08079310344827595,손절/트레일,-0.08079310344827595,-0.08079310344827595,-0.08079310344827595,-0.08079310344827595,-0.08079310344827595,-0.07389673039128108,0.33793103448275863
1997-10-20,002610,002610,A,실행,,False,64,128,0.08015267175572527,0.040076335877862634,2단트레일,0.040076335877862634,0.040076335877862634,0.040076335877862634,0.040076335877862634,본전이탈,0.040076335877862634,0.040076335877862634,-0.06450381679389317,-0.06450381679389317,-0.06450381679389317,0.025076138116520985,0.48091603053435117
1997-09-23,011650,011650,A,실행,,False,82,146,0.0748502994011977,0.03742514970059885,2단트레일,0.03742514970059885,0.03742514970059885,0.03742514970059885,0.03742514970059885,본전이탈,0.03742514970059885,0.03742514970059885,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.5137724550898204,-0.18562874251497008
2001-09-03,005940,NH투자증권,A,실행,,False,102,160,-0.07213844252163171,-0.07213844252163171,손절/트레일,-0.07213844252163171,-0.07213844252163171,-0.07213844252163171,-0.07213844252163171,손절/트레일,-0.07213844252163171,-0.07213844252163171,-0.07583436341161931,-0.07583436341161931,-0.07583436341161931,1.07663782447466,1.1878862793572313
2015-10-30,002350,넥센타이어,A,주의,,False,62,122,-0.06000000000000005,-0.06000000000000005,손절/트레일,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,손절/트레일,-0.06000000000000005,-0.06000000000000005,-0.06079545454545454,-0.06079545454545454,-0.06079545454545454,0.10227272727272729,-0.13257575757575757
2011-09-06,003600,003600,A,실행,,False,99,161,0.06866197183098599,0.034330985915492995,2단트레일,0.034330985915492995,0.034330985915492995,0.034330985915492995,0.034330985915492995,본전이탈,0.034330985915492995,0.034330985915492995,-0.08345070422535217,-0.08345070422535217,-0.08345070422535217,-0.14436619718309862,-0.010563380281690127
1997-09-01,003600,003600,A,실행,,False,95,159,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.48697916666666663,-0.109375
2018-10-26,011690,와이투솔루션,A,실행,,False,66,125,-0.05137481910274966,-0.05137481910274966,손절/트레일,-0.05137481910274966,-0.05137481910274966,-0.05137481910274966,-0.05137481910274966,손절/트레일,-0.05137481910274966,-0.05137481910274966,-0.05137481910274966,-0.05137481910274966,-0.05137481910274966,0.16931982633863973,0.18958031837916067
2023-10-19,000100,유한양행,A,실행,,False,71,131,-0.053558631921824085,-0.053558631921824085,손절/트레일,-0.053558631921824085,-0.053558631921824085,-0.053558631921824085,-0.053558631921824085,손절/트레일,-0.053558631921824085,-0.053558631921824085,-0.053558631921824085,-0.053558631921824085,-0.053558631921824085,0.1791530944625408,-0.03583061889250816
2020-10-27,005690,파미셀,A,관찰만,,False,65,127,0.07716049382716039,0.14154320987654312,2단트레일,0.14154320987654312,0.14154320987654312,0.14154320987654312,0.038580246913580196,본전이탈,0.038580246913580196,0.038580246913580196,-0.08110956790123458,-0.08110956790123458,-0.08110956790123458,0.021604938271605034,-0.11111111111111116
2020-10-19,005690,파미셀,A,관찰만,,False,71,133,0.07532051282051277,0.10599358974358974,2단트레일,0.10599358974358974,0.10599358974358974,0.10599358974358974,0.03766025641025639,본전이탈,0.03766025641025639,0.03766025641025639,-0.05791920405982909,-0.05791920405982909,-0.05791920405982909,0.0608974358974359,-0.07692307692307687
2018-10-29,005690,파미셀,A,실행,,False,65,124,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.018018018018018056,0.5945945945945945
2020-10-16,005690,파미셀,A,관찰만,,False,72,134,0.08647798742138368,0.10084905660377363,2단트레일,0.10084905660377363,0.10084905660377363,0.10084905660377363,0.04323899371069184,본전이탈,0.04323899371069184,0.04323899371069184,-0.07740212264150947,-0.07740212264150947,-0.07740212264150947,0.04088050314465419,-0.09433962264150941
2011-09-23,005950,이수화학,A,실행,배당2%+,True,88,150,-0.051010638297872224,-0.051010638297872224,손절/트레일,-0.051010638297872224,-0.051010638297872224,-0.051010638297872224,-0.051010638297872224,손절/트레일,-0.051010638297872224,-0.051010638297872224,-0.051010638297872224,-0.051010638297872224,-0.051010638297872224,0.06382978723404253,0.08936170212765959
1999-10-05,004020,현대제철,A,실행,,False,80,140,0.07109374999999996,0.119234375,2단트레일,0.119234375,0.119234375,0.119234375,0.03554687499999998,본전이탈,0.03554687499999998,0.03554687499999998,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.509375,-0.2109375
2022-09-26,000230,일동홀딩스,A,실행,,False,86,148,0.0714285714285714,0.13871670702179173,2단트레일,0.13871670702179173,0.13871670702179173,0.13871670702179173,0.0357142857142857,본전이탈,0.0357142857142857,0.0357142857142857,-0.06840193704600483,-0.06840193704600483,-0.06840193704600483,-0.3864406779661017,-0.22179176755447938
2011-09-26,007570,일양약품,A,실행,,False,87,149,0.1255656108597285,0.06278280542986425,2단트레일,0.06278280542986425,0.06278280542986425,0.06278280542986425,0.06278280542986425,본전이탈,0.06278280542986425,0.06278280542986425,0.3959276018099547,0.10407239819004532,0.3959276018099547,0.10407239819004532,0.3959276018099547
2014-10-21,007570,일양약품,A,주의,,False,70,131,0.06883365200764824,0.03441682600382412,2단트레일,0.03441682600382412,0.03441682600382412,0.03441682600382412,0.03441682600382412,본전이탈,0.03441682600382412,0.03441682600382412,-0.053087954110898616,-0.053087954110898616,-0.053087954110898616,0.2466539196940727,0.07839388145315485
2014-09-04,002620,제일파마홀딩스,A,관찰만,,False,98,159,-0.09766497461928936,-0.09766497461928936,손절/트레일,-0.09766497461928936,-0.09766497461928936,-0.09766497461928936,-0.09766497461928936,손절/트레일,-0.09766497461928936,-0.09766497461928936,-0.10304568527918778,-0.10304568527918778,-0.10304568527918778,0.7157360406091371,0.07868020304568524
2014-09-03,002620,제일파마홀딩스,A,관찰만,,False,99,160,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.6815920398009949,0.05721393034825861
2022-10-11,018470,조일알미늄,A,실행,,False,77,139,0.07964601769911495,0.040176991150442376,2단트레일,0.040176991150442376,0.040176991150442376,0.040176991150442376,0.03982300884955747,본전이탈,0.03982300884955747,0.03982300884955747,-0.05210176991150439,-0.05210176991150439,-0.05210176991150439,0.331858407079646,-0.04646017699115046
2000-09-18,000010,000010,A,실행,,False,88,149,-0.05329289428076256,-0.05329289428076256,손절/트레일,-0.05329289428076256,-0.05329289428076256,-0.05329289428076256,-0.05329289428076256,손절/트레일,-0.05329289428076256,-0.05329289428076256,-0.05329289428076256,-0.05329289428076256,-0.05329289428076256,-0.22703639514731366,-0.06932409012131713
2000-09-19,000010,000010,A,실행,,False,87,148,0.10357142857142865,0.17721428571428577,2단트레일,0.17721428571428577,0.17721428571428577,0.17721428571428577,0.051785714285714324,본전이탈,0.051785714285714324,0.051785714285714324,-0.10089285714285712,-0.10089285714285712,-0.10089285714285712,-0.20357142857142863,-0.04107142857142854
2023-10-23,001060,JW중외제약,A,주의,,False,69,129,-0.05737827715355803,-0.05737827715355803,손절/트레일,-0.05737827715355803,-0.05737827715355803,-0.05737827715355803,-0.05737827715355803,손절/트레일,-0.05737827715355803,-0.05737827715355803,-0.059369538077403305,-0.059369538077403305,-0.059369538077403305,0.15917602996254687,0.14794007490636707
2016-10-31,001060,JW중외제약,A,관찰만,,False,63,125,-0.068504403794038,-0.068504403794038,손절/트레일,-0.068504403794038,-0.068504403794038,-0.068504403794038,-0.068504403794038,손절/트레일,-0.068504403794038,-0.068504403794038,-0.068504403794038,-0.068504403794038,-0.068504403794038,-0.11890243902439024,-0.11280487804878048
2011-09-26,006380,카프로,A,실행,,False,87,149,-0.024032921810699603,-0.024032921810699603,손절/트레일,-0.024032921810699603,-0.024032921810699603,-0.024032921810699603,-0.024032921810699603,손절/트레일,-0.024032921810699603,-0.024032921810699603,-0.07150205761316875,-0.07150205761316875,-0.07150205761316875,-0.191358024691358,0.04526748971193406
2024-09-24,007460,에이프로젠,A,주의,,False,83,145,-0.06557377049180346,-0.06557377049180346,손절/트레일,-0.06557377049180346,-0.06557377049180346,-0.06557377049180346,-0.06557377049180346,손절/트레일,-0.06557377049180346,-0.06557377049180346,-0.06557377049180346,-0.06557377049180346,-0.06557377049180346,-0.4295081967213116,-0.35983606557377057
1998-10-28,003240,태광산업,A,실행,,False,62,121,-0.021333333333333315,-0.021333333333333315,손절/트레일,-0.021333333333333315,-0.021333333333333315,-0.021333333333333315,-0.021333333333333315,손절/트레일,-0.021333333333333315,-0.021333333333333315,-0.07878787878787874,-0.07878787878787874,-0.07878787878787874,0.13636363636363646,-0.11363636363636365
2011-09-26,009410,태영건설,A,실행,저PBR·저PER,True,87,149,0.0949152542372882,0.0474576271186441,2단트레일,0.0474576271186441,0.0474576271186441,0.0474576271186441,0.0474576271186441,본전이탈,0.0474576271186441,0.0474576271186441,-0.05191878531073446,-0.05191878531073446,-0.05191878531073446,-0.15423728813559312,-0.027118644067796516
2015-10-13,002790,아모레퍼시픽홀딩스,B,주의,,False,75,135,-0.0718941054291593,-0.0718941054291593,손절/트레일,-0.0718941054291593,-0.0718941054291593,-0.0718941054291593,-0.0718941054291593,손절/트레일,-0.0718941054291593,-0.0718941054291593,-0.0718941054291593,-0.0718941054291593,-0.0718941054291593,0.053291536050156685,-0.06896551724137934
2015-09-07,002790,아모레퍼시픽홀딩스,B,실행,,False,98,158,-0.08416062214881226,-0.08416062214881226,손절/트레일,-0.08416062214881226,-0.08416062214881226,-0.08416062214881226,-0.08416062214881226,손절/트레일,-0.08416062214881226,-0.08416062214881226,-0.08416062214881226,-0.08416062214881226,-0.08416062214881226,0.07692307692307687,-0.04807692307692313
2009-10-01,010060,OCI홀딩스,B,관찰만,,False,82,145,-0.08721257485029943,-0.08721257485029943,손절/트레일,-0.08721257485029943,-0.08721257485029943,-0.08721257485029943,-0.08721257485029943,손절/트레일,-0.08721257485029943,-0.08721257485029943,-0.08721257485029943,-0.08721257485029943,-0.08721257485029943,-0.15568862275449102,-0.3053892215568862
2009-10-05,010060,OCI홀딩스,A,실행,,False,81,144,0.07019438444924408,0.03509719222462204,2단트레일,0.03509719222462204,0.03509719222462204,0.03509719222462204,0.03509719222462204,본전이탈,0.03509719222462204,0.03509719222462204,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.08639308855291572,-0.24838012958963285
2022-09-19,010060,OCI홀딩스,A,실행,저PER,True,91,151,-0.0545023696682464,-0.0545023696682464,손절/트레일,-0.0545023696682464,-0.0545023696682464,-0.0545023696682464,-0.0545023696682464,손절/트레일,-0.0545023696682464,-0.0545023696682464,-0.0545023696682464,-0.0545023696682464,-0.0545023696682464,0.13554502369668242,-0.14881516587677723
1999-10-05,005810,풍산홀딩스,A,실행,,False,80,140,0.07471264367816088,0.10126436781609194,2단트레일,0.10126436781609194,0.10126436781609194,0.10126436781609194,0.03735632183908044,본전이탈,0.03735632183908044,0.03735632183908044,-0.05922109885179849,-0.05922109885179849,-0.05922109885179849,-0.4057471264367817,-0.18505747126436778
1999-10-18,005810,풍산홀딩스,A,실행,,False,71,131,-0.06375299520766797,-0.06375299520766797,손절/트레일,-0.06375299520766797,-0.06375299520766797,-0.06375299520766797,-0.06375299520766797,손절/트레일,-0.06375299520766797,-0.06375299520766797,-0.06375299520766797,-0.06375299520766797,-0.06375299520766797,-0.4494142705005325,-0.24494142705005328
1999-10-19,008270,008270,A,실행,,False,70,130,0.06818181818181834,0.03409090909090917,2단트레일,0.03409090909090917,0.03409090909090917,0.03409090909090917,0.03409090909090917,본전이탈,0.03409090909090917,0.03409090909090917,-0.07125409090909085,-0.07125409090909085,-0.07125409090909085,-0.4696969696969697,-0.3219696969696969
1999-10-18,008270,008270,A,실행,,False,71,131,-0.06823529411764717,-0.06823529411764717,손절/트레일,-0.06823529411764717,-0.06823529411764717,-0.06823529411764717,-0.06823529411764717,손절/트레일,-0.06823529411764717,-0.06823529411764717,-0.09857014705882361,-0.09857014705882361,-0.09857014705882361,-0.4852941176470589,-0.34191176470588236
1999-10-05,017670,SK텔레콤,B,실행,,False,80,138,0.44014401440144013,0.5632403240324033,2단트레일,0.5632403240324033,0.5632403240324033,0.5632403240324033,1.4212421242124214,달력보유,1.0125356906551581,1.4212421242124214,2.4023402340234026,1.5849273669088761,2.4023402340234026,1.5849273669088761,2.4023402340234026
1999-10-05,005830,DB손해보험,A,실행,,False,80,140,0.07960893854748607,0.15064245810055876,2단트레일,0.15064245810055876,0.15064245810055876,0.15064245810055876,0.03980446927374304,본전이탈,0.03980446927374304,0.03980446927374304,-0.06061452513966481,-0.06061452513966481,-0.06061452513966481,-0.45251396648044695,0.1005586592178771
2000-09-19,009720,009720,A,실행,,False,87,148,-0.05929549902152642,-0.05929549902152642,손절/트레일,-0.05929549902152642,-0.05929549902152642,-0.05929549902152642,-0.05929549902152642,손절/트레일,-0.05929549902152642,-0.05929549902152642,-0.05929549902152642,-0.05929549902152642,-0.05929549902152642,0.5772994129158513,0.42465753424657526
1998-09-14,015760,한국전력,A,실행,,False,92,152,0.10404624277456653,0.0594219653179191,2단트레일,0.0594219653179191,0.0594219653179191,0.0594219653179191,0.052023121387283267,본전이탈,0.052023121387283267,0.052023121387283267,0.869942196531792,0.976878612716763,0.869942196531792,0.976878612716763,0.869942196531792
1999-10-05,015760,한국전력,B,실행,,False,80,140,-0.09380279898218835,-0.09380279898218835,손절/트레일,-0.09380279898218835,-0.09380279898218835,-0.09380279898218835,-0.09380279898218835,손절/트레일,-0.09380279898218835,-0.09380279898218835,-0.09380279898218835,-0.09380279898218835,-0.09380279898218835,-0.17302798982188294,-0.11704834605597969
1999-10-01,000240,한국앤컴퍼니,A,실행,,False,82,142,0.07160493827160486,0.07792592592592584,2단트레일,0.07792592592592584,0.07792592592592584,0.07792592592592584,0.03580246913580243,본전이탈,0.03580246913580243,0.03580246913580243,-0.10395061728395061,-0.10395061728395061,-0.10395061728395061,-0.4444444444444444,-0.2518518518518519
2010-10-29,004150,한솔홀딩스,A,관찰만,저PBR·배당2%+,True,65,125,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.26428571428571423,-0.14464285714285718
