출발일,code,유형,국면,PER,PBR,EPS,DIV,ex,f40,peak6,PER군,PBR군,DIV군
2006-02-23,004800,A,주의,8.41,0.3,2051.0,2.61,8.8888888888889,43.33333333333333,55.2,중PER(8~15),저PBR(<0.8),배당2%+
2006-04-26,057330,A,관찰만,0.0,33.6,0.0,0.0,10.87408949011445,123.72528616024971,243.9,적자/무실적,고PBR(3+),무배당
2006-05-15,069080,A,주의,0.0,1.51,0.0,0.0,7.701421800947859,-26.066350710900473,12.8,적자/무실적,중고PBR(1.5~3),무배당
2006-05-16,011760,A,실행,14.17,7.35,2135.0,0.0,-5.78443845731677,-20.61068702290076,1.5,중PER(8~15),고PBR(3+),무배당
2006-05-18,003560,A,실행,53.93,8.44,173.0,0.0,-5.92085889570551,-7.36196319018404,9.2,고PER(30+),고PBR(3+),무배당
2006-06-01,016420,A,실행,20.78,3.09,592.0,0.0,-7.3014880952381,-14.553571428571429,25.0,중고PER(15~30),고PBR(3+),무배당
2006-06-02,053000,B,실행,9.29,1.62,2099.0,2.05,-5.96461126005363,2.14477211796246,15.0,중PER(8~15),중고PBR(1.5~3),배당2%+
2006-06-05,023410,A,실행,49.1,2.17,221.0,0.0,-5.0,-28.55555555555555,10.0,고PER(30+),중고PBR(1.5~3),무배당
2006-06-07,023410,A,실행,49.1,2.17,221.0,0.0,7.736063708759939,-27.872582480091012,12.6,고PER(30+),중고PBR(1.5~3),무배당
2006-06-07,022100,A,실행,68.06,3.93,108.0,0.0,-7.36842105263158,-21.31578947368421,36.7,고PER(30+),고PBR(3+),무배당
2006-06-08,000670,A,실행,11.06,0.59,18768.0,0.48,-5.0,43.75,73.1,중PER(8~15),저PBR(<0.8),배당<2%
2006-06-08,002990,A,실행,10.58,1.18,2075.0,1.82,-6.6193181818181905,-11.64772727272728,46.6,중PER(8~15),중PBR(0.8~1.5),배당<2%
2006-06-09,000670,A,실행,11.06,0.59,18768.0,0.48,8.86075949367088,40.50632911392406,75.3,중PER(8~15),저PBR(<0.8),배당<2%
2006-06-21,000720,A,실행,11.34,3.88,4110.0,0.0,7.480818414322241,21.355498721227608,56.5,중PER(8~15),고PBR(3+),무배당
2006-06-27,011780,A,실행,4.7,0.71,6025.0,2.3,8.41121495327101,6.77570093457944,55.6,저PER(<8),저PBR(<0.8),배당2%+
2006-07-18,035080,A,실행,154.22,11.74,64.0,0.0,-5.0,-13.92081736909323,16.9,고PER(30+),고PBR(3+),무배당
2006-07-18,011200,A,실행,4.85,1.32,3749.0,2.75,8.56643356643356,20.97902097902098,80.4,저PER(<8),중PBR(0.8~1.5),배당2%+
2006-07-19,004010,A,실행,38.73,3.33,417.0,0.0,8.17610062893081,7.54716981132075,19.2,고PER(30+),고PBR(3+),무배당
2006-08-02,060000,B,실행,11.95,2.26,6977.0,0.66,-6.999873896595219,-5.1702395964690995,4.8,중PER(8~15),중고PBR(1.5~3),배당<2%
2006-10-09,037150,A,주의,28.78,3.34,813.0,0.0,9.04522613065326,21.85929648241205,30.9,중고PER(15~30),고PBR(3+),무배당
2006-10-10,000660,B,주의,9.21,2.68,4048.0,0.0,4.2796005706133995,4.2796005706133995,8.8,중PER(8~15),중고PBR(1.5~3),무배당
2006-10-10,039130,A,주의,41.12,14.45,1632.0,0.0,9.722222222222229,12.777777777777771,43.7,고PER(30+),고PBR(3+),무배당
2006-10-10,022100,A,주의,61.11,3.53,108.0,0.0,-8.27586206896552,30.17241379310345,34.3,고PER(30+),고PBR(3+),무배당
2006-10-20,000660,B,주의,9.21,2.68,4048.0,0.0,0.41551246537396,0.41551246537396,4.4,중PER(8~15),중고PBR(1.5~3),무배당
2006-10-24,057330,A,주의,0.0,42.39,0.0,0.0,11.34185303514376,-1.91693290734824,36.7,적자/무실적,고PBR(3+),무배당
2006-11-14,007640,A,관찰만,0.0,7.37,0.0,0.0,-5.00000000000001,-53.170409511228534,-12.2,적자/무실적,고PBR(3+),무배당
2006-12-13,001740,B,주의,16.3,7.5,1840.0,0.0,28.676470588235297,11.94852941176469,57.0,중고PER(15~30),고PBR(3+),무배당
2007-01-10,001740,B,주의,20.65,9.5,1840.0,0.0,-5.711920529801319,-5.62913907284767,41.4,중고PER(15~30),고PBR(3+),무배당
2007-01-11,001740,B,주의,20.65,9.5,1840.0,0.0,-4.28571428571428,-3.52941176470588,43.5,중고PER(15~30),고PBR(3+),무배당
2007-01-22,001740,B,주의,20.65,9.5,1840.0,0.0,-1.8103448275862002,-1.89655172413792,47.2,중고PER(15~30),고PBR(3+),무배당
2007-01-26,001740,B,주의,20.65,9.5,1840.0,0.0,-9.05254515599343,-0.32840722495894,40.2,중고PER(15~30),고PBR(3+),무배당
2007-03-21,032710,A,주의,5.62,4.32,11077.0,0.0,-5.0,-10.9640831758034,6.2,저PER(<8),고PBR(3+),무배당
2007-04-05,056200,A,관찰만,0.0,77.6,0.0,0.0,7.15166461159062,-3.94574599260172,29.5,적자/무실적,고PBR(3+),무배당
2007-04-20,001740,B,관찰만,16.03,7.38,1840.0,0.0,-6.304239766081859,-26.46198830409356,5.1,중고PER(15~30),고PBR(3+),무배당
2007-04-23,001740,B,관찰만,16.03,7.38,1840.0,0.0,-6.304239766081859,-25.730994152046783,5.1,중고PER(15~30),고PBR(3+),무배당
2007-06-21,065810,A,관찰만,1558.82,23.49,17.0,0.0,-8.32694991789818,-89.064039408867,-14.8,고PER(30+),고PBR(3+),무배당
2007-06-22,065810,A,주의,1558.82,23.49,17.0,0.0,-5.0,-87.39884393063583,-14.9,고PER(30+),고PBR(3+),무배당
