theme,code,name,industry,mcap_억,adtv_억,rev_yoy,mom_12_1,dist_from_12mhigh,선반영플래그,guardrail,thesis,무효화트리거
2차전지,033790,피노,일차전지 및 이차전지 제조업,8867,294.2,7.6308,1.6448,-0.2069,급등,PASS,,
2차전지,393890,더블유씨피,일차전지 및 이차전지 제조업,4907,107.2,-0.6559,1.2011,-0.2572,급등,PASS,,
2차전지,247540,에코프로비엠,일차전지 및 이차전지 제조업,193704,1774.2,-0.085,1.1571,-0.1466,급등,PASS,,
2차전지,243840,신흥에스이씨,일차전지 및 이차전지 제조업,2614,27.9,,,,-,PASS*,,
2차전지,091580,상신이디피,일차전지 및 이차전지 제조업,2578,43.5,,,,-,PASS*,,
2차전지,101360,에코앤드림,일차전지 및 이차전지 제조업,2337,17.7,,,,-,PASS*,,
2차전지,446540,메가터치,일차전지 및 이차전지 제조업,1963,17.6,,,,-,PASS*,,
2차전지,458650,성우,일차전지 및 이차전지 제조업,1672,8.3,,,,-,PASS*,,
반도체소부장,043260,성호전자,전자부품 제조업,33688,6660.9,0.117,27.8927,0.0,급등/고점근접,PASS,,
반도체소부장,327260,RF머트리얼즈,전자부품 제조업,6397,166.2,0.4402,12.7173,-0.1803,급등,PASS,,
반도체소부장,036930,주성엔지니어링,특수 목적용 기계 제조업,91521,7012.1,-0.2411,5.4412,-0.0155,급등/고점근접,PASS,,
반도체소부장,080220,제주반도체,반도체 제조업,34787,1979.0,0.8616,5.326,0.0,급등/고점근접,PASS,,
반도체소부장,420770,기가비스,특수 목적용 기계 제조업,15895,184.9,1.0064,4.5019,-0.1132,급등,PASS,,
반도체소부장,089890,코세스,특수 목적용 기계 제조업,6219,100.8,0.1907,4.4075,-0.2089,급등,PASS,,
반도체소부장,356860,티엘비,전자부품 제조업,9931,300.7,0.4361,4.3832,-0.1046,급등,PASS,,
반도체소부장,319660,피에스케이,특수 목적용 기계 제조업,26244,472.9,0.1486,4.0852,-0.0802,급등,PASS,,
반도체소부장,222800,심텍,전자부품 제조업,39112,1252.2,0.1455,3.9004,-0.116,급등,PASS,,
반도체소부장,064290,인텍플러스,특수 목적용 기계 제조업,5062,187.6,0.0702,3.7303,-0.0653,급등,PASS,,
반도체소부장,095610,테스,특수 목적용 기계 제조업,20251,365.1,0.4625,3.6982,-0.1217,급등,PASS,,
반도체소부장,417840,저스템,특수 목적용 기계 제조업,3370,230.9,0.2478,3.6902,-0.1532,급등,PASS,,
반도체소부장,089970,브이엠,특수 목적용 기계 제조업,13426,270.2,1.0549,3.6598,-0.0798,급등,PASS,,
반도체소부장,108490,로보티즈,특수 목적용 기계 제조업,59361,4333.7,0.2964,3.5788,0.0,급등/고점근접,PASS,,
반도체소부장,240810,원익IPS,특수 목적용 기계 제조업,48053,650.1,0.216,3.0076,-0.2205,급등,PASS,,
반도체소부장,290550,디케이티,전자부품 제조업,4720,122.3,0.0556,2.957,-0.0727,급등,PASS,,
반도체소부장,200470,에이팩트,반도체 제조업,3474,51.8,0.2799,2.6674,-0.0734,급등,PASS,,
반도체소부장,332570,PS일렉트로닉스,전자부품 제조업,4951,384.9,0.0274,2.6296,-0.0986,급등,PASS,,
반도체소부장,078350,한양디지텍,반도체 제조업,4268,145.0,0.0939,2.4182,-0.1125,급등,PASS,,
반도체소부장,067310,하나마이크론,반도체 제조업,27516,508.3,0.2269,2.3849,0.0,급등/고점근접,PASS,,
반도체소부장,241770,메카로,반도체 제조업,3797,24.6,0.5052,2.309,0.0,급등/고점근접,PASS,,
반도체소부장,090360,로보스타,특수 목적용 기계 제조업,15483,2496.4,-0.1504,2.2192,0.0,급등/고점근접,PASS,,
반도체소부장,053610,프로텍,특수 목적용 기계 제조업,6750,57.5,0.3538,2.1959,-0.0876,급등,PASS,,
반도체소부장,077360,덕산하이메탈,반도체 제조업,5248,151.7,0.0022,2.1722,-0.3709,급등,PASS,,
반도체소부장,084370,유진테크,특수 목적용 기계 제조업,27453,269.3,0.0363,2.1714,-0.106,급등,PASS,,
반도체소부장,031980,피에스케이홀딩스,특수 목적용 기계 제조업,21692,241.1,-0.0359,2.0241,-0.1907,급등,PASS,,
반도체소부장,090710,휴림로봇,특수 목적용 기계 제조업,13069,732.8,0.2645,1.9871,-0.2578,급등,PASS,,
반도체소부장,033640,네패스,반도체 제조업,8601,230.4,0.123,1.9369,0.0,급등/고점근접,PASS,,
반도체소부장,033160,엠케이전자,전자부품 제조업,6085,316.3,0.1992,1.7995,-0.0986,급등,PASS,,
반도체소부장,080580,오킨스전자,전자부품 제조업,3503,165.5,0.4153,1.7814,-0.2467,급등,PASS,,
반도체소부장,083450,GST,특수 목적용 기계 제조업,8883,200.0,0.0027,1.7703,-0.1041,급등,PASS,,
반도체소부장,092870,엑시콘,특수 목적용 기계 제조업,3654,77.6,1.0887,1.7678,-0.2371,급등,PASS,,
반도체소부장,039030,이오테크닉스,특수 목적용 기계 제조업,53220,726.5,0.1868,1.7229,-0.0769,급등,PASS,,
반도체소부장,036540,SFA반도체,반도체 제조업,12499,422.7,-0.0826,1.6413,-0.0865,급등,PASS,,
반도체소부장,252990,샘씨엔에스,전자부품 제조업,7539,142.6,0.4627,1.6004,-0.122,급등,PASS,,
반도체소부장,277810,레인보우로보틱스,특수 목적용 기계 제조업,148021,2276.2,0.7638,1.5027,-0.1128,급등,PASS,,
반도체소부장,166090,하나머티리얼즈,반도체 제조업,11530,166.6,0.0868,1.4951,-0.2278,급등,PASS,,
반도체소부장,160980,싸이맥스,특수 목적용 기계 제조업,3288,48.8,-0.004,1.4807,-0.1909,급등,PASS,,
반도체소부장,183300,코미코,특수 목적용 기계 제조업,9509,223.4,0.1912,1.4441,0.0,급등/고점근접,PASS,,
반도체소부장,200710,에이디테크놀로지,반도체 제조업,5210,89.1,0.5441,1.2997,-0.26,급등,PASS,,
반도체소부장,171090,선익시스템,특수 목적용 기계 제조업,7395,81.2,3.5673,1.2968,-0.4412,급등,PASS,,
반도체소부장,094170,동운아나텍,반도체 제조업,8270,77.3,-0.0769,1.2163,-0.2305,급등,PASS,,
반도체소부장,078600,대주전자재료,전자부품 제조업,19628,470.8,0.1609,1.1383,-0.205,급등,PASS,,
반도체소부장,098460,고영,특수 목적용 기계 제조업,22175,485.5,0.1487,1.1371,-0.1975,급등,PASS,,
반도체소부장,323280,태성,특수 목적용 기계 제조업,15849,176.2,-0.3606,1.1183,-0.3472,급등,PASS,,
반도체소부장,456010,아이씨티케이,반도체 제조업,4049,393.2,-0.3985,1.0556,-0.1412,급등,PASS,,
반도체소부장,417200,LS머트리얼즈,전자부품 제조업,12881,310.7,0.081,0.9409,-0.3664,-,PASS,,
반도체소부장,058470,리노공업,전자부품 제조업,70725,980.1,0.3392,0.9136,-0.2221,-,PASS,,
반도체소부장,046890,서울반도체,반도체 제조업,8122,447.3,-0.0706,0.8547,-0.1563,-,PASS,,
반도체소부장,056080,유진로봇,특수 목적용 기계 제조업,7840,144.1,0.0826,0.7564,-0.4282,-,PASS,,
반도체소부장,403870,HPSP,특수 목적용 기계 제조업,36335,1268.3,-0.0465,0.7532,-0.1606,-,PASS,,
반도체소부장,024850,HLB이노베이션,전자부품 제조업,4509,40.4,0.2724,0.7396,-0.3853,-,PASS,,
반도체소부장,222080,씨아이에스,특수 목적용 기계 제조업,8595,180.7,-0.1993,0.7378,-0.3564,-,PASS,,
반도체소부장,110990,디아이티,특수 목적용 기계 제조업,3776,36.3,-0.075,0.7374,-0.1992,-,PASS,,
반도체소부장,144960,뉴파워프라즈마,특수 목적용 기계 제조업,3849,131.0,0.1119,0.6634,0.0,고점근접,PASS,,
반도체소부장,036810,에프에스티,전자부품 제조업,6495,57.0,0.1805,0.6563,-0.3617,-,PASS,,
반도체소부장,425420,티에프이,전자부품 제조업,5729,84.9,0.5177,0.6489,-0.3075,-,PASS,,
반도체소부장,101490,에스앤에스텍,전자부품 제조업,13676,164.5,0.3847,0.6368,-0.3635,-,PASS,,
반도체소부장,232140,와이씨,특수 목적용 기계 제조업,12545,139.9,0.2906,0.6122,-0.3002,-,PASS,,
반도체소부장,122640,예스티,특수 목적용 기계 제조업,5430,53.4,-0.1303,0.6053,-0.068,-,PASS,,
반도체소부장,059090,미코,반도체 제조업,7753,274.8,0.8076,0.5208,0.0,고점근접,PASS,,
반도체소부장,253590,네오셈,특수 목적용 기계 제조업,5887,87.3,-0.3925,0.5199,-0.2812,-,PASS,,
반도체소부장,117730,티로보틱스,특수 목적용 기계 제조업,4002,44.4,-0.2783,0.5066,-0.2685,-,PASS,,
반도체소부장,114810,한솔아이원스,특수 목적용 기계 제조업,3487,31.8,0.2653,0.5066,-0.2686,-,PASS,,
반도체소부장,039440,에스티아이,특수 목적용 기계 제조업,4187,39.1,-0.0179,0.5042,-0.2923,-,PASS,,
반도체소부장,137400,피엔티,특수 목적용 기계 제조업,10175,97.0,-0.2804,0.5008,-0.233,-,PASS,,
반도체소부장,089030,테크윙,특수 목적용 기계 제조업,18119,393.5,-0.1422,0.4948,-0.268,-,PASS,,
반도체소부장,265520,AP시스템,특수 목적용 기계 제조업,3522,24.0,-0.1095,0.4647,-0.1069,-,PASS,,
반도체소부장,452430,사피엔반도체,반도체 제조업,3533,45.2,1.1661,0.4609,0.0,고점근접,PASS,,
반도체소부장,168360,펨트론,특수 목적용 기계 제조업,4042,36.3,0.2255,0.3992,-0.3229,-,PASS,,
반도체소부장,441270,파인엠텍,전자부품 제조업,3485,52.8,-0.3743,0.3805,-0.2675,-,PASS,,
반도체소부장,272290,이녹스첨단소재,전자부품 제조업,5592,64.4,0.0398,0.3377,-0.1974,-,PASS,,
반도체소부장,348210,넥스틴,특수 목적용 기계 제조업,6538,89.3,-0.4116,0.3294,-0.3665,-,PASS,,
반도체소부장,399720,가온칩스,반도체 제조업,6310,47.0,-0.29,0.269,-0.2658,-,PASS,,
반도체소부장,065680,우주일렉트로,전자부품 제조업,3927,35.4,0.0581,0.2497,-0.067,-,PASS,,
반도체소부장,101160,월덱스,전자부품 제조업,4062,27.6,-0.049,0.1848,-0.2489,-,PASS,,
반도체소부장,204270,제이앤티씨,전자부품 제조업,10910,82.8,-0.3205,0.147,-0.3053,-,PASS,,
반도체소부장,161580,필옵틱스,특수 목적용 기계 제조업,9893,118.0,-0.7483,0.1442,-0.2355,-,PASS,,
반도체소부장,056190,에스에프에이,특수 목적용 기계 제조업,9552,37.0,-0.2026,0.1338,-0.213,-,PASS,,
반도체소부장,091700,파트론,전자부품 제조업,3340,17.8,-0.0921,0.0973,-0.2233,-,PASS,,
반도체소부장,213420,덕산네오룩스,전자부품 제조업,8890,92.8,0.6222,0.0928,-0.2911,-,PASS,,
반도체소부장,475400,씨메스로보틱스,특수 목적용 기계 제조업,3315,75.0,0.8954,0.0782,-0.3294,-,PASS,,
반도체소부장,455900,엔젤로보틱스,특수 목적용 기계 제조업,4483,117.3,0.1022,0.0725,-0.2124,-,PASS,,
반도체소부장,388720,유일로보틱스,특수 목적용 기계 제조업,12818,397.1,0.0497,0.0443,-0.2133,-,PASS,,
반도체소부장,079370,제우스,특수 목적용 기계 제조업,3474,56.5,-0.219,-0.0608,-0.4318,소외(역발상?),PASS,,
반도체소부장,445090,에이직랜드,반도체 제조업,3425,123.0,-0.2255,-0.087,-0.0427,고점근접,PASS,,
반도체소부장,214430,아이쓰리시스템,전자부품 제조업,5181,57.7,0.0296,-0.1764,-0.4546,소외(역발상?),PASS,,
반도체소부장,025320,시노펙스,전자부품 제조업,4373,30.7,0.0973,-0.3036,-0.3805,소외(역발상?),PASS,,
반도체소부장,082270,젬백스,특수 목적용 기계 제조업,6131,40.4,0.3005,-0.7558,-0.7748,소외(역발상?),PASS,,
반도체소부장,388210,씨엠티엑스,전자부품 제조업,10446,157.4,,,,-,PASS,,
반도체소부장,094360,칩스앤미디어,반도체 제조업,3186,23.2,,,,-,PASS*,,
