출발일,code,name,유형,등급,국면,진입월,고점3M,고점6M,고점일수,고점일,고점월,창완결,ex_ret,ex_how,ex_bars,fwd40
1999-10-05,015760,한국전력,B,C,실행,10,27.0,27.0,37,1999-11-25,11,True,-0.0938027989821883,손절,14,0.1704834605597964
1999-10-05,017670,SK텔레콤,B,C,실행,10,300.5,356.3,88,2000-02-11,2,True,0.4401440144014401,목표,25,1.4113411341134112
1999-10-05,004020,현대제철,A,B,실행,10,32.7,32.7,8,1999-10-15,10,True,0.0710937499999999,목표,1,0.0359374999999999
1999-10-05,005830,DB손해보험,A,B,실행,10,75.7,75.7,31,1999-11-17,11,True,0.079608938547486,목표,1,0.2486033519553072
1999-10-05,005440,현대지에프홀딩스,A,B,실행,10,32.1,32.1,50,1999-12-14,12,True,0.0725190839694656,목표,1,-0.0076335877862595
1999-10-05,005810,풍산홀딩스,A,A,실행,10,29.9,29.9,28,1999-11-12,11,True,0.0747126436781608,목표,2,-0.0574712643678161
1999-10-05,000830,000830,A,C,실행,10,87.9,87.9,28,1999-11-12,11,True,0.1017241379310345,목표,1,0.6620689655172414
1999-10-14,000270,기아,A,C,실행,10,4.6,4.6,12,1999-11-01,11,True,-0.0964174601467693,손절,7,-0.497071129707113
1999-10-18,008270,008270,A,C,실행,10,72.8,72.8,22,1999-11-17,11,True,-0.0682352941176471,트레일,5,0.0588235294117647
1999-10-18,005810,풍산홀딩스,A,B,실행,10,20.3,20.3,19,1999-11-12,11,True,-0.0637529952076679,손절,5,-0.0042598509052184
1999-10-19,030210,다올투자증권,A,C,실행,10,133.3,133.3,21,1999-11-17,11,True,0.0716049382716048,목표,2,0.7469135802469136
1999-10-19,008270,008270,A,B,실행,10,78.0,78.0,21,1999-11-17,11,True,0.0681818181818183,목표,1,0.1590909090909091
1999-10-26,003540,대신증권,A,A,실행,10,64.6,64.6,16,1999-11-17,11,True,-0.061907275310431,손절,2,-0.0559006211180124
1999-11-05,009050,009050,A,C,실행,11,10.5,31.9,98,2000-03-30,3,True,0.0732558139534884,목표,2,-0.2616279069767442
1999-11-08,000270,기아,A,B,실행,11,2.3,2.3,1,1999-11-09,11,True,-0.0559896275842537,손절,4,-0.409090909090909
1999-11-16,000150,두산,A,B,주의,11,18.4,18.4,4,1999-11-22,11,True,0.0785714285714285,목표,3,-0.2885714285714286
1999-11-18,008670,008670,A,A,실행,11,3.9,3.9,1,1999-11-19,11,True,-0.070019521446498,손절,4,-0.5161111111111112
1999-11-25,000150,두산,A,C,실행,11,6.9,8.4,71,2000-03-13,3,True,-0.05,손절,1,-0.3477611940298507
1999-11-25,006800,미래에셋증권,A,B,실행,11,3.8,3.8,1,1999-11-26,11,True,-0.0599296293472181,손절,1,-0.4796954314720812
1999-11-26,016360,삼성증권,A,B,실행,11,6.5,6.5,49,2000-02-10,2,True,-0.0626106194690265,손절,1,-0.1603982300884956
1999-11-26,009410,태영건설,A,C,실행,11,25.6,25.6,11,1999-12-13,12,True,0.0719512195121951,목표,1,-0.1097560975609756
1999-11-26,005830,DB손해보험,A,A,실행,11,8.9,8.9,2,1999-11-30,11,True,0.076470588235294,목표,2,-0.1223529411764705
1999-11-26,002550,002550,A,C,실행,11,3.2,3.2,2,1999-11-30,11,True,-0.0826212355598073,손절,7,-0.2587579617834394
1999-11-26,011170,롯데케미칼,A,B,실행,11,18.9,18.9,4,1999-12-02,12,True,0.077720207253886,목표,2,-0.0984455958549223
1999-11-26,003450,003450,A,C,실행,11,11.5,11.5,2,1999-11-30,11,True,0.0746691871455575,목표,2,-0.0812854442344045
1999-11-29,012330,현대모비스,A,B,실행,11,33.1,33.1,13,1999-12-16,12,True,0.0788712011577423,목표,2,-0.1273516642547033
1999-11-29,000210,DL,A,B,실행,11,25.8,25.8,19,1999-12-24,12,True,0.0749999999999999,목표,1,-0.2908333333333334
1999-11-29,012450,한화에어로스페이스,A,A,실행,11,54.8,54.8,54,2000-02-18,2,True,0.0849947534102835,목표,1,0.248688352570829
1999-12-03,008270,008270,A,C,실행,12,20.1,20.1,9,1999-12-16,12,True,0.1005398110661268,목표,1,-0.2537112010796222
1999-12-07,005830,DB손해보험,A,C,주의,12,27.5,27.5,4,1999-12-13,12,True,0.0805555555555554,목표,1,0.0388888888888889
1999-12-08,008270,008270,A,B,주의,12,29.5,29.5,6,1999-12-16,12,True,0.0858806404657932,목표,1,-0.1921397379912665
1999-12-08,001830,001830,A,B,주의,12,37.4,74.8,76,2000-03-31,3,True,0.0777310924369747,목표,2,-0.1932773109243698
1999-12-16,004150,한솔홀딩스,A,C,실행,12,8.3,8.3,2,1999-12-20,12,True,-0.0466666666666667,트레일,5,-0.3993055555555554
1999-12-17,033880,033880,A,B,실행,12,48.6,48.6,5,1999-12-24,12,True,-0.05,손절,1,-0.2462264150943396
1999-12-20,033630,033630,B,C,실행,12,42.5,42.5,9,2000-01-06,1,True,-0.0825071225071224,손절,4,-0.0427350427350426
1999-12-20,033880,033880,A,B,실행,12,50.0,50.0,4,1999-12-24,12,True,0.0714285714285714,목표,1,-0.2695238095238095
1999-12-21,012330,현대모비스,A,C,실행,12,7.4,7.4,7,2000-01-05,1,True,-0.0881892024583848,손절,1,-0.397677793904209
1999-12-21,005945,NH투자증권우,A,B,실행,12,40.2,40.2,29,2000-02-07,2,True,-0.0561919642857142,손절,1,0.0625
1999-12-21,003545,대신증권우,A,A,실행,12,52.2,52.2,63,2000-03-27,3,True,-0.05,손절,1,0.2173913043478261
1999-12-21,001830,001830,A,B,실행,12,64.7,85.7,67,2000-03-31,3,True,-0.0557083985283048,손절,1,-0.2633928571428572
1999-12-22,001830,001830,A,C,실행,12,75.0,96.2,66,2000-03-31,3,True,-0.0867924528301885,트레일,3,-0.1981132075471697
1999-12-22,012330,현대모비스,A,C,실행,12,16.5,16.5,6,2000-01-05,1,True,0.1102362204724409,목표,1,-0.2598425196850393
1999-12-27,004000,롯데정밀화학,A,A,주의,12,80.4,80.4,34,2000-02-18,2,True,0.0865921787709498,목표,2,0.3966480446927374
1999-12-28,000210,DL,A,C,주의,12,2.7,2.7,1,2000-01-04,1,True,-0.0900383141762452,손절,1,-0.5402298850574713
1999-12-28,012750,에스원,A,A,주의,12,32.1,32.1,48,2000-03-13,3,True,0.0943877551020409,목표,1,0.1428571428571428
1999-12-28,033880,033880,A,A,주의,12,20.0,20.0,50,2000-03-15,3,True,-0.0672727272727272,손절,1,-0.3509090909090909
1999-12-28,012450,한화에어로스페이스,A,A,주의,12,36.6,36.6,33,2000-02-18,2,True,0.0925925925925925,목표,1,0.0833333333333332
2000-01-05,000880,한화,A,B,실행,1,3.7,3.7,5,2000-01-12,1,True,-0.0783582089552238,손절,1,-0.2746268656716417
2000-01-06,000880,한화,A,B,실행,1,12.3,12.3,4,2000-01-12,1,True,0.0815831987075927,목표,3,-0.159935379644588
2000-01-06,033880,033880,A,C,실행,1,26.9,26.9,47,2000-03-15,3,True,-0.0865384615384615,손절,1,-0.2423076923076922
2000-01-06,018360,018360,A,C,실행,1,51.8,51.8,45,2000-03-13,3,True,0.1040145985401459,목표,3,0.2956204379562042
2000-01-06,000660,SK하이닉스,A,C,실행,1,29.7,29.7,11,2000-01-21,1,True,0.0878995433789955,목표,6,0.0136986301369863
2000-01-07,033880,033880,A,B,실행,1,40.0,40.0,46,2000-03-15,3,True,0.0726405090137858,목표,1,-0.1484623541887593
2000-01-13,009720,009720,A,C,실행,1,26.8,45.9,117,2000-07-06,7,True,0.0817073170731708,목표,1,-0.1902439024390243
2000-01-19,017300,017300,A,B,실행,1,52.3,52.3,32,2000-03-07,3,True,0.0692307692307692,목표,4,0.2846153846153847
2000-01-19,002615,002615,A,C,실행,1,10.8,10.8,12,2000-02-07,2,True,-0.0731081081081082,손절,1,-0.2162162162162163
2000-01-20,002610,002610,B,A,실행,1,4.6,4.6,11,2000-02-07,2,True,-0.0728518987341773,손절,2,-0.2949367088607595
2000-01-20,017300,017300,A,B,실행,1,59.0,59.0,31,2000-03-07,3,True,0.0702811244979921,목표,1,0.3172690763052208
2000-01-20,025770,한국정보통신,A,A,실행,1,253.5,253.5,37,2000-03-15,3,True,-0.0531875045429481,손절,1,1.727272727272727
2000-01-20,027350,027350,A,A,실행,1,87.5,87.5,33,2000-03-09,3,True,-0.0506729166666666,손절,1,0.3333333333333332
2000-01-20,031820,아이티센씨티에스,A,A,실행,1,64.0,64.0,30,2000-03-06,3,True,0.1,목표,1,0.1399999999999999
2000-01-20,000140,하이트진로홀딩스,A,A,실행,1,10.5,80.6,110,2000-07-04,7,True,0.0740445859872611,목표,6,-0.10828025477707
2000-01-20,002615,002615,A,A,실행,1,17.1,17.1,11,2000-02-07,2,True,-0.0830609323882224,손절,2,-0.1542857142857143
2000-01-20,008060,대덕,A,C,실행,1,31.4,31.4,43,2000-03-23,3,True,0.0681818181818181,목표,4,0.1999999999999999
2000-01-24,027350,027350,A,C,실행,1,115.3,115.3,31,2000-03-09,3,True,0.0741626794258372,목표,3,0.6794258373205744
2000-02-14,017300,017300,A,A,실행,2,39.4,39.4,15,2000-03-07,3,True,-0.0566901408450705,손절,2,-0.2464788732394367
2000-02-14,002610,002610,A,C,실행,2,17.0,17.0,38,2000-04-10,4,True,-0.0565245901639342,트레일,5,0.0819672131147541
2000-02-15,001040,CJ,A,C,실행,2,28.3,28.3,6,2000-02-23,2,True,0.0869565217391303,목표,2,-0.1376811594202899
2000-02-22,012450,한화에어로스페이스,A,C,실행,2,8.9,8.9,1,2000-02-23,2,True,0.0691056910569105,목표,1,-0.3682926829268292
2000-02-28,003600,003600,A,C,실행,2,15.9,15.9,6,2000-03-08,3,True,0.0959183673469388,목표,2,-0.1999999999999999
2000-02-28,005935,삼성전자우,A,B,실행,2,103.4,103.4,20,2000-03-28,3,True,0.1176470588235292,목표,2,0.3627450980392155
2000-02-28,003550,LG,A,C,실행,2,11.9,11.9,28,2000-04-10,4,True,-0.0559748427672958,손절,1,-0.2232704402515724
2000-02-28,030200,KT,B,C,실행,2,22.2,22.2,7,2000-03-09,3,True,0.03859918200409,트레일,9,-0.2249488752556236
