code,date,mcap
041020,2019-04-30,46641634200.0
041020,2019-05-31,45517739400.0
041020,2019-06-28,50575266000.0
041020,2019-07-31,47765529000.0
041020,2019-08-30,45143107800.0
041020,2019-09-30,45892371000.0
041020,2019-10-31,40460212800.0
041020,2019-11-29,45517739400.0
041020,2019-12-30,60877635000.0
041020,2020-01-31,50762581800.0
041020,2020-02-28,42333370800.0
041020,2020-03-31,34953128280.0
041020,2020-04-29,39523633800.0
041020,2020-05-29,45517739400.0
041020,2020-06-30,63312740400.0
041020,2020-07-31,57318634800.0
041020,2020-08-31,57318634800.0
041020,2020-09-29,66309793200.0
041020,2020-10-30,55070845200.0
041020,2020-11-30,94594479000.0
041020,2020-12-30,80920425600.0
041020,2021-01-29,90473531400.0
041020,2021-02-26,81857004600.0
041020,2021-03-31,94407163200.0
041020,2021-04-30,80545794000.0
041020,2021-05-31,79421899200.0
041020,2021-06-30,78485320200.0
041020,2021-07-30,76103967060.0
041020,2021-08-31,69185424600.0
041020,2021-09-30,94929109520.0
041020,2021-10-29,87378841500.0
041020,2021-11-30,98219750160.0
041020,2021-12-30,105540476880.0
041020,2022-01-28,77823782520.0
041020,2022-02-28,78030760665.0
041020,2022-03-31,84447083160.0
041020,2022-04-29,74098175910.0
041020,2022-05-31,78002161560.0
041020,2022-06-30,54558888960.0
041020,2022-07-29,69810402900.0
041020,2022-08-31,66011197300.0
041020,2022-09-30,51289275600.0
041020,2022-10-31,54613580500.0
041020,2022-11-30,74559409900.0
041020,2022-12-29,61737091000.0
041020,2023-01-31,69952873110.0
041020,2023-02-28,95127980133.0
041020,2023-03-31,124111904085.0
041020,2023-04-28,105666683250.0
041020,2023-05-31,122324725080.0
041020,2023-06-30,159618848580.0
041020,2023-07-31,240174155340.0
041020,2023-08-31,338133386400.0
041020,2023-09-27,205117679250.0
041020,2023-10-31,203874541800.0
041020,2023-11-30,252605529840.0
041020,2023-12-28,218792191200.0
041020,2024-01-31,328685541780.0
041020,2024-02-29,394820454120.0
041020,2024-03-29,336641621460.0
041020,2024-04-30,319734952140.0
041020,2024-05-31,401284768860.0
041020,2024-06-28,369957705120.0
041020,2024-07-31,309789852540.0
041020,2024-08-30,282440828640.0
041020,2024-09-30,274982003940.0
041020,2024-10-31,260064354540.0
041020,2024-11-29,324707501940.0
041020,2024-12-30,269014944180.0
041020,2025-01-31,298352988000.0
041020,2025-02-28,300839262900.0
041020,2025-03-31,248627490000.0
041020,2025-04-30,249621999960.0
041020,2025-05-30,272495729040.0
041020,2025-06-30,302828282820.0
041020,2025-07-31,296861223060.0
041020,2025-08-29,272495729040.0
041020,2025-09-30,268517689200.0
041020,2025-10-31,255091804740.0
041020,2025-11-28,241914547770.0
041020,2025-12-30,223267486020.0
041020,2026-01-30,237687880440.0
041020,2026-02-27,213073758930.0
041020,2026-03-31,213322386420.0
041020,2026-04-30,246431613280.0
041020,2026-05-29,204200389230.0
041020,2026-06-12,162962841040.0
003800,2019-01-31,273923000000.0
003800,2019-02-28,302757000000.0
003800,2019-03-29,302202500000.0
003800,2019-04-30,343790000000.0
003800,2019-05-31,340463000000.0
003800,2019-06-28,356543500000.0
003800,2019-07-31,345453500000.0
003800,2019-08-30,373733000000.0
003800,2019-09-30,382050500000.0
003800,2019-10-31,385932000000.0
003800,2019-11-29,390368000000.0
003800,2019-12-30,387595500000.0
003800,2020-01-31,418093000000.0
003800,2020-02-28,476315500000.0
003800,2020-03-31,415875000000.0
003800,2020-04-29,481306000000.0
003800,2020-05-29,493505000000.0
003800,2020-06-30,520675500000.0
003800,2020-07-31,466889000000.0
003800,2020-08-31,451363000000.0
003800,2020-09-29,474652000000.0
003800,2020-10-30,443600000000.0
003800,2020-11-30,445818000000.0
003800,2020-12-30,422529000000.0
003800,2021-01-29,426410500000.0
003800,2021-02-26,454690000000.0
003800,2021-03-31,474097500000.0
003800,2021-04-30,470770500000.0
003800,2021-05-31,513467000000.0
003800,2021-06-30,522893500000.0
003800,2021-07-30,537310500000.0
003800,2021-08-31,548955000000.0
003800,2021-09-30,545628000000.0
003800,2021-10-29,527884000000.0
003800,2021-11-30,444154500000.0
003800,2021-12-30,477424500000.0
003800,2022-01-28,476870000000.0
003800,2022-02-28,494059500000.0
003800,2022-03-31,505149500000.0
003800,2022-04-29,459126000000.0
003800,2022-05-31,458017000000.0
003800,2022-06-30,456353500000.0
003800,2022-07-29,475761000000.0
003800,2022-08-31,449145000000.0
003800,2022-09-30,378169000000.0
003800,2022-10-31,389259000000.0
003800,2022-11-30,388150000000.0
003800,2022-12-29,398131000000.0
003800,2023-01-31,385377500000.0
003800,2023-02-28,379832500000.0
003800,2023-03-31,361534000000.0
003800,2023-04-28,356543500000.0
003800,2023-05-31,343790000000.0
