date,code,slot,open,high,low,close,volume
2026-07-23,003670,AM,143900.0,146300.0,142800.0,146300.0,49634
2026-07-23,003670,PM,146100.0,152500.0,146100.0,152200.0,59413
2026-07-23,417010,AM,4415.0,4480.0,4325.0,4460.0,28753
2026-07-23,417010,PM,4460.0,4510.0,4415.0,4510.0,12076
2026-07-23,373220,AM,329500.0,339500.0,328500.0,339000.0,65796
2026-07-23,373220,PM,339000.0,350000.0,337000.0,348000.0,123432
2026-07-23,036540,AM,5550.0,5640.0,5340.0,5480.0,507737
2026-07-23,036540,PM,5470.0,5540.0,5440.0,5520.0,265338
2026-07-23,166090,AM,54700.0,55300.0,52700.0,54400.0,26620
2026-07-23,166090,PM,54300.0,54800.0,53600.0,54700.0,18909
2026-07-23,321260,AM,1639.0,1647.0,1605.0,1643.0,29721
2026-07-23,321260,PM,1643.0,1668.0,1643.0,1667.0,19144
2026-07-23,237690,AM,117500.0,119300.0,115200.0,116500.0,21145
2026-07-23,237690,PM,116700.0,117900.0,116100.0,117900.0,15206
2026-07-23,230240,AM,16460.0,16800.0,16090.0,16590.0,31622
2026-07-23,230240,PM,16530.0,17190.0,16530.0,17180.0,17179
2026-07-23,179900,AM,2850.0,3125.0,2850.0,3125.0,79413
2026-07-23,179900,PM,3110.0,3185.0,3015.0,3120.0,45523
2026-07-23,009470,AM,23200.0,23550.0,22600.0,23050.0,16091
2026-07-23,009470,PM,23050.0,23700.0,23050.0,23700.0,10068
2026-07-23,086390,AM,9520.0,9640.0,9200.0,9440.0,23833
2026-07-23,086390,PM,9440.0,10600.0,9380.0,9700.0,694482
2026-07-23,098120,AM,23100.0,23500.0,22650.0,23100.0,15562
2026-07-23,098120,PM,23300.0,23850.0,23100.0,23850.0,8341
2026-07-23,452200,AM,1312.0,1341.0,1300.0,1323.0,54896
2026-07-23,452200,PM,1315.0,1349.0,1312.0,1346.0,16445
2026-07-23,189300,AM,62300.0,63100.0,60700.0,62600.0,11538
2026-07-23,189300,PM,62500.0,64100.0,62500.0,63900.0,12780
2026-07-23,171090,AM,54100.0,55000.0,52100.0,53500.0,14825
2026-07-23,171090,PM,53500.0,56900.0,53500.0,56900.0,8341
2026-07-23,303030,AM,1835.0,2020.0,1814.0,1909.0,122822
2026-07-23,303030,PM,1909.0,1909.0,1856.0,1899.0,9015
2026-07-23,489790,AM,44800.0,46100.0,44750.0,45650.0,49574
2026-07-23,489790,PM,45600.0,45900.0,45200.0,45900.0,27746
2026-07-23,0011A0,AM,9850.0,9900.0,9480.0,9730.0,16977
2026-07-23,0011A0,PM,9730.0,9820.0,9660.0,9740.0,7804
2026-07-23,004710,AM,8860.0,8980.0,8360.0,8570.0,231045
2026-07-23,004710,PM,8580.0,8750.0,8580.0,8730.0,116712
2026-07-23,060370,AM,29650.0,30450.0,29650.0,30300.0,37759
2026-07-23,060370,PM,30200.0,31350.0,30200.0,31000.0,47446
2026-07-23,128940,AM,375000.0,381000.0,374000.0,377500.0,18024
2026-07-23,128940,PM,378000.0,389500.0,378000.0,389000.0,16203
2026-07-23,041830,AM,51100.0,51200.0,48100.0,48550.0,27571
2026-07-23,041830,PM,48500.0,49350.0,47700.0,49100.0,20934
2026-07-23,348210,AM,35500.0,36100.0,34500.0,35250.0,20183
2026-07-23,348210,PM,35250.0,35800.0,35000.0,35700.0,11723
2026-07-23,474650,AM,22850.0,23500.0,21950.0,22700.0,6029
2026-07-23,474650,PM,22700.0,22750.0,22300.0,22650.0,3252
2026-07-23,187870,AM,12690.0,12690.0,12110.0,12330.0,17325
2026-07-23,187870,PM,12140.0,12580.0,12140.0,12520.0,20517
2026-07-23,357780,AM,286500.0,287500.0,278500.0,285000.0,11877
2026-07-23,357780,PM,285000.0,297500.0,285000.0,296000.0,11654
2026-07-23,195870,AM,54100.0,54600.0,51000.0,52600.0,90120
2026-07-23,195870,PM,52600.0,53800.0,52500.0,53700.0,38377
2026-07-23,214450,AM,339500.0,356500.0,336500.0,356500.0,44715
2026-07-23,214450,PM,356000.0,362000.0,356000.0,360000.0,31273
2026-07-23,253590,AM,9520.0,9690.0,9310.0,9530.0,51644
2026-07-23,253590,PM,9530.0,9710.0,9520.0,9710.0,41128
