star,code,name,ap,order,pbr,deep,bounce,imae,fmae,ext,r20,c,buy,stop,resist,vflag,tag
✦,195870,해성디에스,추세매수,혼조,2.12,0,0,0,0,0.86,-3.0,52100,51965,41778,101800,소진,사냥터
✦,212710,아이에스티이,추세매수,혼조,4.14,0,0,0,0,0.86,-14.0,7700,7694,6237,15580,보합,사냥터
✦,033640,네패스,추세매수,혼조,4.79,0,0,0,0,0.85,-4.0,18220,16609,14895,41150,보합,사냥터
✦,122640,예스티,추세매수,혼조,5.46,0,0,0,0,1.26,20.0,29550,23640,23640,44000,보합,사냥터
✦,377300,카카오페이,추세매수,혼조,2.92,0,0,1,0,0.84,-2.0,42500,42857,35790,49650,증가⚠,사냥터
✦,412350,레이저쎌,추세매수,혼조,3.14,0,0,0,0,0.84,-3.0,4015,3999,3212,10800,소진,사냥터
✦,093320,케이아이엔엑스,추세매수,정배열,2.52,0,0,0,0,1.27,-1.0,147300,141750,121050,163700,소진,사냥터
✦,236200,슈프리마,추세매수,정배열,1.13,0,0,0,0,1.27,16.0,56100,55030,47617,65000,소진,사냥터
✦,007810,코리아써키트,추세매수,혼조,5.94,0,0,1,0,0.83,-15.0,54600,55102,43680,148300,증가⚠,사냥터
✦,010170,대한광통신,추세매수,혼조,27.27,0,0,0,0,1.28,12.0,12120,11162,9696,28500,소진,사냥터
✦,001440,대한전선,추세매수,혼조,3.93,0,0,1,1,0.82,-14.0,26650,26932,22042,54500,소진,사냥터·테마
✦,218410,RFHIC,추세매수,혼조,4.72,0,0,0,0,0.8,-2.0,47150,47702,37720,105900,소진,사냥터
✦,332570,PS일렉트로닉스,추세매수,정배열,2.05,0,0,0,0,1.3,25.0,8970,8429,7176,13990,증가⚠,사냥터
✦,446540,메가터치,추세매수,정배열,2.34,0,0,0,0,1.31,-0.0,6820,6914,5456,10080,증가⚠,사냥터
✦,064290,인텍플러스,추세매수,혼조,12.48,0,0,0,0,1.33,-10.0,32100,30055,25680,54100,증가⚠,사냥터
★,042700,한미반도체,추세매수,혼조,35.24,0,0,1,1,0.93,-1.0,213500,206000,177321,372500,소진,사냥터·테마
★,353200,대덕전자,추세매수,혼조,8.82,0,0,1,0,1.19,-15.0,104300,103330,83440,198000,소진,사냥터
★,222800,심텍,추세매수,혼조,9.64,0,0,1,0,1.29,1.0,99700,97945,79760,164200,보합,사냥터·테마
✦,031330,에스에이엠티,반등관찰,혼조,2.48,0,0,0,0,1.05,-28.0,7850,9335,7134,19480,보합,사냥터
✦,053610,프로텍,반등관찰,혼조,2.1,0,0,0,0,1.05,-9.0,59200,61127,44835,97000,보합,사냥터
✦,079550,LIG디펜스앤에어로스페이스,반등관찰,혼조,10.98,0,0,0,1,1.06,-6.0,695000,747700,563500,1098000,소진,사냥터
✦,086670,비엠티,반등관찰,정배열,1.06,0,0,0,0,1.06,-1.0,15060,15760,12740,18670,소진,사냥터
✦,127120,제이에스링크,반등관찰,혼조,17.44,0,0,0,0,1.08,-3.0,34000,35622,25872,43500,보합,사냥터
✦,006260,LS,반등관찰,혼조,2.03,0,0,0,1,1.0,-9.0,293500,304250,217560,560000,증가⚠,사냥터
✦,160980,싸이맥스,반등관찰,혼조,2.24,0,0,1,0,1.0,-30.0,25500,29982,19796,47850,증가⚠,사냥터
✦,068790,DMS,반등관찰,혼조,0.27,0,0,0,0,1.11,-8.0,7560,7766,6869,8780,소진,사냥터
✦,170920,엘티씨,반등관찰,혼조,4.12,0,0,0,0,1.11,-23.0,35750,36952,25725,60700,보합,사냥터
✦,290550,디케이티,반등관찰,혼조,2.19,0,0,0,0,0.99,-31.0,15850,18247,13484,27750,보합,사냥터
✦,011070,LG이노텍,반등관찰,혼조,4.03,0,0,0,0,1.12,-19.0,550000,562000,410130,1788000,소진,사냥터
✦,058610,에스피지,반등관찰,혼조,6.9,0,0,0,0,0.98,14.0,95500,98900,65170,134400,소진,사냥터·테마
✦,281820,케이씨텍,반등관찰,혼조,4.28,0,0,0,0,1.12,-26.0,63800,67575,52430,124800,소진,사냥터
✦,005950,이수화학,반등관찰,정배열,3.65,0,0,0,0,1.13,-20.0,11880,13403,10250,17990,증가⚠,사냥터
✦,098460,고영,반등관찰,혼조,6.29,0,0,1,1,0.97,3.0,28300,28882,20678,42350,소진,사냥터·테마
✦,083450,GST,반등관찰,혼조,3.28,0,0,0,0,1.14,-1.0,43000,45097,32389,68600,소진,사냥터
✦,049070,인탑스,반등관찰,혼조,0.44,0,0,0,0,0.95,-8.0,17150,18149,15366,21700,소진,사냥터
✦,089970,브이엠,반등관찰,혼조,16.02,0,0,0,0,1.16,-29.0,58100,65152,48804,122100,소진,사냥터
✦,166090,하나머티리얼즈,반등관찰,혼조,2.63,0,0,0,0,0.93,-2.0,53400,55045,39396,83400,보합,사냥터
✦,000150,두산,반등관찰,혼조,17.01,0,0,0,1,0.92,-16.0,1078000,1177800,878080,2489000,소진,사냥터
✦,094970,제이엠티,반등관찰,혼조,0.32,0,0,0,0,0.92,2.0,2700,2849,2219,3595,보합,사냥터
✦,241560,두산밥캣,반등관찰,혼조,0.82,0,0,1,0,0.92,-16.0,57900,62180,55076,71100,보합,사냥터
✦,037460,삼지전자,반등관찰,혼조,1.09,0,0,0,0,1.19,-13.0,31850,34040,26460,52900,보합,사냥터
✦,483650,달바글로벌,반등관찰,정배열,14.45,0,0,1,0,1.2,-10.0,216500,238175,200900,283000,소진,사냥터
✦,004710,한솔테크닉스,반등관찰,혼조,1.24,0,0,0,0,0.9,-21.0,6860,7242,5194,16430,소진,사냥터
✦,319400,현대무벡스,반등관찰,혼조,18.21,0,0,0,0,0.9,6.0,22850,23433,18835,43400,증가⚠,사냥터
✦,484810,티엑스알로보틱스,반등관찰,혼조,2.78,0,0,0,0,0.9,7.0,14010,15440,10731,19200,소진,사냥터
✦,267270,HD건설기계,반등관찰,혼조,1.2,0,0,1,0,0.89,-18.0,115500,131290,104958,171900,소진,사냥터
✦,252990,샘씨엔에스,반등관찰,혼조,4.62,0,0,0,0,1.22,-8.0,12880,13310,8800,16960,소진,사냥터
✦,229640,LS에코에너지,반등관찰,혼조,7.61,0,0,0,1,0.88,-19.0,42650,44325,31360,80000,소진,사냥터
✦,033160,엠케이전자,반등관찰,혼조,1.08,0,0,0,0,0.87,-16.0,13750,15515,10946,35000,증가⚠,사냥터
✦,420770,기가비스,반등관찰,혼조,11.55,0,0,0,0,1.24,-19.0,105300,112645,81046,206000,증가⚠,사냥터
✦,018880,한온시스템,반등관찰,혼조,1.04,0,0,1,0,0.86,-10.0,3400,3533,2915,5940,소진,사냥터
✦,009540,HD한국조선해양,반등관찰,혼조,1.86,0,0,1,0,0.85,-9.0,348500,376100,307720,460000,소진,테마
✦,138360,앤로보틱스,반등관찰,혼조,2.04,0,0,0,0,0.85,-18.0,1725,1903,1661,3280,증가⚠,사냥터
✦,050890,쏠리드,반등관찰,혼조,1.85,0,0,0,0,0.83,-6.0,9040,9397,7105,18400,소진,사냥터
✦,092220,KEC,반등관찰,혼조,0.44,0,0,0,0,1.28,-9.0,2395,2571,2097,6500,소진,사냥터
✦,007340,DN오토모티브,반등관찰,정배열,0.99,0,0,1,1,1.29,9.0,44200,45632,33614,67500,증가⚠,사냥터
✦,228760,지노믹트리,반등관찰,혼조,2.31,0,0,0,0,0.64,-2.0,12080,12410,9819,15000,소진,사냥터
✦,066570,LG전자,과열보류,혼조,1.53,0,0,0,0,1.36,4.0,194500,181380,160982,438000,소진,사냥터
✦,475150,SK이터닉스,과열보류,정배열,6.39,0,0,0,0,1.36,-36.0,51300,53885,41040,87700,소진,사냥터
✦,000660,SK하이닉스,과열보류,혼조,15.43,0,0,1,0,1.38,-10.0,1730000,1573500,1385535,2987000,소진,사냥터·테마
