date,code,name,등급,국면,월,체인,밸류여부,성장군,카드%,ex_how
2000-01-19,017300,017300,정식A,실행,1,,False,,6.923076923076921,목표
2000-01-20,000140,하이트진로홀딩스,정식A,실행,1,비체인,False,,7.4044585987261105,목표
2000-01-20,025770,한국정보통신,정식A,실행,1,비체인,False,,-5.31875045429481,손절
2000-01-20,032930,032930,S2-α,실행,1,,False,,8.27586206896553,목표
2000-01-20,008060,대덕,정식A,실행,1,비체인,False,,6.8181818181818095,목표
2000-01-20,031820,아이티센씨티에스,정식A,실행,1,비체인,False,,10.0,목표
2000-01-20,002615,002615,정식A,실행,1,,False,,-8.30609323882224,손절
2000-01-20,017300,017300,정식A,실행,1,,False,,7.0281124497992105,목표
2000-01-20,027350,027350,정식A,실행,1,,False,,-5.0672916666666605,손절
2000-01-24,027350,027350,정식A,실행,1,,False,,7.416267942583719,목표
2000-01-26,001040,CJ,S2-α,실행,1,비체인,False,,7.03125,목표
2000-02-14,002610,002610,정식A,실행,2,,False,,-5.65245901639342,트레일
2000-02-14,004990,롯데지주,S2-α,실행,2,비체인,False,,7.44274809160305,목표
2000-02-14,017300,017300,정식A,실행,2,,False,,-5.66901408450705,손절
2000-02-15,001040,CJ,정식A,실행,2,비체인,False,,8.695652173913029,목표
2000-02-22,012450,한화에어로스페이스,정식A,실행,2,비체인,False,,6.91056910569105,목표
2000-02-28,003550,LG,정식A,실행,2,비체인,False,,-5.59748427672958,손절
2000-02-28,003600,003600,정식A,실행,2,,False,,9.59183673469388,목표
2000-02-28,005935,삼성전자우,정식A,실행,2,비체인,False,,11.76470588235292,목표
2000-02-29,003550,LG,정식A,실행,2,비체인,False,,8.43071786310516,목표
2000-02-29,030200,KT,S2-α,실행,2,비체인,False,,7.068062827225139,목표
2000-02-29,005935,삼성전자우,정식A,실행,2,비체인,False,,8.25242718446601,목표
2000-03-08,019490,엑시큐어하이트론,S2-α,실행,3,비체인,False,,9.69325153374232,목표
2000-03-09,005890,005890,정식A,실행,3,,False,,-5.9405940594059405,손절
2000-03-10,005890,005890,정식A,실행,3,,False,,-6.74846625766871,손절
2000-03-13,005935,삼성전자우,정식A,실행,3,비체인,False,,7.67716535433069,목표
2000-03-15,031820,아이티센씨티에스,S2-α,실행,3,비체인,False,,-9.309200000000011,손절
