last,to50,to20,dd20,ddhi,near_low,bw_rank,volr,a200,up200,cat,sub,prep,near_high,breakout,vsurge,vstrong,flags,code,name
46150,-3.8481571764901967,-2.6063100137174167,-8.067729083665343,-31.528189910979233,4.76730987514189,18,0.5808256242417019,False,False,⚪ 기타,신호 없음,,False,False,False,False,,029780,삼성카드
18900,-0.26911508627512903,-0.15584141155339237,-1.664932362122784,-18.3585313174946,6.4189189189189255,1,1.0484792171036927,False,False,⚪ 기타,신호 없음,,False,False,False,False,,030000,제일기획
52400,-2.0450891688787554,-1.1693700490380987,-3.676470588235292,-23.9477503628447,3.3530571992110403,6,0.477889740317486,False,True,⚪ 기타,신호 없음,,False,False,False,False,,030200,KT
19250,-4.057017543859653,3.1867277746508993,-8.333333333333337,-60.47227926078029,45.722937168811505,59,0.2965381003308462,False,False,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,030530,원익홀딩스
10030,0.6866366848699013,2.263458401305063,-4.7483380816714105,-40.011961722488046,23.52216748768472,41,0.6799149729250045,False,True,🟢 추세위,MA50 신규회복,,False,False,False,False,,030610,교보증권
42350,-1.3119567497028917,-2.007288714062594,-5.679287305122493,-31.69354838709677,6.809583858764179,16,0.5459041210124272,False,False,⚪ 기타,신호 없음,,False,False,False,False,,031210,서울보증보험
107500,-10.995197880443786,4.709492037208407,-6.8457538994800675,-35.43543543543544,43.14247669773634,51,0.6900199864391813,True,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,031980,피에스케이홀딩스
14870,0.6620543994801054,-0.07727715620065023,-4.618345093008336,-16.50758001122965,7.675597393193345,10,0.8072201659777408,False,False,🟢 추세위,MA50 신규회복,,False,False,False,False,,032640,LG유플러스
11890,2.6717095832685667,10.733410942956922,-2.9387755102040836,-59.419795221842996,59.5973154362416,31,0.5528364414778644,False,True,🟢 추세위,MA50 신규회복,,False,False,False,False,,032820,우리기술
328500,-5.415910857735162,12.29809417998462,0.0,-33.90342052313883,33.53658536585367,22,2.193194969312077,True,True,🔵 주도주,규칙 유니버스,압축,False,False,True,False,⚡,032830,삼성생명
172300,-3.087912706001461,-3.8021327675729966,-8.739406779661019,-8.83597883597883,5.060975609756091,52,0.47024445858218433,True,True,⚪ 기타,신호 없음,,False,False,False,False,,033780,KT&G
73300,-8.11312239883668,-0.3737682636765216,-11.259079903147695,-46.260997067448685,28.596491228070175,78,1.114535621977244,False,False,⚪ 기타,신호 없음,,False,False,False,False,,034020,두산에너빌리티
9500,-12.243427494596038,-0.7055134570159383,-7.497565725413824,-43.079688436189336,16.995073891625623,12,0.49854049871632594,False,False,⚪ 기타,신호 없음,,False,False,False,False,,034220,LG디스플레이
586000,-5.6725259159101205,7.159184419859188,-6.9841269841269815,-31.701631701631705,30.222222222222218,46,0.9499706300236466,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,034730,SK
14310,-2.31815203145479,-1.098901098901095,-2.6530612244897944,-26.728110599078335,2.8017241379310276,9,0.527109062647416,False,False,⚪ 기타,신호 없음,,False,False,False,False,,035250,강원랜드
222000,5.680065502599163,3.028193525931089,-3.056768558951961,-22.64808362369338,22.584207620099384,29,0.7538996233503319,False,False,🟢 추세위,MA50 신규회복,,False,False,False,False,,035420,NAVER
35800,-2.931048507361511,-5.66534914361001,-12.039312039312044,-47.11964549483013,11.007751937984489,52,3.6090516211154036,False,False,⚪ 기타,신호 없음,,False,False,True,True,⚡⚡,035720,카카오
38800,-19.741850074466328,-11.390236939765918,-18.057022175290392,-54.35294117647058,1.7038007863696025,81,1.1263689028543311,False,False,⚪ 기타,신호 없음,,False,False,False,False,,035900,JYP
35650,4.444379339641991,1.163450624290574,-2.7285129604365577,-21.82017543859649,14.446227929374,28,0.3789972887344917,False,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,036460,한국가스공사
224500,-7.300355107771084,-4.407068341494568,-12.13307240704501,-33.57988165680473,10.591133004926112,35,0.675489447070296,False,True,⚪ 기타,신호 없음,,False,False,False,False,,036570,엔씨소프트
168600,-3.938192260358264,13.834312335426379,-5.967651979921918,-32.69461077844311,74.17355371900827,57,0.49807956230943606,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,036930,주성엔지니어링
404500,3.296815546873,18.94435051091672,-2.530120481927711,-33.90522875816993,75.8695652173913,81,0.7873509242636313,True,True,🟢 추세위,MA50 신규회복,,False,False,False,False,,039030,이오테크닉스
36700,6.044845122515019,6.392230758080886,-5.534105534105538,-40.806451612903224,34.432234432234445,72,0.6996487503936851,False,False,🟢 추세위,MA50 신규회복,,False,False,False,False,,039200,오스코텍
268000,-14.760980884831909,-5.6421089692808675,-10.815307820299502,-45.91321897073662,10.288065843621407,33,0.6230606955385817,False,True,⚪ 기타,신호 없음,,False,False,False,False,,039490,키움증권
71300,-3.6199951336883918,-1.7094017094017144,-7.040417209908734,-53.39869281045752,11.580594679186218,22,0.7771627472289481,False,False,⚪ 기타,신호 없음,,False,False,False,False,,041510,에스엠
84200,-11.725236937012495,-3.8099046095847355,-12.108559498956161,-43.829219479653105,18.09256661991585,54,0.6805425404751841,False,False,⚪ 기타,신호 없음,,False,False,False,False,,042660,한화오션
213500,-9.7343187160711,3.6407766990291357,-6.768558951965065,-47.86324786324786,43.38482202820686,41,0.6764905376687302,False,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,042700,한미반도체
18120,-23.827139734319825,1.6179233379132407,-15.524475524475523,-65.93984962406014,53.04054054054055,48,0.27507451807945305,False,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,043260,성호전자
